row_id,acoustic_tag_id,animal_project_code,station_name,receiver_id,deploy_latitude,deploy_longitude,arrival,departure,detections,swimtime_s,swimdistance_m,speed_m_s,totaldistance_m,distance_to_source_m
28,A69-1601-26502,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,2019-10-02T13:00:00Z,2019-10-02T13:00:00Z,1,,,,0,0
29,A69-1601-26502,2019_Grotenete,gn-13,VR2W-124066,51.119771,4.990306,2019-10-02T20:27:01Z,2019-10-02T20:28:46Z,2,26821,3438.453465,0.1282,3438.453465,3438.453465
30,A69-1601-26502,2019_Grotenete,gn-11,VR2W-127720,51.09592,4.957142,2019-11-01T20:51:00Z,2019-11-01T20:53:25Z,2,2593334,4338.377744,0.001673,7776.831209,7635.421578
31,A69-1601-26502,2019_Grotenete,gn-10,VR2W-122324,51.091558,4.945793,2019-11-01T21:25:37Z,2019-11-01T23:26:52Z,55,1932,1107.062052,0.573013,8883.893261,8742.48363
32,A69-1601-26502,2019_Grotenete,gn-9,VR2W-127109,51.081153,4.913762,2019-11-02T17:30:59Z,2019-11-02T17:35:09Z,3,65047,2855.524863,0.043899,11739.418124,11598.008493
33,A69-1601-26502,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,2019-11-03T19:09:48Z,2019-11-03T19:16:51Z,5,92079,9817.88091,0.106625,21557.299034,21357.312272
34,A69-1601-26502,2019_Grotenete,gn-6,VR2W-122333,51.078636,4.757592,2019-11-03T20:43:18Z,2019-11-03T20:43:18Z,1,5187,3296.955011,0.635619,24854.254045,24654.267283
35,A69-1601-26502,2019_Grotenete,gn-5,VR2W-122332,51.125942,4.718199,2019-11-04T01:20:57Z,2019-11-04T01:23:28Z,2,16659,6683.966204,0.401223,31538.220249,31338.233487
36,A69-1601-26502,2019_Grotenete,gn-4,VR2W-122353,51.135075,4.664932,2019-11-04T17:06:56Z,2019-11-04T17:10:26Z,3,56608,4503.97007,0.079564,36042.190319,35783.626426
37,A69-1601-26502,2019_Grotenete,gn-3,VR2W-122365,51.130352,4.617316,2019-11-04T19:10:26Z,2019-11-04T19:40:33Z,15,7200,4186.83712,0.581505,40229.027439,39887.614896
38,A69-1601-26502,2019_Grotenete,gn-2,VR2W-127721,51.135829,4.5937,2019-11-04T22:05:25Z,2019-11-04T22:50:13Z,13,8692,2138.410314,0.246021,42367.437753,42026.025211
