row_id,acoustic_tag_id,animal_project_code,station_name,receiver_id,deploy_latitude,deploy_longitude,arrive,depart,detections,swimtime_s,swimdistance_m,speed_m_s,total_distance_m,distance_to_source_m
170,A69-1602-11941,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,2019-10-10T11:30:00Z,2019-10-10T11:30:00Z,1,,,,0,0
171,A69-1602-11941,2019_Grotenete,gn-14,VR2W-122358,51.138267,4.996319,2019-11-28T00:41:44Z,2019-11-28T00:43:32Z,3,4194704,1048.509145,2.5e-4,1048.509145,1048.509145
172,A69-1602-11941,2019_Grotenete,gn-13,VR2W-124066,51.119771,4.990306,2019-11-28T01:45:07Z,2019-11-28T01:48:38Z,4,3695,2389.94432,0.646805,3438.453465,3438.453465
173,A69-1602-11941,2019_Grotenete,gn-11,VR2W-127720,51.09592,4.957142,2019-11-28T03:56:49Z,2019-11-28T03:59:15Z,3,7691,4338.377744,0.564085,7776.831209,7635.421578
174,A69-1602-11941,2019_Grotenete,gn-10,VR2W-122324,51.091558,4.945793,2019-11-28T04:21:26Z,2019-11-28T04:24:03Z,3,1331,1107.062052,0.831752,8883.893261,8742.48363
175,A69-1602-11941,2019_Grotenete,gn-9,VR2W-127109,51.081153,4.913762,2019-11-28T22:34:33Z,2019-11-28T22:37:02Z,3,65430,2855.524863,0.043642,11739.418124,11598.008493
176,A69-1602-11941,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,2019-11-29T01:42:52Z,2019-11-29T01:46:55Z,5,11150,9817.88091,0.880527,21557.299034,21357.312272
177,A69-1602-11941,2019_Grotenete,gn-6,VR2W-122333,51.078636,4.757592,2019-11-29T02:59:52Z,2019-11-29T03:00:53Z,2,4377,3296.955011,0.753245,24854.254045,24654.267283
178,A69-1602-11941,2019_Grotenete,gn-5,VR2W-122332,51.125942,4.718199,2019-11-29T05:39:23Z,2019-11-29T05:44:53Z,6,9510,6683.966204,0.702836,31538.220249,31338.233487
179,A69-1602-11941,2019_Grotenete,gn-5,VR2W-122332,51.125942,4.718199,2019-11-29T19:38:03Z,2019-11-29T19:45:39Z,7,,,,31538.220249,31338.233487
180,A69-1602-11941,2019_Grotenete,gn-4,VR2W-122353,51.135075,4.664932,2019-11-29T21:46:27Z,2019-11-29T21:51:20Z,6,7248,4503.97007,0.621409,36042.190319,35783.626426
181,A69-1602-11941,2019_Grotenete,gn-3,VR2W-122365,51.130352,4.617316,2019-11-29T23:19:37Z,2019-11-29T23:24:17Z,6,5297,4186.83712,0.790417,40229.027439,39887.614896
182,A69-1602-11941,2019_Grotenete,gn-2,VR2W-127721,51.135829,4.5937,2019-11-30T00:15:37Z,2019-11-30T00:33:15Z,14,3080,2138.410314,0.694289,42367.437753,42026.025211
183,A69-1602-11941,2019_Grotenete,bn-3,VR2W-124063,51.126391,4.571903,2019-11-30T00:53:24Z,2019-11-30T00:57:12Z,4,1209,2189.87681,1.811312,44557.314563,44215.902021
