province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Antwerpen,2018,Branta canadensis,Canadese gans,64,,,,
Antwerpen,Antwerpen,2018,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Antwerpen,2018,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Antwerpen,2018,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Arendonk,2013,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Arendonk,2013,Anser albifrons,Kolgans,0,,,,
Antwerpen,Arendonk,2013,Anser anser,Grauwe gans,0,,,,
Antwerpen,Arendonk,2013,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Arendonk,2013,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Arendonk,2013,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Arendonk,2013,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Arendonk,2013,Anser indicus,Indische gans,0,,,,
Antwerpen,Arendonk,2013,Branta canadensis,Canadese gans,8,,,,
Antwerpen,Arendonk,2013,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Arendonk,2013,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Arendonk,2013,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Arendonk,2014,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Arendonk,2014,Anser albifrons,Kolgans,0,,,,
Antwerpen,Arendonk,2014,Anser anser,Grauwe gans,6,,,,
Antwerpen,Arendonk,2014,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Arendonk,2014,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Arendonk,2014,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Arendonk,2014,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Arendonk,2014,Anser indicus,Indische gans,0,,,,
Antwerpen,Arendonk,2014,Branta canadensis,Canadese gans,0,,,,
Antwerpen,Arendonk,2014,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Arendonk,2014,Branta ruficollis,Roodhalsgans,0,,,,
