gbifID	occurrenceStatus	species	speciesKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	year	datasetKey
3969992555	PRESENT	Heracleum mantegazzianum	3034825	50.83751	4.67012	12	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969992503	PRESENT	Heracleum mantegazzianum	3034825	50.86998	4.47722	6	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969991661	PRESENT	Heracleum mantegazzianum	3034825	51.19708	4.59859	5	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969991495	PRESENT	Heracleum mantegazzianum	3034825	50.89823	3.99981	4	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969990526	PRESENT	Heracleum mantegazzianum	3034825	51.39621	4.99011	999	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969990487	PRESENT	Heracleum mantegazzianum	3034825	50.99077	5.06264	999	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969990479	PRESENT	Heracleum mantegazzianum	3034825	50.73209	3.91996	7	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969989947	PRESENT	Heracleum mantegazzianum	3034825	51.45251	5.08768	3	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969989826	PRESENT	Heracleum mantegazzianum	3034825	50.81876	3.0312	10	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969989549	PRESENT	Heracleum mantegazzianum	3034825	50.81755	5.65261	9	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969989547	PRESENT	Heracleum mantegazzianum	3034825	50.88194	4.29781	25	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969989525	PRESENT	Heracleum mantegazzianum	3034825	50.93017	4.74009	5	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969989098	PRESENT	Heracleum mantegazzianum	3034825	50.7792	3.87748	197	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969988519	PRESENT	Heracleum mantegazzianum	3034825	51.21536	3.16738	999	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969987952	PRESENT	Heracleum mantegazzianum	3034825	50.92519	5.38983	92	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969987492	PRESENT	Heracleum mantegazzianum	3034825	51.00976	4.69632	18	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969986987	PRESENT	Heracleum mantegazzianum	3034825	51.16801	4.96212	8	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969986672	PRESENT	Heracleum mantegazzianum	3034825	51.19714	4.59829	5	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969986571	PRESENT	Heracleum mantegazzianum	3034825	51.14343	3.76291	13	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969985504	PRESENT	Heracleum mantegazzianum	3034825	51.01727	4.50816	26	2022	7f5e4129-0717-428e-876a-464fbd5d9a47
3969508137	PRESENT	Heracleum mantegazzianum	3034825	50.98567	4.47846	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969508112	PRESENT	Heracleum mantegazzianum	3034825	50.91374	4.41465	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969508107	PRESENT	Heracleum mantegazzianum	3034825	50.76928	4.4971	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969508071	PRESENT	Heracleum mantegazzianum	3034825	50.76277	4.64149	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969508019	PRESENT	Heracleum mantegazzianum	3034825	50.919	4.38947	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969508013	PRESENT	Heracleum mantegazzianum	3034825	50.8245	4.64127	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969508010	PRESENT	Heracleum mantegazzianum	3034825	50.94173	4.43057	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507977	PRESENT	Heracleum mantegazzianum	3034825	50.93895	4.41629	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507962	PRESENT	Heracleum mantegazzianum	3034825	50.91775	4.36735	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507956	PRESENT	Heracleum mantegazzianum	3034825	50.91175	4.31735	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507936	PRESENT	Heracleum mantegazzianum	3034825	50.91596	4.36857	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507925	PRESENT	Heracleum mantegazzianum	3034825	51.02731	4.64992	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507908	PRESENT	Heracleum mantegazzianum	3034825	50.93886	4.41079	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507863	PRESENT	Heracleum mantegazzianum	3034825	50.91545	4.36819	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507857	PRESENT	Heracleum mantegazzianum	3034825	50.94259	4.39264	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507856	PRESENT	Heracleum mantegazzianum	3034825	50.76922	4.50673	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
3969507852	PRESENT	Heracleum mantegazzianum	3034825	50.91634	4.37062	30	2022	ed5b2e6b-3013-4177-bf40-726b1f215568
