key	scientificName	kingdom	first_observed
152543101	Gyrodactylus proterorhini Ergens, 1967	Animalia	2011
152543102	Aphanomyces astaci Schikora	Chromista	2018
152543115	Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek	Fungi	2014
152543120	Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985	Animalia	2000
152543132	Graptemys pseudogeographica kohnii (Baur, 1890)	Animalia	2005
152543136	Graptemys pseudogeographica pseudogeographica	Animalia	2005
152543139	Trachemys scripta troostii (Holbrook, 1836)	Animalia	2003
152543142	Lentinula edodes (Berk.) Pegler	Fungi	2018
152543152	Melampsoridium betulinum (Pers.) Kleb.	Fungi	2000
152543155	Orthriophis taeniurus (Cope, 1861)	Animalia	2006
152543157	Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.	Fungi	2000
152543163	Lacerta viridis (Laurenti, 1768)	Animalia	2006
152543168	Podarcis siculus (Rafinesque-schmaltz, 1810)	Animalia	2004
152543178	Dendrocoelum romanodanubiale (Codreanu, 1949)	Animalia	2001
152543185	Puccinia komarovii Tranzschel	Fungi	2009
152543188	Caenoplana bicolor (Graff, 1899)	Animalia	2015
152543207	Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans	Fungi	2013
152543209	Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols	Fungi	2018
152543248	Ilex ×altaclerensis (Loud.) Dallim.	Plantae	2006
152543250	Ilex crenata Thunb.	Plantae	2012
152543251	Ilex ×meserveae S.Y.Hu	Plantae	2014
152543252	Rupicapra rupicapra (Linnaeus, 1758)	Animalia	2013
152543254	Ovis ammon (Linnaeus, 1758)	Animalia	2018
152543258	Dama dama (Linnaeus, 1758)	Animalia	2018
152543260	Cervus nippon Temminck, 1838	Animalia	2018
152543264	Muntiacus reevesi (Ogilby, 1839)	Animalia	2005
152543269	Ondatra zibethicus (Linnaeus, 1766)	Animalia	2018
152543273	Myocastor coypus (Molina, 1782)	Animalia	2018
152543277	Castor canadensis Kuhl, 1820	Animalia	2018
152543282	Hydrochoerus hydrochaeris (Linnaeus, 1766)	Animalia	2003
152543284	Dolichotis patagonum (Zimmermann, 1780)	Animalia	2014
152543289	Meriones unguiculatus (Milne-Edwards, 1867)	Animalia	2010
152543292	Melia azedarach L.	Plantae	2006
152543293	Rattus norvegicus (Berkenhout, 1769)	Animalia	2018
152543299	Sciurus carolinensis Gmelin, 1788	Animalia	2000
152543300	Sciurus niger Linnaeus, 1758	Animalia	2014
152543309	Cynomys ludovicianus (Ord, 1815)	Animalia	2018
152543313	Callosciurus prevostii (Desmarest, 1822)	Animalia	2011
152543314	Callosciurus erythraeus (Pallas, 1779)	Animalia	2004
152543316	Tamiasciurus hudsonicus (Erxleben, 1777)	Animalia	2015
152543320	Skimmia japonica Thunb.	Plantae	2012
152543323	Mephitis mephitis (Schreber, 1776)	Animalia	2014
152543327	Procyon cancrivorus G	Animalia	2006
152543332	Nasua nasua (Linnaeus, 1766)	Animalia	2007
152543337	Felis catus Linnaeus, 1758	Animalia	2018
152543341	Nyctereutes procyonoides (Gray, 1834)	Animalia	2018
152543345	Koelreuteria paniculata Laxm.	Plantae	2008
152543348	Sarcophilus harrisii (Boitard, 1841)	Animalia	2007
152543356	Oryctolagus cuniculus (Linnaeus, 1758)	Animalia	2018
152543363	Acer rufinerve Siebold & Zucc.	Plantae	2006
152543365	Pleurodeles waltl Michahelles, 1830	Animalia	2011
152543366	Acer monspessulanum L.	Plantae	2015
152543370	Acer tataricum subsp. ginnala (Maxim.) Wesm.	Plantae	2012
152543372	Triturus marmoratus (Latreille, 1800)	Animalia	2018
152543377	Rhinella marina (Linnaeus, 1758)	Animalia	2010
152543379	Acer rubrum L.	Plantae	2008
152543382	Acer saccharinum L.	Plantae	2020
152543383	Xenopus laevis (Daudin, 1802)	Animalia	2006
152543391	Aesculus parviflora Walter	Plantae	2013
152543392	Pelophylax bedriagae (Camerano, 1882)	Animalia	2000
152543399	Ammannia coccinea Rottb.	Plantae	2016
152543421	Ponticola kessleri (Günther, 1861)	Animalia	2012
152543422	Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr.	Plantae	2012
152543426	Gobiosoma bosc (Lacepède, 1800)	Animalia	2018
152543430	Neogobius melanostomus (Pallas, 1814)	Animalia	2010
152543432	Neogobius fluviatilis (Pallas, 1814)	Animalia	2015
152543436	Proterorhinus semilunaris (Heckel, 1837)	Animalia	2010
152543440	Oenothera suaveolens Desf. ex Pers.	Plantae	2015
152543447	Oenothera cambrica Rostanski	Plantae	2001
152543459	Oenothera paradoxa Hudziok	Plantae	2001
152543462	Oenothera wratislaviensis Rostanski	Plantae	2004
152543464	Oenothera royfraseri R.R.Gates	Plantae	2007
152543465	Acipenser baerii Brandt, 1869	Animalia	2001
152543467	Oenothera rubricauloides Rostanski	Plantae	2007
152543468	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	Animalia	2005
152543469	Oenothera casimiri Rostanski	Plantae	2017
152543470	Acipenser ruthenus Linnaeus, 1758	Animalia	2000
152543471	Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch	Plantae	2007
152543473	Oenothera moravica V.Jehlík & Rostanski	Plantae	2017
152543477	Oenothera speciosa Nutt.	Plantae	2017
152543502	Epilobium brachycarpum C.Presl	Plantae	2012
152543535	Ballerus ballerus (Linnaeus, 1758)	Animalia	2016
152543540	Vimba vimba (Linnaeus, 1758)	Animalia	2001
152543541	Euonymus japonicus Thunb.	Plantae	2010
152543545	Euonymus alatus (Thunb.) Siebold	Plantae	2011
152543557	Scaevola aemula R.Br.	Plantae	2014
152543566	Campanula poscharskyana Degen	Plantae	2001
152543569	Campanula fenestrellata Feer	Plantae	2001
152543575	Campanula lactiflora M.Bieb.	Plantae	2000
152543587	Lobelia sessilifolia Lamb.	Plantae	2004
152543589	Lobelia pedunculata R.Br.	Plantae	2003
152543596	Trachelium caeruleum L.	Plantae	2005
152543602	Triodanis perfoliata (L.) Nieuwl.	Plantae	2018
152543605	Platycodon grandiflorus (Jacq.) A.DC.	Plantae	2013
152543641	Milax gagates (Draparnaud, 1801)	Animalia	2018
152543652	Chondrilla juncea L.	Plantae	2004
152543663	Tasserkidrilus americanus (Brinkhurst & Cook, 1966)	Animalia	2006
152543667	Bratislavia dadayi (Michaelsen, 1905)	Animalia	2002
152543671	Monopylephorus limosus (Hatai, 1898)	Animalia	2002
152543682	Psammoryctides moravicus (Hrabĕ, 1934)	Animalia	2008
152543683	Bidens triplinervia var. macrantha (Wedd.) Sherff	Plantae	2000
152543685	Bidens radiata Thuill.	Plantae	2005
152543686	Branchiodrilus hortensis (Stephenson, 1910)	Animalia	2010
152543692	Potamothrix heuscheri (Bretscher, 1900)	Animalia	2014
152543694	Bidens vulgata Greene	Plantae	2000
152543695	Potamothrix vejdovskyi (Hrabĕ, 1941)	Animalia	2009
152543699	Limnodrilus cervix Brinkhurst, 1963	Animalia	2009
152543706	Hypania invalida (Grube, 1860)	Animalia	2000
152543710	Solidago altissima L.	Plantae	2016
152543712	Laonome calida Capa, 2007	Animalia	2014
152543725	Marenzelleria neglecta Sikorski & Bick, 2004	Animalia	2008
152543736	Tragopogon ×mirabilis Rouy	Plantae	2000
152543758	Dahlia coccinea Cav.	Plantae	2015
152543765	Aster ageratoides Turcz.	Plantae	2014
152543787	Rangia cuneata (G.B.Sowerby I, 1832)	Animalia	2004
152543793	Dimorphotheca pluvialis (L.) Moench	Plantae	2007
152543800	Eupatorium perfoliatum L.	Plantae	2007
152543809	Ligularia dentata (A.Gray) Hara	Plantae	2010
152543811	Heliopsis helianthoides (L.) Sweet	Plantae	2006
152543814	Meloidogyne artiellia Franklin, 1961	Animalia	2011
152543818	Tithonia rotundifolia (Mill.) S.F.Blake	Plantae	2015
152543820	Mastophorus Diesing, 1853	Animalia	2004
152543821	Vernonia fasciculata Michx.	Plantae	2013
152543830	Leucanthemum ×superbum (Bergmans ex J.W.Ingram) D.H.Kent	Plantae	2002
152543833	Sinelobus vanhaareni Bamber, 2014	Animalia	2007
152543842	Limnomysis benedeni Czerniavsky, 1882	Animalia	2005
152543856	Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.	Plantae	2003
152543858	Crepis bursifolia L.	Plantae	2016
152543866	Procambarus clarkii (Girard, 1852)	Animalia	2008
152543880	Inula racemosa Hook.fil.	Plantae	2001
152543886	Hemigrapsus takanoi Asakura & Watanabe, 2005	Animalia	2003
152543888	Melampodium montanum Benth.	Plantae	2003
152543889	Hemigrapsus sanguineus (De Haan, 1835)	Animalia	2006
152543897	Jaera istri Veuille, 1979	Animalia	2000
152543901	Eutrochium maculatum (L.) E.E.Lamont	Plantae	2004
152543903	Eutrochium purpureum (L.) E.E.Lamont	Plantae	2009
152543907	Synarmadillo Dollfus, 1892	Animalia	2015
