"wijk","year","growth"
"Binnenstad",1999,-36
"Bloemekenswijk",1999,12
"Brugse Poort - Rooigem",1999,85
"Dampoort",1999,107
"Drongen",1999,3
"Elisabethbegijnhof - Papegaai",1999,-4
"Gentbrugge",1999,4
"Kanaaldorpen en -zone",1999,5
"Ledeberg",1999,-4
"Macharius - Heirnis",1999,47
"Mariakerke",1999,17
"Moscou - Vogelhoek",1999,21
"Muide - Meulestede - Afrikalaan",1999,-14
"Nieuw Gent - UZ",1999,13
"Oostakker",1999,-1
"Oud Gentbrugge",1999,-1
"Rabot - Blaisantvest",1999,40
"Sint Amandsberg",1999,-16
"Sint Denijs Westrem",1999,-4
"Sluizeken - Tolhuis - Ham",1999,-26
"Stationsbuurt Noord",1999,27
"Stationsbuurt Zuid",1999,-1
"Watersportbaan - Ekkergem",1999,-114
"Wondelgem",1999,4
"Zwijnaarde",1999,19
"Binnenstad",2000,-37
"Bloemekenswijk",2000,-7
"Brugse Poort - Rooigem",2000,74
"Dampoort",2000,65
"Drongen",2000,15
"Elisabethbegijnhof - Papegaai",2000,28
"Gentbrugge",2000,-5
"Kanaaldorpen en -zone",2000,-1
"Ledeberg",2000,-31
"Macharius - Heirnis",2000,22
"Mariakerke",2000,3
"Moscou - Vogelhoek",2000,6
"Muide - Meulestede - Afrikalaan",2000,29
"Nieuw Gent - UZ",2000,32
"Oostakker",2000,27
"Oud Gentbrugge",2000,7
"Rabot - Blaisantvest",2000,45
"Sint Amandsberg",2000,-4
"Sint Denijs Westrem",2000,-5
"Sluizeken - Tolhuis - Ham",2000,21
"Stationsbuurt Noord",2000,15
"Stationsbuurt Zuid",2000,-4
"Watersportbaan - Ekkergem",2000,-106
"Wondelgem",2000,-8
"Zwijnaarde",2000,4
"Binnenstad",2001,-4
"Bloemekenswijk",2001,-3
"Brugse Poort - Rooigem",2001,89
"Dampoort",2001,44
"Drongen",2001,-9
"Elisabethbegijnhof - Papegaai",2001,17
"Gentbrugge",2001,3
"Kanaaldorpen en -zone",2001,5
"Ledeberg",2001,-22
"Macharius - Heirnis",2001,35
"Mariakerke",2001,2
"Moscou - Vogelhoek",2001,24
"Muide - Meulestede - Afrikalaan",2001,2
"Nieuw Gent - UZ",2001,2
"Oostakker",2001,-2
"Oud Gentbrugge",2001,19
"Rabot - Blaisantvest",2001,28
"Sint Amandsberg",2001,14
"Sint Denijs Westrem",2001,-15
"Sluizeken - Tolhuis - Ham",2001,-4
"Stationsbuurt Noord",2001,-3
"Stationsbuurt Zuid",2001,2
"Watersportbaan - Ekkergem",2001,-110
"Wondelgem",2001,25
"Zwijnaarde",2001,24
"Binnenstad",2002,-33
"Bloemekenswijk",2002,9
"Brugse Poort - Rooigem",2002,56
"Dampoort",2002,74
"Drongen",2002,-5
