province,location,year,latinName,commonName,counts,catched,x,y
Antwerpen,Antwerpen,2013,Alopochen aegyptiacus,Nijlgans,12,,5.48821,51.19541
Antwerpen,Antwerpen,2013,Anser albifrons,Kolgans,0,,5.8506,50.74037
Antwerpen,Antwerpen,2013,Anser anser,Grauwe gans,29,,5.8506,50.74037
Antwerpen,Antwerpen,2013,Anser anser forma domesticus,Soepgans,4,,5.19728,51.09375
Antwerpen,Antwerpen,2013,Anser brachyrhynchus,Kleine rietgans,0,,5.62545,50.93824
Antwerpen,Antwerpen,2013,Anser cygnoides forma domestica,Zwaangans,0,,5.62545,50.93824
Antwerpen,Antwerpen,2013,Anser erythropus,Dwerggans,0,,4.06983,51.1736
Antwerpen,Antwerpen,2013,Anser indicus,Indische gans,0,,5.27962,50.85855
Antwerpen,Antwerpen,2013,Branta canadensis,Canadese gans,456,,3.15924,51.2728
Antwerpen,Antwerpen,2013,Branta leucopsis,Brandgans,1,,5.17111,51.27566
Antwerpen,Antwerpen,2013,Branta ruficollis,Roodhalsgans,0,,3.22237,51.10927
Antwerpen,Antwerpen,2013,Chloephaga picta,Magelhaengans,0,,4.14796,50.78105
Antwerpen,Antwerpen,2014,Alopochen aegyptiacus,Nijlgans,7,,3.15924,51.2728
Antwerpen,Antwerpen,2014,Anser albifrons,Kolgans,1,,5.8506,50.74037
Antwerpen,Antwerpen,2014,Anser anser,Grauwe gans,2,,3.15924,51.2728
Antwerpen,Antwerpen,2014,Anser anser forma domesticus,Soepgans,0,69,4.84449,51.138
Antwerpen,Antwerpen,2014,Anser brachyrhynchus,Kleine rietgans,0,,3.59775,51.25619
Antwerpen,Antwerpen,2014,Anser cygnoides forma domestica,Zwaangans,0,,4.92756,50.990476
Antwerpen,Antwerpen,2014,Anser erythropus,Dwerggans,0,,3.95181,50.99071
Antwerpen,Antwerpen,2014,Anser indicus,Indische gans,0,,2.75808,51.04082
Antwerpen,Antwerpen,2014,Branta canadensis,Canadese gans,62,538,5.19728,51.09375
Antwerpen,Antwerpen,2014,Branta leucopsis,Brandgans,0,,4.87836,50.90303
Antwerpen,Antwerpen,2014,Branta ruficollis,Roodhalsgans,0,,4.39161,51.1087
Antwerpen,Antwerpen,2014,Chloephaga picta,Magelhaengans,0,,5.56507,50.83254
Antwerpen,Antwerpen,2015,Alopochen aegyptiacus,Nijlgans,13,,3.60046,50.80073
Antwerpen,Antwerpen,2015,Anser albifrons,Kolgans,0,,4.92756,50.990476
Antwerpen,Antwerpen,2015,Anser anser,Grauwe gans,4,,5.62545,50.93824
Antwerpen,Antwerpen,2015,Anser anser forma domesticus,Soepgans,2,,4.39161,51.1087
Antwerpen,Antwerpen,2015,Anser brachyrhynchus,Kleine rietgans,0,,4.92756,50.990476
Antwerpen,Antwerpen,2015,Anser cygnoides,Chinese knobbelgans,0,,5.8506,50.74037
Antwerpen,Antwerpen,2015,Anser cygnoides forma domestica,Zwaangans,0,,3.89966,50.86607
Antwerpen,Antwerpen,2015,Anser erythropus,Dwerggans,0,,4.14796,50.78105
Antwerpen,Antwerpen,2015,Anser indicus,Indische gans,0,,4.61731,50.91977
Antwerpen,Antwerpen,2015,Branta canadensis,Canadese gans,95,,3.59775,51.25619
Antwerpen,Antwerpen,2015,Branta leucopsis,Brandgans,0,,5.8506,50.74037
Antwerpen,Antwerpen,2015,Branta ruficollis,Roodhalsgans,0,,5.19728,51.09375
Antwerpen,Antwerpen,2015,Chloephaga picta,Magelhaengans,0,,5.17111,51.27566
Antwerpen,Antwerpen,2016,Alopochen aegyptiacus,Nijlgans,4,,5.19728,51.09375
Antwerpen,Antwerpen,2016,Anser albifrons,Kolgans,0,,5.62545,50.93824
Antwerpen,Antwerpen,2016,Anser anser,Grauwe gans,7,,5.48821,51.19541
Antwerpen,Antwerpen,2016,Anser anser forma domesticus,Soepgans,0,,4.39161,51.1087
Antwerpen,Antwerpen,2016,Anser brachyrhynchus,Kleine rietgans,0,,5.19728,51.09375
Antwerpen,Antwerpen,2016,Anser cygnoides forma domestica,Zwaangans,0,,3.4415,50.82618
Antwerpen,Antwerpen,2016,Anser erythropus,Dwerggans,0,,5.19728,51.09375
Antwerpen,Antwerpen,2016,Anser indicus,Indische gans,0,,2.99137,50.92843
Antwerpen,Antwerpen,2016,Branta canadensis,Canadese gans,86,,5.48821,51.19541
Antwerpen,Antwerpen,2016,Branta leucopsis,Brandgans,0,,3.4415,50.82618
Antwerpen,Antwerpen,2016,Branta ruficollis,Roodhalsgans,0,,4.06983,51.1736
Antwerpen,Antwerpen,2016,Chloephaga picta,Magelhaengans,0,,3.60046,50.80073
Antwerpen,Antwerpen,2017,Alopochen aegyptiacus,Nijlgans,7,,3.59775,51.25619
Antwerpen,Antwerpen,2017,Anser albifrons,Kolgans,0,,3.15924,51.2728
Antwerpen,Antwerpen,2017,Anser anser,Grauwe gans,17,,5.27962,50.85855
Antwerpen,Antwerpen,2017,Anser anser forma domesticus,Soepgans,1,,4.06983,51.1736
Antwerpen,Antwerpen,2017,Anser brachyrhynchus,Kleine rietgans,0,,3.59775,51.25619
Antwerpen,Antwerpen,2017,Anser cygnoides forma domestica,Zwaangans,0,,5.17111,51.27566
Antwerpen,Antwerpen,2017,Anser erythropus,Dwerggans,0,,4.39161,51.1087
Antwerpen,Antwerpen,2017,Anser indicus,Indische gans,0,,3.59775,51.25619
Antwerpen,Antwerpen,2017,Branta canadensis,Canadese gans,153,,3.95181,50.99071
Antwerpen,Antwerpen,2017,Branta leucopsis,Brandgans,0,,5.8506,50.74037
Antwerpen,Antwerpen,2017,Branta ruficollis,Roodhalsgans,0,,4.92756,50.990476
Antwerpen,Antwerpen,2017,Chloephaga picta,Magelhaengans,0,,3.95181,50.99071
Antwerpen,Antwerpen,2018,Alopochen aegyptiacus,Nijlgans,12,,4.39161,51.1087
Antwerpen,Antwerpen,2018,Anser albifrons,Kolgans,0,,4.87836,50.90303
Antwerpen,Antwerpen,2018,Anser anser,Grauwe gans,2,,4.14796,50.78105
Antwerpen,Antwerpen,2018,Anser anser forma domesticus,Soepgans,0,,5.8506,50.74037
Antwerpen,Antwerpen,2018,Anser brachyrhynchus,Kleine rietgans,0,,4.06983,51.1736
Antwerpen,Antwerpen,2018,Anser cygnoides forma domestica,Zwaangans,0,,3.4415,50.82618
Antwerpen,Antwerpen,2018,Anser erythropus,Dwerggans,0,,3.59775,51.25619
Antwerpen,Antwerpen,2018,Anser indicus,Indische gans,0,,2.99137,50.92843
Antwerpen,Antwerpen,2018,Branta canadensis,Canadese gans,64,,3.4415,50.82618
Antwerpen,Antwerpen,2018,Branta leucopsis,Brandgans,0,,2.99137,50.92843
Antwerpen,Antwerpen,2018,Branta ruficollis,Roodhalsgans,0,,4.14796,50.78105
Antwerpen,Antwerpen,2018,Chloephaga picta,Magelhaengans,0,,5.48821,51.19541
Antwerpen,Arendonk,2013,Alopochen aegyptiacus,Nijlgans,0,,4.87836,50.90303
Antwerpen,Arendonk,2013,Anser albifrons,Kolgans,0,,5.62545,50.93824
Antwerpen,Arendonk,2013,Anser anser,Grauwe gans,0,,5.56507,50.83254
Antwerpen,Arendonk,2013,Anser anser forma domesticus,Soepgans,0,,5.56507,50.83254
Antwerpen,Arendonk,2013,Anser brachyrhynchus,Kleine rietgans,0,,5.03706,51.36435
Antwerpen,Arendonk,2013,Anser cygnoides forma domestica,Zwaangans,0,,5.48821,51.19541
Antwerpen,Arendonk,2013,Anser erythropus,Dwerggans,0,,2.75808,51.04082
Antwerpen,Arendonk,2013,Anser indicus,Indische gans,0,,3.4415,50.82618
Antwerpen,Arendonk,2013,Branta canadensis,Canadese gans,8,,3.89966,50.86607
Antwerpen,Arendonk,2013,Branta leucopsis,Brandgans,0,,4.87836,50.90303
Antwerpen,Arendonk,2013,Branta ruficollis,Roodhalsgans,0,,5.62545,50.93824
Antwerpen,Arendonk,2013,Chloephaga picta,Magelhaengans,0,,5.56507,50.83254
Antwerpen,Arendonk,2014,Alopochen aegyptiacus,Nijlgans,0,,4.87836,50.90303
Antwerpen,Arendonk,2014,Anser albifrons,Kolgans,0,,5.17111,51.27566
Antwerpen,Arendonk,2014,Anser anser,Grauwe gans,6,,4.84449,51.138
Antwerpen,Arendonk,2014,Anser anser forma domesticus,Soepgans,0,,4.84449,51.138
Antwerpen,Arendonk,2014,Anser brachyrhynchus,Kleine rietgans,0,,3.60046,50.80073
Antwerpen,Arendonk,2014,Anser cygnoides forma domestica,Zwaangans,0,,4.84449,51.138
Antwerpen,Arendonk,2014,Anser erythropus,Dwerggans,0,,5.17111,51.27566
Antwerpen,Arendonk,2014,Anser indicus,Indische gans,0,,5.27962,50.85855
Antwerpen,Arendonk,2014,Branta canadensis,Canadese gans,0,,5.19728,51.09375
Antwerpen,Arendonk,2014,Branta leucopsis,Brandgans,0,,5.17111,51.27566
Antwerpen,Arendonk,2014,Branta ruficollis,Roodhalsgans,0,,3.22237,51.10927
Antwerpen,Arendonk,2014,Chloephaga picta,Magelhaengans,0,,5.17111,51.27566
Antwerpen,Arendonk,2015,Alopochen aegyptiacus,Nijlgans,0,,4.39161,51.1087
Antwerpen,Arendonk,2015,Anser albifrons,Kolgans,0,,3.22237,51.10927
Antwerpen,Arendonk,2015,Anser anser,Grauwe gans,0,,4.06983,51.1736
Antwerpen,Arendonk,2015,Anser anser forma domesticus,Soepgans,0,,3.15924,51.2728
Antwerpen,Arendonk,2015,Anser brachyrhynchus,Kleine rietgans,0,,4.61731,50.91977
Antwerpen,Arendonk,2015,Anser cygnoides forma domestica,Zwaangans,0,,4.84449,51.138
Antwerpen,Arendonk,2015,Anser erythropus,Dwerggans,0,,4.87836,50.90303
Antwerpen,Arendonk,2015,Anser indicus,Indische gans,0,,3.4415,50.82618
Antwerpen,Arendonk,2015,Branta canadensis,Canadese gans,3,,5.8506,50.74037
Antwerpen,Arendonk,2015,Branta leucopsis,Brandgans,0,,2.99137,50.92843
Antwerpen,Arendonk,2015,Branta ruficollis,Roodhalsgans,0,,4.06983,51.1736
Antwerpen,Arendonk,2015,Chloephaga picta,Magelhaengans,0,,3.59775,51.25619
Antwerpen,Beerse,2013,Alopochen aegyptiacus,Nijlgans,0,,4.39161,51.1087
Antwerpen,Beerse,2013,Anser albifrons,Kolgans,0,,4.06983,51.1736
Antwerpen,Beerse,2013,Anser anser,Grauwe gans,3,,4.61731,50.91977
Antwerpen,Beerse,2013,Anser anser forma domesticus,Soepgans,0,,5.19728,51.09375
Antwerpen,Beerse,2013,Anser brachyrhynchus,Kleine rietgans,0,,5.03706,51.36435
Antwerpen,Beerse,2013,Anser cygnoides forma domestica,Zwaangans,0,,5.27962,50.85855
Antwerpen,Beerse,2013,Anser erythropus,Dwerggans,0,,4.61731,50.91977
Antwerpen,Beerse,2013,Anser indicus,Indische gans,0,,3.95181,50.99071
Antwerpen,Beerse,2013,Branta canadensis,Canadese gans,154,,4.84449,51.138
Antwerpen,Beerse,2013,Branta leucopsis,Brandgans,13,,5.03706,51.36435
Antwerpen,Beerse,2013,Branta ruficollis,Roodhalsgans,0,,3.4415,50.82618
Antwerpen,Beerse,2013,Chloephaga picta,Magelhaengans,0,,4.92756,50.990476
Antwerpen,Beerse,2014,Alopochen aegyptiacus,Nijlgans,6,,3.15924,51.2728
Antwerpen,Beerse,2014,Anser albifrons,Kolgans,0,,3.4415,50.82618
Antwerpen,Beerse,2014,Anser anser,Grauwe gans,0,,5.27962,50.85855
Antwerpen,Beerse,2014,Anser anser forma domesticus,Soepgans,0,,5.8506,50.74037
Antwerpen,Beerse,2014,Anser brachyrhynchus,Kleine rietgans,0,,3.59775,51.25619
Antwerpen,Beerse,2014,Anser cygnoides forma domestica,Zwaangans,0,,5.8506,50.74037
Antwerpen,Beerse,2014,Anser erythropus,Dwerggans,0,,3.60046,50.80073
Antwerpen,Beerse,2014,Anser indicus,Indische gans,0,,3.89966,50.86607
Antwerpen,Beerse,2014,Branta canadensis,Canadese gans,88,110,5.62545,50.93824
Antwerpen,Beerse,2014,Branta leucopsis,Brandgans,0,,5.27962,50.85855
Antwerpen,Beerse,2014,Branta ruficollis,Roodhalsgans,0,,4.39161,51.1087
Antwerpen,Beerse,2014,Chloephaga picta,Magelhaengans,0,,3.4415,50.82618
Antwerpen,Beerse,2015,Alopochen aegyptiacus,Nijlgans,13,,3.22237,51.10927
Antwerpen,Beerse,2015,Anser albifrons,Kolgans,0,,5.56507,50.83254
Antwerpen,Beerse,2015,Anser anser,Grauwe gans,15,,5.56507,50.83254
Antwerpen,Beerse,2015,Anser anser forma domesticus,Soepgans,0,,4.06983,51.1736
Antwerpen,Beerse,2015,Anser brachyrhynchus,Kleine rietgans,0,,5.27962,50.85855
Antwerpen,Beerse,2015,Anser cygnoides forma domestica,Zwaangans,0,,3.4415,50.82618
Antwerpen,Beerse,2015,Anser erythropus,Dwerggans,0,,5.8506,50.74037
Antwerpen,Beerse,2015,Anser indicus,Indische gans,0,,5.17111,51.27566
Antwerpen,Beerse,2015,Branta canadensis,Canadese gans,70,,2.99137,50.92843
Antwerpen,Beerse,2015,Branta leucopsis,Brandgans,39,,4.39161,51.1087
Antwerpen,Beerse,2015,Branta ruficollis,Roodhalsgans,0,,4.61731,50.91977
Antwerpen,Beerse,2015,Chloephaga picta,Magelhaengans,0,,3.22237,51.10927
Antwerpen,Beerse,2016,Alopochen aegyptiacus,Nijlgans,13,,3.59775,51.25619
Antwerpen,Beerse,2016,Anser albifrons,Kolgans,0,,3.4415,50.82618
Antwerpen,Beerse,2016,Anser anser,Grauwe gans,15,,4.61731,50.91977
Antwerpen,Beerse,2016,Anser anser forma domesticus,Soepgans,1,1,3.89966,50.86607
Antwerpen,Beerse,2016,Anser brachyrhynchus,Kleine rietgans,0,,5.27962,50.85855
Antwerpen,Beerse,2016,Anser cygnoides forma domestica,Zwaangans,0,,5.27962,50.85855
Antwerpen,Beerse,2016,Anser erythropus,Dwerggans,0,,5.17111,51.27566
Antwerpen,Beerse,2016,Anser indicus,Indische gans,0,,4.61731,50.91977
Antwerpen,Beerse,2016,Branta canadensis,Canadese gans,111,29,5.19728,51.09375
Antwerpen,Beerse,2016,Branta leucopsis,Brandgans,38,,4.92756,50.990476
Antwerpen,Beerse,2016,Branta ruficollis,Roodhalsgans,0,,4.92756,50.990476
Antwerpen,Beerse,2016,Chloephaga picta,Magelhaengans,0,,3.60046,50.80073
Antwerpen,Beerse,2017,Alopochen aegyptiacus,Nijlgans,1,,5.17111,51.27566
Antwerpen,Beerse,2017,Anser albifrons,Kolgans,0,,4.84449,51.138
Antwerpen,Beerse,2017,Anser anser,Grauwe gans,49,,3.59775,51.25619
Antwerpen,Beerse,2017,Anser anser forma domesticus,Soepgans,3,,5.17111,51.27566
Antwerpen,Beerse,2017,Anser brachyrhynchus,Kleine rietgans,0,,4.14796,50.78105
Antwerpen,Beerse,2017,Anser cygnoides forma domestica,Zwaangans,0,,5.03706,51.36435
Antwerpen,Beerse,2017,Anser erythropus,Dwerggans,0,,3.59775,51.25619
Antwerpen,Beerse,2017,Anser indicus,Indische gans,0,,5.48821,51.19541
Antwerpen,Beerse,2017,Branta canadensis,Canadese gans,29,,2.75808,51.04082
Antwerpen,Beerse,2017,Branta leucopsis,Brandgans,34,,5.19728,51.09375
Antwerpen,Beerse,2017,Branta ruficollis,Roodhalsgans,0,,4.14796,50.78105
Antwerpen,Beerse,2017,Chloephaga picta,Magelhaengans,0,,5.17111,51.27566
Antwerpen,Beerse,2018,Alopochen aegyptiacus,Nijlgans,8,,5.19728,51.09375
Antwerpen,Beerse,2018,Anser albifrons,Kolgans,0,,5.62545,50.93824
Antwerpen,Beerse,2018,Anser anser,Grauwe gans,26,,4.87836,50.90303
Antwerpen,Beerse,2018,Anser anser forma domesticus,Soepgans,0,,4.84449,51.138
Antwerpen,Beerse,2018,Anser brachyrhynchus,Kleine rietgans,0,,3.60046,50.80073
Antwerpen,Beerse,2018,Anser cygnoides forma domestica,Zwaangans,0,,5.19728,51.09375
Antwerpen,Beerse,2018,Anser erythropus,Dwerggans,0,,5.27962,50.85855
Antwerpen,Beerse,2018,Anser indicus,Indische gans,0,,3.95181,50.99071
Antwerpen,Beerse,2018,Branta canadensis,Canadese gans,60,,4.06983,51.1736
Antwerpen,Beerse,2018,Branta leucopsis,Brandgans,36,,4.92756,50.990476
Antwerpen,Beerse,2018,Branta ruficollis,Roodhalsgans,0,,2.75808,51.04082
Antwerpen,Beerse,2018,Chloephaga picta,Magelhaengans,0,,3.60046,50.80073
Antwerpen,Bornem,2014,Alopochen aegyptiacus,Nijlgans,163,,4.61731,50.91977
Antwerpen,Bornem,2014,Anser albifrons,Kolgans,0,,2.99137,50.92843
Antwerpen,Bornem,2014,Anser anser,Grauwe gans,0,,3.95181,50.99071
Antwerpen,Bornem,2014,Anser anser forma domesticus,Soepgans,0,,2.99137,50.92843
Antwerpen,Bornem,2014,Anser brachyrhynchus,Kleine rietgans,0,,5.48821,51.19541
Antwerpen,Bornem,2014,Anser cygnoides forma domestica,Zwaangans,0,,3.4415,50.82618
Antwerpen,Bornem,2014,Anser erythropus,Dwerggans,0,,5.56507,50.83254
Antwerpen,Bornem,2014,Anser indicus,Indische gans,0,,3.95181,50.99071
Antwerpen,Bornem,2014,Branta canadensis,Canadese gans,31,,5.56507,50.83254
Antwerpen,Bornem,2014,Branta leucopsis,Brandgans,0,,5.17111,51.27566
Antwerpen,Bornem,2014,Branta ruficollis,Roodhalsgans,0,,5.03706,51.36435
Antwerpen,Bornem,2014,Chloephaga picta,Magelhaengans,0,,3.15924,51.2728
Antwerpen,Bornem,2015,Alopochen aegyptiacus,Nijlgans,382,,5.8506,50.74037
Antwerpen,Bornem,2015,Anser albifrons,Kolgans,0,,4.84449,51.138
Antwerpen,Bornem,2015,Anser anser,Grauwe gans,0,,5.17111,51.27566
Antwerpen,Bornem,2015,Anser anser forma domesticus,Soepgans,1,,3.22237,51.10927
Antwerpen,Bornem,2015,Anser brachyrhynchus,Kleine rietgans,0,,3.15924,51.2728
Antwerpen,Bornem,2015,Anser cygnoides forma domestica,Zwaangans,0,,4.92756,50.990476
Antwerpen,Bornem,2015,Anser erythropus,Dwerggans,0,,5.17111,51.27566
Antwerpen,Bornem,2015,Anser indicus,Indische gans,0,,3.15924,51.2728
Antwerpen,Bornem,2015,Branta canadensis,Canadese gans,24,,5.03706,51.36435
Antwerpen,Bornem,2015,Branta leucopsis,Brandgans,1,,2.75808,51.04082
Antwerpen,Bornem,2015,Branta ruficollis,Roodhalsgans,0,,4.39161,51.1087
Antwerpen,Bornem,2015,Chloephaga picta,Magelhaengans,0,,4.92756,50.990476
Antwerpen,Bornem,2016,Alopochen aegyptiacus,Nijlgans,89,,3.22237,51.10927
Antwerpen,Bornem,2016,Anser albifrons,Kolgans,0,,5.27962,50.85855
Antwerpen,Bornem,2016,Anser anser,Grauwe gans,0,,4.14796,50.78105
Antwerpen,Bornem,2016,Anser anser forma domesticus,Soepgans,2,,3.15924,51.2728
Antwerpen,Bornem,2016,Anser brachyrhynchus,Kleine rietgans,0,,5.03706,51.36435
Antwerpen,Bornem,2016,Anser cygnoides forma domestica,Zwaangans,0,,4.39161,51.1087
Antwerpen,Bornem,2016,Anser erythropus,Dwerggans,0,,5.48821,51.19541
Antwerpen,Bornem,2016,Anser indicus,Indische gans,0,,4.87836,50.90303
Antwerpen,Bornem,2016,Branta canadensis,Canadese gans,33,,2.99137,50.92843
Antwerpen,Bornem,2016,Branta leucopsis,Brandgans,0,,5.03706,51.36435
Antwerpen,Bornem,2016,Branta ruficollis,Roodhalsgans,0,,3.89966,50.86607
Antwerpen,Bornem,2016,Chloephaga picta,Magelhaengans,0,,2.75808,51.04082
Antwerpen,Bornem,2018,Alopochen aegyptiacus,Nijlgans,471,,5.17111,51.27566
Antwerpen,Bornem,2018,Anser albifrons,Kolgans,0,,3.60046,50.80073
Antwerpen,Bornem,2018,Anser anser,Grauwe gans,19,,2.75808,51.04082
Antwerpen,Bornem,2018,Anser anser forma domesticus,Soepgans,1,,5.62545,50.93824
Antwerpen,Bornem,2018,Anser brachyrhynchus,Kleine rietgans,0,,5.62545,50.93824
Antwerpen,Bornem,2018,Anser cygnoides forma domestica,Zwaangans,0,,4.92756,50.990476
Antwerpen,Bornem,2018,Anser erythropus,Dwerggans,0,,5.27962,50.85855
Antwerpen,Bornem,2018,Anser indicus,Indische gans,0,,4.92756,50.990476
Antwerpen,Bornem,2018,Branta canadensis,Canadese gans,94,,5.03706,51.36435
Antwerpen,Bornem,2018,Branta leucopsis,Brandgans,0,,5.62545,50.93824
Antwerpen,Bornem,2018,Branta ruficollis,Roodhalsgans,0,,2.99137,50.92843
Antwerpen,Bornem,2018,Chloephaga picta,Magelhaengans,0,,5.56507,50.83254
Antwerpen,Dessel,2013,Alopochen aegyptiacus,Nijlgans,21,,5.48821,51.19541
Antwerpen,Dessel,2013,Anser albifrons,Kolgans,0,,5.48821,51.19541
Antwerpen,Dessel,2013,Anser anser,Grauwe gans,5,,4.61731,50.91977
Antwerpen,Dessel,2013,Anser anser forma domesticus,Soepgans,0,,4.06983,51.1736
Antwerpen,Dessel,2013,Anser brachyrhynchus,Kleine rietgans,0,,4.87836,50.90303
Antwerpen,Dessel,2013,Anser cygnoides forma domestica,Zwaangans,0,,5.17111,51.27566
Antwerpen,Dessel,2013,Anser erythropus,Dwerggans,0,,3.22237,51.10927
Antwerpen,Dessel,2013,Anser indicus,Indische gans,0,,2.75808,51.04082
Antwerpen,Dessel,2013,Branta canadensis,Canadese gans,11,,5.19728,51.09375
Antwerpen,Dessel,2013,Branta leucopsis,Brandgans,1,,5.17111,51.27566
Antwerpen,Dessel,2013,Branta ruficollis,Roodhalsgans,0,,4.84449,51.138
Antwerpen,Dessel,2013,Chloephaga picta,Magelhaengans,0,,2.99137,50.92843
Antwerpen,Dessel,2015,Alopochen aegyptiacus,Nijlgans,0,,2.99137,50.92843
Antwerpen,Dessel,2015,Anser albifrons,Kolgans,0,,4.87836,50.90303
Antwerpen,Dessel,2015,Anser anser,Grauwe gans,11,,5.27962,50.85855
Antwerpen,Dessel,2015,Anser anser forma domesticus,Soepgans,0,,5.19728,51.09375
Antwerpen,Dessel,2015,Anser brachyrhynchus,Kleine rietgans,0,,3.15924,51.2728
Antwerpen,Dessel,2015,Anser cygnoides forma domestica,Zwaangans,0,,5.56507,50.83254
Antwerpen,Dessel,2015,Anser erythropus,Dwerggans,0,,5.8506,50.74037
Antwerpen,Dessel,2015,Anser indicus,Indische gans,0,,4.84449,51.138
Antwerpen,Dessel,2015,Branta canadensis,Canadese gans,0,,4.92756,50.990476
Antwerpen,Dessel,2015,Branta leucopsis,Brandgans,0,,4.61731,50.91977
Antwerpen,Dessel,2015,Branta ruficollis,Roodhalsgans,0,,3.15924,51.2728
Antwerpen,Dessel,2015,Chloephaga picta,Magelhaengans,0,,4.84449,51.138
Antwerpen,Dessel,2016,Alopochen aegyptiacus,Nijlgans,15,,3.60046,50.80073
Antwerpen,Dessel,2016,Anser albifrons,Kolgans,0,,5.19728,51.09375
Antwerpen,Dessel,2016,Anser anser,Grauwe gans,14,,3.22237,51.10927
Antwerpen,Dessel,2016,Anser anser forma domesticus,Soepgans,0,,3.15924,51.2728
Antwerpen,Dessel,2016,Anser brachyrhynchus,Kleine rietgans,0,,2.99137,50.92843
Antwerpen,Dessel,2016,Anser cygnoides forma domestica,Zwaangans,0,,5.03706,51.36435
Antwerpen,Dessel,2016,Anser erythropus,Dwerggans,0,,3.95181,50.99071
Antwerpen,Dessel,2016,Anser indicus,Indische gans,0,,3.4415,50.82618
Antwerpen,Dessel,2016,Branta canadensis,Canadese gans,49,,5.48821,51.19541
Antwerpen,Dessel,2016,Branta leucopsis,Brandgans,0,,3.15924,51.2728
Antwerpen,Dessel,2016,Branta ruficollis,Roodhalsgans,0,,4.06983,51.1736
Antwerpen,Dessel,2016,Chloephaga picta,Magelhaengans,0,,3.4415,50.82618
Antwerpen,Dessel,2017,Alopochen aegyptiacus,Nijlgans,32,,4.39161,51.1087
Antwerpen,Dessel,2017,Anser albifrons,Kolgans,0,,4.14796,50.78105
Antwerpen,Dessel,2017,Anser anser,Grauwe gans,92,19,4.92756,50.990476
Antwerpen,Dessel,2017,Anser anser forma domesticus,Soepgans,0,,5.8506,50.74037
Antwerpen,Dessel,2017,Anser brachyrhynchus,Kleine rietgans,0,,3.89966,50.86607
Antwerpen,Dessel,2017,Anser cygnoides forma domestica,Zwaangans,0,,4.61731,50.91977
Antwerpen,Dessel,2017,Anser erythropus,Dwerggans,0,,3.60046,50.80073
Antwerpen,Dessel,2017,Anser indicus,Indische gans,0,,4.06983,51.1736
Antwerpen,Dessel,2017,Branta canadensis,Canadese gans,6,,3.89966,50.86607
Antwerpen,Dessel,2017,Branta leucopsis,Brandgans,0,,5.48821,51.19541
Antwerpen,Dessel,2017,Branta ruficollis,Roodhalsgans,0,,4.06983,51.1736
Antwerpen,Dessel,2017,Chloephaga picta,Magelhaengans,0,,4.61731,50.91977
Antwerpen,Dessel,2018,Alopochen aegyptiacus,Nijlgans,0,,3.89966,50.86607
Antwerpen,Dessel,2018,Anser albifrons,Kolgans,0,,3.95181,50.99071
Antwerpen,Dessel,2018,Anser anser,Grauwe gans,31,,2.75808,51.04082
Antwerpen,Dessel,2018,Anser anser forma domesticus,Soepgans,0,,5.19728,51.09375
Antwerpen,Dessel,2018,Anser brachyrhynchus,Kleine rietgans,0,,5.03706,51.36435
Antwerpen,Dessel,2018,Anser cygnoides forma domestica,Zwaangans,0,,2.99137,50.92843
Antwerpen,Dessel,2018,Anser erythropus,Dwerggans,0,,5.8506,50.74037
Antwerpen,Dessel,2018,Anser indicus,Indische gans,0,,5.56507,50.83254
Antwerpen,Dessel,2018,Branta canadensis,Canadese gans,34,,4.61731,50.91977
Antwerpen,Dessel,2018,Branta leucopsis,Brandgans,0,,3.4415,50.82618
Antwerpen,Dessel,2018,Branta ruficollis,Roodhalsgans,0,,5.19728,51.09375
Antwerpen,Dessel,2018,Chloephaga picta,Magelhaengans,0,,3.59775,51.25619
Antwerpen,Duffel,2013,Alopochen aegyptiacus,Nijlgans,225,,5.27962,50.85855
Antwerpen,Duffel,2013,Anser albifrons,Kolgans,0,,3.95181,50.99071
Antwerpen,Duffel,2013,Anser anser,Grauwe gans,0,,5.17111,51.27566
Antwerpen,Duffel,2013,Anser anser forma domesticus,Soepgans,0,,4.61731,50.91977
Antwerpen,Duffel,2013,Anser brachyrhynchus,Kleine rietgans,0,,3.89966,50.86607
Antwerpen,Duffel,2013,Anser cygnoides forma domestica,Zwaangans,0,,3.22237,51.10927
Antwerpen,Duffel,2013,Anser erythropus,Dwerggans,0,,5.8506,50.74037
