gbifID	occurrenceID	species	speciesKey	eventDate	locality	municipality	coordinateUncertaintyInMeters	decimalLongitude	decimalLatitude
5131621458	INBO:FLORA:07211651	Heracleum mantegazzianum	3034825	2024-09-16			700	5.51389	50.92177
5131430409	INBO:FLORA:06980816	Heracleum mantegazzianum	3034825	2024-07-22			700	5.63942	50.83058
5131422126	INBO:FLORA:06981953	Heracleum mantegazzianum	3034825	2024-05-20			700	5.45701	50.92231
5131417011	INBO:FLORA:06986294	Heracleum mantegazzianum	3034825	2024-05-19			700	4.43333	51.16105
5131405333	INBO:FLORA:06987783	Heracleum mantegazzianum	3034825	2024-05-15/2024-06-24			700	4.92152	51.33955
5131401407	INBO:FLORA:06993484	Heracleum mantegazzianum	3034825	2024-03-24			700	4.02031	50.95381
5131401307	INBO:FLORA:06989506	Heracleum mantegazzianum	3034825	2024-08-17/2024-08-24			700	4.26143	51.31383
5131401036	INBO:FLORA:06970250	Heracleum mantegazzianum	3034825	2024-08-06			700	5.50994	50.75999
5131399373	INBO:FLORA:06982802	Heracleum mantegazzianum	3034825	2024-04-29			700	5.41174	50.80585
5131391636	INBO:FLORA:06996138	Heracleum mantegazzianum	3034825	2024-05-22			700	3.93592	50.84566
5131391573	INBO:FLORA:06995283	Heracleum mantegazzianum	3034825	2024-01-01/2024-12-31			700	4.46232	51.35878
5131387945	INBO:FLORA:06984259	Heracleum mantegazzianum	3034825	2024-09-28			700	3.4816	50.84312
5131387680	INBO:FLORA:06979741	Heracleum mantegazzianum	3034825	2024-03-31/2024-08-24			700	4.44742	51.04419
5131382263	INBO:FLORA:06983134	Heracleum mantegazzianum	3034825	2024-07-27			700	4.5196	51.31378
5131382059	INBO:FLORA:06980146	Heracleum mantegazzianum	3034825	2024-04-01/2024-06-28			700	4.34765	50.91836
5131381025	INBO:FLORA:06984497	Heracleum mantegazzianum	3034825	2024-04-15			700	5.44032	50.81458
5131380188	INBO:FLORA:06989706	Heracleum mantegazzianum	3034825	2024-09-08			700	4.60552	51.28667
5131375107	INBO:FLORA:06967050	Heracleum mantegazzianum	3034825	2024-06-26			700	3.63833	50.80824
5131374255	INBO:FLORA:06978958	Heracleum mantegazzianum	3034825	2024-06-16			700	5.74326	50.98225
5131374186	INBO:FLORA:06977620	Heracleum mantegazzianum	3034825	2024-07-22			700	4.86237	51.17801
5131366181	INBO:FLORA:06973299	Heracleum mantegazzianum	3034825	2024-05-01/2024-08-16			700	4.39031	50.90937
5131363023	INBO:FLORA:06963691	Heracleum mantegazzianum	3034825	2024-07-17			700	3.28118	50.91336
5131247790	770538:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Menen	30	3.18735	50.80045
5131247785	770385:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Menen	30	3.19999	50.80495
5131247775	767018:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-31		Wevelgem	30	3.19804	50.80517
5131247749	770388:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Kortrijk	30	3.21675	50.80774
5131247728	767440:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-01		Dentergem	30	3.38199	50.94556
5131247721	767118:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-01		Dentergem	30	3.41353	50.92136
5131247684	770535:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Menen	30	3.16941	50.7963
5131247653	770534:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Menen	30	3.16348	50.79607
5131247623	769777:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-08		Wevelgem	30	3.16811	50.84395
5131247574	766623:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-26		Harelbeke	30	3.33573	50.82671
5131247457	770537:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Menen	30	3.17763	50.79841
5131247443	766619:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-26		Zwevegem	30	3.35729	50.80926
5131247427	766620:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-26		Zwevegem	30	3.35767	50.80855
5131247383	770386:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10		Kortrijk	30	3.21619	50.80771
