taxonKey	vernacularName	language	country	source	sourceTaxonKey	area	preferred
5286325	Almindelig spartelmos	dan	DK	National Checklist of all species occurring in Denmark	307227042	NA	NA
5286325	Almindelig spartelmos	dan	NA	Catalogue of Life	294881614	NA	NA
5286325	Almindelig spartelmos (underart)	dan	DK	National Checklist of all species occurring in Denmark	307227042	NA	NA
5286325	Almindelig spartelmos (underart)	dan	NA	Catalogue of Life	294881614	NA	NA
5286325	Even Scalewort	eng	GB	Checklist of Vermont Species	160778370	NA	NA
5286325	Even Scalewort	eng	NA	Catalogue of Life	294881614	NA	NA
5286325	Even Scalewort	eng	GB	TAXREF	221958817	eng	NA
5286325	Gewoon schijfjesmos	nld	NA	Catalogue of Life	294881614	NA	NA
5286325	Gewöhnliches Kratzmoos	deu	DE	Taxon list of liverworts from Germany compiled in the context of the GBOL project	319816450	NA	NA
5286325	Gewöhnliches Kratzmoos	deu	NA	Catalogue of Life	294881614	NA	NA
5286325	flatmose	nob	NA	Catalogue of Life	294881614	NA	NA
5286325	gewoon schijfjesmos	nld	BE	Belgian Species List	100541678	NA	NA
5286325	haapasuomusammal	fin	FI	The FinBIF checklist of Finnish species	258025528	NA	NA
5286325	haapasuomusammal	fin	NA	Catalogue of Life	294881614	NA	NA
5286325	jongermanne aplatie	fra	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043465	NA	NA
5286325	jongermanne applati	fra	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043465	NA	NA
5286325	krinsflatmose	nob	NA	Catalogue of Life	294881614	NA	NA
5286325	radule aplanie	fra	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043465	NA	NA
5286325	radule plate	fra	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043465	NA	NA
5286325	samboradula	swe	NA	Catalogue of Life	294881614	NA	NA
5286325	stor grønkrætle	nor	NA	Nordic plant uses from Gunnerus and Høeg	164942544	NA	NA
5286325	ørkrætle	nor	NA	Nordic plant uses from Gunnerus and Høeg	164942544	NA	NA
5286325	Шкребниця сплющена	ukr	UA	Red list of flora and fauna of Mykolaiv region of Ukraine	222533904	NA	NA
5286325	Even Scalewort	eng	NA	United Kingdom Species Inventory (UKSI)	180134883	NA	TRUE
5286325	Flat-leaved Scalewort	eng	US	Checklist of Vermont Species	160778370	NA	TRUE
5286325	Gewoon schijfjesmos	nld	NA	Checklist Dutch Species Register - Nederlands Soortenregister	124590707	NA	TRUE
5286325	flat-leaved scalewort	eng	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043465	NA	TRUE
5286325	krinsflatmose	nno	NO	NA	168100284	NA	TRUE
5286325	krinsflatmose	nob	NO	NA	168100284	NA	TRUE
5286325	radule aplatie	fra	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043465	NA	TRUE
5286325	samboradula	swe	SE	Dyntaxa. Svensk taxonomisk databas	160030278	NA	TRUE
5286325	flatmose	nob	NO	NA	168100284	NA	FALSE
5286308	Almindelig månemos	dan	NA	Catalogue of Life	294859856	NA	NA
5286308	Almindelig månemos	dan	DK	National Checklist of all species occurring in Denmark	307227156	NA	NA
5286308	Crescent-cup Liverwort	eng	GB	Checklist of Vermont Species	197819272	NA	NA
5286308	Crescent-cup Liverwort	eng	NA	Catalogue of Life	294859856	NA	NA
5286308	Crescent-cup Liverwort	eng	GB	TAXREF	221962946	eng	NA
5286308	Crescent-cup liverwort	eng	US	Global Register of Introduced and Invasive Species - United States (Contiguous) (ver.2.0, 2022)	205111930	conterminous 48 United States	NA
5286308	Crescent-cup liverwort	eng	US	Global Register of Introduced and Invasive Species - Hawaii, United States (ver.2.0, 2022)	205104990	Hawaii	NA
5286308	Halvemaantjesmos	nld	NA	Catalogue of Life	294859856	NA	NA
5286308	ansarisammal	fin	FI	The FinBIF checklist of Finnish species	258024615	NA	NA
5286308	ansarisammal	fin	NA	Catalogue of Life	294859856	NA	NA
5286308	halvemaantjesmos	nld	BE	Belgian Species List	100541737	NA	NA
5286308	månemose	nob	NA	Catalogue of Life	294859856	NA	NA
5286308	månlungmossa	swe	NA	Catalogue of Life	294859856	NA	NA
5286308	Crescent-cup Liverwort	eng	NA	United Kingdom Species Inventory (UKSI)	180137173	NA	TRUE
5286308	Halvemaantjesmos	nld	NA	Checklist Dutch Species Register - Nederlands Soortenregister	152466260	NA	TRUE
5286308	crescent-cup liverwort	eng	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043540	NA	TRUE
5286308	lunulaire à gemmules	fra	NA	Bryoquel : Liste des bryophytes présentes au Québec-Labrador	100043540	NA	TRUE
5286308	månemose	nob	NO	NA	168099272	NA	TRUE
5286308	månemose	nno	NO	NA	168099272	NA	TRUE
5286308	månlungmossa	swe	SE	Dyntaxa. Svensk taxonomisk databas	160030124	NA	TRUE
9557964	Endive Pellia	eng	GB	TAXREF	221961618	eng	NA
9557964	Endive Pellia	eng	GB	Checklist of Vermont Species	205179631	NA	NA
9557964	kalkvårmose	nob	NA	Catalogue of Life	294860038	NA	NA
9557964	kragpellia	swe	NA	Catalogue of Life	294860038	NA	NA
9557964	liuskalapasammal	fin	FI	The FinBIF checklist of Finnish species	258025485	NA	NA
9557964	liuskalapasammal	fin	NA	Catalogue of Life	294860038	NA	NA
9557964	kalkvårmose	nob	NO	NA	168750975	NA	TRUE
9557964	kalkvårmose	nno	NO	NA	168750975	NA	TRUE
9557964	kragpellia	swe	SE	Dyntaxa. Svensk taxonomisk databas	160030195	NA	TRUE
9500140	Dwergwratjesmos	nld	NA	Catalogue of Life	294873852	NA	NA
9500140	Liden pungmos	dan	DK	National Checklist of all species occurring in Denmark	307226362	NA	NA
9500140	Liden pungmos	dan	NA	Catalogue of Life	294873852	NA	NA
9500140	Minute Pouncewort	eng	GB	TAXREF	221960621	eng	NA
9500140	Minute Pouncewort	eng	NA	Catalogue of Life	294873852	NA	NA
9500140	minutspindelmossa	swe	NA	Catalogue of Life	294873852	NA	NA
9500140	minutspindelmossa	swe	SE	Dyntaxa. Svensk taxonomisk databas	160030298	NA	TRUE
9500140	Minute Pouncewort	eng	NA	United Kingdom Species Inventory (UKSI)	209713216	NA	FALSE
5286379	Blauw boomvorkje	nld	NA	Catalogue of Life	294861093	NA	NA
5286379	Blueish Veilwort	eng	NA	Catalogue of Life	294861093	NA	NA
