NAAM;OPPERVLAKTE;DEELGEMEENTE_ID;DEELGEM_CODE;latWGS84;loWGS84;Aangemaakt op
Assebroek;8846819;8;AB;51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426,51.1864598252426;3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738,3.26773220761738;22/06/2016
Zwankendamme;843724;2;ZBZK;51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705,51.3058643799705;3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035,3.19216871534035;22/06/2016
Sint-Jozef;2471588;6;SPSJ;51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638;3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705;22/06/2016
Brugge-Centrum;4269702;12;BRBR;51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638,51.2221545806638;3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705,3.22139857273705;22/06/2016
