gbifID	occurrenceID	scientificName	taxonKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	basisOfRecord	sex	lifeStage	individualCount
5908543265	Natuurpunt:Waarnemingen:381619283	Procyon lotor (Linnaeus, 1758)	5218786	51.22467	4.60165	7	2025-11-12	MACHINE_OBSERVATION			1
5904961354	6-1669542	Procyon lotor (Linnaeus, 1758)	5218786	50.078083	5.098419	49	2021-09-28	HUMAN_OBSERVATION			1
5903680044	Natuurpunt:Waarnemingen:381498763	Procyon lotor (Linnaeus, 1758)	5218786	50.99376	4.59382	8	2025-11-16	MACHINE_OBSERVATION			1
5903679009	Natuurpunt:Waarnemingen:381246767	Procyon lotor (Linnaeus, 1758)	5218786	51.08487	4.96159	30	2025-11-26	HUMAN_OBSERVATION			1
5903678972	Natuurpunt:Waarnemingen:381196638	Procyon lotor (Linnaeus, 1758)	5218786	51.09014	4.92927	5	2025-11-25	HUMAN_OBSERVATION		Adult	1
5903678890	Natuurpunt:Waarnemingen:381298656	Procyon lotor (Linnaeus, 1758)	5218786	51.0836	4.96381	7	2025-11-27	HUMAN_OBSERVATION			1
5901038065	6-1655903	Procyon lotor (Linnaeus, 1758)	5218786	49.629335	5.454998	49	2025-04-07	HUMAN_OBSERVATION			2
5901038060	6-1659028	Procyon lotor (Linnaeus, 1758)	5218786	49.984275	5.348155	49	2025-03-26	HUMAN_OBSERVATION			1
5901038058	6-1643929	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038056	6-1643928	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038055	6-1640423	Procyon lotor (Linnaeus, 1758)	5218786	50.13797	5.111479	49	2025-03-20	HUMAN_OBSERVATION			1
5901038054	6-1643926	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038053	6-1643925	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901038051	6-1643934	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038050	6-1643933	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038049	6-1643932	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038047	6-1643931	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038046	6-1643930	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038045	6-1660009	Procyon lotor (Linnaeus, 1758)	5218786	50.170498	5.727262	49	2025-04-09	HUMAN_OBSERVATION			1
5901038040	6-1655918	Procyon lotor (Linnaeus, 1758)	5218786	49.603622	5.493641	49	2025-03-17	HUMAN_OBSERVATION			4
5901038039	6-1659015	Procyon lotor (Linnaeus, 1758)	5218786	49.984275	5.348155	49	2025-03-19	HUMAN_OBSERVATION			2
5901038038	6-1643939	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901038036	6-1643938	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038035	6-1643937	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
