id,date,species,n_fishes,n_traps,location_id,location_name,location_x,location_y,weight,weight_total,weight_unit,weight_calibration,length,length_unit,depth,depth_unit
45,2004-04-08,pos,5,1.5,81500000,Grens Steendorp/Temse,141472,200583,,53,g,-3.5165721783414483,,cm,164,cm
46,2004-04-08,bittervoorn,7,1.5,81500000,Grens Steendorp/Temse,141472,200583,,16,g,2.9360663215629756,,cm,40,cm
47,2004-04-08,brasem,6,1.5,81500000,Grens Steendorp/Temse,141472,200583,,50,g,-4.0235360083170235,,cm,126,cm
48,2004-04-08,brakwatergrondel,2,1.5,81500000,Grens Steendorp/Temse,141472,200583,,1,g,3.2829428231343627,,cm,169,cm
49,2004-09-13,blankvoorn,1,2,81500000,Grens Steendorp/Temse,141472,200583,,20,g,3.7412780500017107,,cm,187,cm
50,2004-09-13,chinese_wolhandkrab,27,2,81500000,Grens Steendorp/Temse,141472,200583,,2400,g,0.8224484138190746,,cm,91,cm
51,2009-03-25,chinese_wolhandkrab,7,2,81200100,Zandplaat Kastel,137700,193386,,69.81925746159963,g,-0.7774584088474512,,cm,100,cm
52,2009-03-25,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,9.6,,g,1.0267733526416123,10.4,cm,30,cm
53,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,0.4,,g,2.547008958645165,4.1,cm,117,cm
54,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,0.4,,g,-4.796826303936541,4,cm,200,cm
55,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,0.6,,g,-1.3445430318824947,3.9,cm,58,cm
56,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,0.6,,g,0.10304195573553443,3.8,cm,124,cm
57,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,0.6,,g,-3.3095482387579978,3.6,cm,167,cm
58,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,2.6,,g,-1.9958027102984488,6.4,cm,181,cm
59,2009-03-25,baars,1,2,81200100,Zandplaat Kastel,137700,193386,6,,g,4.32045343099162,8.1,cm,191,cm
60,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,4,,g,3.084264078643173,7,cm,113,cm
61,2009-03-25,pos,1,2,81200100,Zandplaat Kastel,137700,193386,7,,g,2.5819591083563864,8.2,cm,22,cm
62,2009-03-25,driedoornige_stekelbaars,1,2,81200100,Zandplaat Kastel,137700,193386,4,,g,-3.2118115155026317,7,cm,166,cm
63,2009-03-25,driedoornige_stekelbaars,1,2,81200100,Zandplaat Kastel,137700,193386,1.8,,g,-1.4709725347347558,5.7,cm,188,cm
64,2009-03-25,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,79.4,,g,-4.401699912268668,19,cm,107,cm
65,2009-03-25,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,58.6,,g,-1.0002071503549814,18.7,cm,61,cm
66,2009-03-25,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,7,,g,-0.8025970729067922,10.5,cm,67,cm
67,2009-03-25,baars,1,2,81200100,Zandplaat Kastel,137700,193386,7,,g,-0.04987521795555949,8.5,cm,152,cm
68,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,37.6,,g,-3.491065001580864,15.3,cm,84,cm
69,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,80.2,,g,1.4040660089813173,19.2,cm,72,cm
70,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,90.2,,g,2.309497690293938,18.4,cm,44,cm
71,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,80.8,,g,0.010900178458541632,18.1,cm,48,cm
72,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,65,,g,3.5048407036811113,17.8,cm,162,cm
73,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,60.8,,g,0.7347473362460732,17.2,cm,50,cm
74,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,58.8,,g,3.2803104585036635,17.2,cm,160,cm
75,2009-03-25,brakwatergrondel,1,2,81200100,Zandplaat Kastel,137700,193386,1,,g,3.9712610631249845,4.6,cm,47,cm
76,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,43.2,,g,-4.39608653774485,15.6,cm,193,cm
77,2009-03-25,driedoornige_stekelbaars,1,2,81200100,Zandplaat Kastel,137700,193386,4.8,,g,3.039691823069006,7.4,cm,35,cm
78,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,34.4,,g,-1.9441959634423256,14.3,cm,138,cm
79,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,32.6,,g,2.6890748320147395,14.3,cm,116,cm
80,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,30,,g,2.044555030297488,14.2,cm,133,cm
81,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,6.8,,g,1.7563261277973652,8.7,cm,72,cm
82,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,5.4,,g,-0.2176658995449543,8.7,cm,132,cm
83,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,5.4,,g,-1.1037037521600723,8.1,cm,158,cm
84,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,57.2,,g,1.8275672267191112,16.9,cm,118,cm
85,2009-03-25,pos,1,2,81200100,Zandplaat Kastel,137700,193386,8.2,,g,-2.947834280785173,8.5,cm,198,cm
86,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,100.6,,g,0.2950601256452501,20,cm,34,cm
