gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1426010798,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00794648,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.12342,4.28004,250,NA,NA,NA,NA,NA,2015-11-10T00:00:00Z,10,11,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426010792,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00794649,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.12088,4.26938,250,NA,NA,NA,NA,NA,2015-11-10T00:00:00Z,10,11,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426010130,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00789786,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.01906,3.97005,250,NA,NA,NA,NA,NA,2015-08-11T00:00:00Z,11,8,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426009785,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00789337,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.01906,3.97005,250,NA,NA,NA,NA,NA,2015-08-12T00:00:00Z,12,8,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426009778,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00789338,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.01906,3.97005,250,NA,NA,NA,NA,NA,2015-08-12T00:00:00Z,12,8,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426009311,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00792065,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.36538,4.22323,250,NA,NA,NA,NA,NA,2015-08-14T00:00:00Z,14,8,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426009021,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00785957,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.36538,4.22323,250,NA,NA,NA,NA,NA,2015-08-13T00:00:00Z,13,8,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:38Z,NA,NA
1426008627,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00784470,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.20551,4.37093,250,NA,NA,NA,NA,NA,2015-07-15T00:00:00Z,15,7,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:37Z,NA,NA
1426008003,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00783818,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.20551,4.37093,250,NA,NA,NA,NA,NA,2015-07-14T00:00:00Z,14,7,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:37Z,NA,NA
1426007983,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00783814,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.11526,4.24697,250,NA,NA,NA,NA,NA,2015-07-15T00:00:00Z,15,7,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:37Z,NA,NA
1426007598,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00783365,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.11526,4.24697,250,NA,NA,NA,NA,NA,2015-07-14T00:00:00Z,14,7,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:37Z,NA,NA
1426007530,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00783255,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.00327,3.86759,250,NA,NA,NA,NA,NA,2015-07-30T00:00:00Z,30,7,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:37Z,NA,NA
1426007411,702973cf-6935-45bf-ba31-cecee3571cf9,INBO:VIS:Occ:00783188,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,NA,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,NA,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.00327,3.86759,250,NA,NA,NA,NA,NA,2015-07-29T00:00:00Z,29,7,2015,2225776,2225776,HUMAN_OBSERVATION,INBO,NA,NA,NA,Jan Breine,NA,CC0_1_0,INBO,Jan Breine,NA,NA,2018-12-09T23:15:37Z,NA,NA
