AB_r,Bacterial_genotype,Phage_t,OD_0h,OD_20h,OD_72h,Survival_72h,PhageR_72h
Rif,D516G,C_noPhage,0.1971,0.596,0.69,1,NA
Rif,D516G,C_noPhage,0.1593,0.5702,0.6989,1,NA
Rif,D516G,C_noPhage,0.0926,0.6613,0.6474,1,NA
Rif,D516G,C_noPhage,0.1482,0.6465,0.7045,1,NA
Rif,D516G,C_noPhage,0.0978,0.6752,0.67,1,NA
Rif,D516G,C_noPhage,0.0897,0.6425,0.6846,1,NA
Rif,D516G,C_noPhage,0.1624,0.7368,0.7594,1,NA
Rif,D516G,C_noPhage,0.0886,0.7138,0.6877,1,NA
Rif,D516G,C_noPhage,0.0875,0.6723,0.6897,1,NA
Rif,D516G,C_noPhage,0.0722,0.6115,0.6763,1,NA
Rif,D516G,C_noPhage,0.0879,0.6572,0.6931,1,NA
Rif,D516G,C_noPhage,0.1458,0.6694,0.7514,1,NA
Rif,D516G,C_noPhage,0.1086,0.5601,0.7154,1,NA
Rif,D516G,C_noPhage,0.0953,0.5966,0.7037,1,NA
Rif,D516G,C_noPhage,0.0784,0.6984,0.6893,1,NA
Rif,D516G,C_noPhage,0.0923,0.7327,0.718,1,NA
Rif,D516G,C_noPhage,0.0808,0.7697,0.7316,1,NA
Rif,D516G,C_noPhage,0.085,0.7751,0.7524,1,NA
Rif,D516G,C_noPhage,0.0999,0.6703,0.6563,1,NA
Rif,D516G,C_noPhage,0.1696,0.6969,0.7262,1,NA
Rif,D516G,C_noPhage,0.162,0.6828,0.7282,1,NA
Rif,D516G,C_noPhage,0.0922,0.7142,0.6956,1,NA
Rif,D516G,C_noPhage,0.099,0.7173,0.7455,1,NA
Rif,D516G,C_noPhage,0.0763,0.8125,0.766,1,NA
Cip,D87G,C_noPhage,0.1798,0.7687,0.7395,1,NA
Cip,D87G,C_noPhage,0.1446,0.6928,0.7228,1,NA
Cip,D87G,C_noPhage,0.1434,0.8066,0.7284,1,NA
Cip,D87G,C_noPhage,0.1202,0.7522,0.7172,1,NA
Cip,D87G,C_noPhage,0.1043,0.7482,0.7211,1,NA
Cip,D87G,C_noPhage,0.1121,0.8204,0.7319,1,NA
Cip,D87G,C_noPhage,0.1204,0.8216,0.7405,1,NA
Cip,D87G,C_noPhage,0.0985,0.7436,0.7224,1,NA
Cip,D87G,C_noPhage,0.2625,0.7804,0.7053,1,NA
Cip,D87G,C_noPhage,0.2307,0.8067,0.7198,1,NA
Cip,D87G,C_noPhage,0.203,0.7191,0.7191,1,NA
Cip,D87G,C_noPhage,0.1563,0.7548,0.7321,1,NA
Cip,D87G,C_noPhage,0.1641,0.7877,0.7406,1,NA
Cip,D87G,C_noPhage,0.1546,0.7832,0.7317,1,NA
Cip,D87G,C_noPhage,0.1365,0.7128,0.7286,1,NA
Cip,D87G,C_noPhage,0.1407,0.7467,0.733,1,NA
Cip,D87G,C_noPhage,0.1523,0.792,0.7502,1,NA
Cip,D87G,C_noPhage,0.1254,0.7437,0.7237,1,NA
Cip,D87G,C_noPhage,0.1467,0.8231,0.7561,1,NA
Cip,D87G,C_noPhage,0.1163,0.8229,0.7302,1,NA
Cip,D87G,C_noPhage,0.1145,0.7798,0.7446,1,NA
Cip,D87G,C_noPhage,0.0839,0.7342,0.7154,1,NA
Cip,D87G,C_noPhage,0.2701,0.7873,0.7133,1,NA
Cip,D87G,C_noPhage,0.126,0.8277,0.7283,1,NA
sensitive,WT,C_noPhage,0.1246,0.8172,0.778,1,NA
sensitive,WT,C_noPhage,0.1139,0.7044,0.7846,1,NA
sensitive,WT,C_noPhage,0.0774,0.7075,0.7884,1,NA
sensitive,WT,C_noPhage,0.0698,0.7806,0.8253,1,NA
sensitive,WT,C_noPhage,0.0744,0.7692,0.8352,1,NA
sensitive,WT,C_noPhage,0.1458,0.6947,0.7077,1,NA
sensitive,WT,C_noPhage,0.1394,0.6977,0.7027,1,NA
sensitive,WT,C_noPhage,0.1311,0.7221,0.7075,1,NA
sensitive,WT,C_noPhage,0.1381,0.7374,0.7238,1,NA
sensitive,WT,C_noPhage,0.1428,0.7595,0.7678,1,NA
sensitive,WT,C_noPhage,0.1144,0.7107,0.7476,1,NA
sensitive,WT,C_noPhage,0.129,0.805,0.7801,1,NA
sensitive,WT,C_noPhage,0.1696,0.7856,0.8233,1,NA
sensitive,WT,C_noPhage,0.1624,0.7841,0.827,1,NA
