time data type username
2018-03-07T21:06:16.845615689Z wildapp AppStart ZtBaisiasiZcNVwv-4lUgFP7XnELKOG2trHSEutl
2018-03-07T21:07:35.146600986Z wildapp AppStop ZtBaisiasiZcNVwv-4lUgFP7XnELKOG2trHSEutl
2018-03-07T21:07:51.092195588Z wildapp AppStart gIdLIC1Gr1aHOCnkiTanMlgj-1Mtyj9EM5gPC0eg
2018-03-07T21:09:15.168448473Z wildapp AppStop gIdLIC1Gr1aHOCnkiTanMlgj-1Mtyj9EM5gPC0eg
2018-03-07T21:14:10.060293973Z wildapp AppStart qEiEEEeBnybJUQ44FCg0RXuI-qmmbl9VAAeoL2pt
2018-03-07T21:21:15.156427356Z wildapp AppStop qEiEEEeBnybJUQ44FCg0RXuI-qmmbl9VAAeoL2pt
2018-03-07T21:50:33.464823885Z wildapp AppStart 0d9vw5f1UQ1BHnHm7msC8Z8SRsGpjG1wB9s8AOGY
2018-03-07T21:53:15.193280681Z wildapp AppStop 0d9vw5f1UQ1BHnHm7msC8Z8SRsGpjG1wB9s8AOGY
2018-03-07T21:57:07.179523935Z wildapp AppStart BUI92Z8dl6p4bhvgghvZLVQomviPB8IGBfKTn7s2
2018-03-07T22:10:59.875137366Z wildapp AppStart YeROAVC9kOr_n50x_65IjB5eQkEOUkpOKrO8Faaj
2018-03-07T22:13:35.205028356Z wildapp AppStop YeROAVC9kOr_n50x_65IjB5eQkEOUkpOKrO8Faaj
2018-03-07T22:40:05.456760542Z wildapp AppStart WSbqWrI_OA4T9ooDVDjuMLMGTuyDqZoiBrNz4Oej
2018-03-07T22:45:55.240466519Z wildapp AppStop BUI92Z8dl6p4bhvgghvZLVQomviPB8IGBfKTn7s2
2018-03-07T22:48:15.233210622Z wildapp AppStop WSbqWrI_OA4T9ooDVDjuMLMGTuyDqZoiBrNz4Oej
2018-03-08T06:19:17.965171113Z wildapp AppStart KL2MoMsYDuz_HYGVmwTqAMYBlJVBAqh1tXZJDptx
2018-03-08T06:23:35.452901777Z wildapp AppStop KL2MoMsYDuz_HYGVmwTqAMYBlJVBAqh1tXZJDptx
2018-03-08T06:52:33.84002166Z wildapp AppStart k2sqiYkeU7WY3Tt5OwEc1pxdGg-r_mHN3K6kHvtQ
2018-03-08T06:56:35.488738359Z wildapp AppStop k2sqiYkeU7WY3Tt5OwEc1pxdGg-r_mHN3K6kHvtQ
2018-03-08T06:56:38.081345943Z wildapp AppStart Tkwglv9nx4v245Bo-xoFZRliKOTZpo7uz8b9osZF
2018-03-08T06:59:50.798594191Z wildapp AppStart b7ZxHjLUhAdjsZ36iN3ZEJddxsKoJK7jG54DMm5t
2018-03-08T07:01:07.661887071Z wildapp AppStart NvDtDLRoUuD5kIWsCWwa2ApBXq1K4PsML-_SHuqP
2018-03-08T07:01:55.450843186Z wildapp AppStop Tkwglv9nx4v245Bo-xoFZRliKOTZpo7uz8b9osZF
2018-03-08T07:02:44.826425388Z wildapp AppStart NlevFB-1gVE4l5Yd5gQuUx1nMuZIWY-_HzdTQAP7
2018-03-08T07:03:15.504482198Z wildapp AppStop NvDtDLRoUuD5kIWsCWwa2ApBXq1K4PsML-_SHuqP
2018-03-08T07:03:20.393381918Z wildapp AppStart r5zZzLQNDrAttnGVGyqF68GGPL2jTiChi-SD48jq
2018-03-08T07:04:02.600276221Z wildapp AppStart Br7GLXG4cT2YyQvgYY5gajV9Db8fZQTEEwhDP03T
2018-03-08T07:05:15.445100318Z wildapp AppStop b7ZxHjLUhAdjsZ36iN3ZEJddxsKoJK7jG54DMm5t
2018-03-08T07:06:15.472424329Z wildapp AppStop Br7GLXG4cT2YyQvgYY5gajV9Db8fZQTEEwhDP03T
2018-03-08T07:06:55.46019854Z wildapp AppStop NlevFB-1gVE4l5Yd5gQuUx1nMuZIWY-_HzdTQAP7
2018-03-08T07:07:15.470066834Z wildapp AppStop r5zZzLQNDrAttnGVGyqF68GGPL2jTiChi-SD48jq
2018-03-08T07:12:15.812992166Z wildapp AppStart qnSmqUOGIY7eC2fALeUpNKEfZhkxYlKn0fbln_ux
2018-03-08T07:15:35.481427044Z wildapp AppStop qnSmqUOGIY7eC2fALeUpNKEfZhkxYlKn0fbln_ux
2018-03-08T07:21:01.528889006Z wildapp AppStart cacdjr7qXVl7G9HQlEHnrTfD0U1hZbAC1k71Hno4
2018-03-08T07:21:04.012438207Z wildapp AppStart nRGL9698SYrd2PMgE2sagG50256wgQIW6bA9yVCG
2018-03-08T07:21:44.059333615Z wildapp AppStart hw67DUPSXRvBcEiwWqs_XwqzVyhMSpRErcp2yDiO
2018-03-08T07:21:55.501114616Z wildapp AppStop cacdjr7qXVl7G9HQlEHnrTfD0U1hZbAC1k71Hno4
2018-03-08T07:21:59.450495829Z wildapp AppStart FAYBnKfuA_O7JF9NNuyuG-hNmdpCfe5C4Sfd8whJ
2018-03-08T07:22:55.487668453Z wildapp AppStop hw67DUPSXRvBcEiwWqs_XwqzVyhMSpRErcp2yDiO
2018-03-08T07:22:55.734929835Z wildapp AppStop FAYBnKfuA_O7JF9NNuyuG-hNmdpCfe5C4Sfd8whJ
2018-03-08T07:24:41.752733456Z wildapp AppStart Cio5MTvESeGgcIE_pvGgABJ-MxKrvil51FET-3oY
2018-03-08T07:27:19.64536037Z wildapp AppStart WCqvX6XkDba1O9F9cCtY4Ga84jsJs3yXlkzS4hFR
2018-03-08T07:27:55.473375284Z wildapp AppStop Cio5MTvESeGgcIE_pvGgABJ-MxKrvil51FET-3oY
2018-03-08T07:30:36.24090124Z wildapp AppStart 9myHYKSJNQWe_KwqXPCROEdwDkVVS2x5VYrnsHJf
2018-03-08T07:30:55.476141321Z wildapp AppStop WCqvX6XkDba1O9F9cCtY4Ga84jsJs3yXlkzS4hFR
2018-03-08T07:34:31.931236999Z wildapp AppStart jqknE7_hoD3UhVdpuWZJaaZkfKrCyRPAOSMqjJVC
2018-03-08T07:36:15.47216191Z wildapp AppStop 9myHYKSJNQWe_KwqXPCROEdwDkVVS2x5VYrnsHJf
2018-03-08T07:37:40.233720922Z wildapp AppStart vpPzTO79Bm4aJ8N7XKbR3TaBfmcpqoTafAJ9vbhp
2018-03-08T07:40:35.539670395Z wildapp AppStop vpPzTO79Bm4aJ8N7XKbR3TaBfmcpqoTafAJ9vbhp
2018-03-08T07:43:15.503946022Z wildapp AppStop jqknE7_hoD3UhVdpuWZJaaZkfKrCyRPAOSMqjJVC
2018-03-08T07:47:38.40080212Z wildapp AppStart W89XueX3RtYnfBzdZZj6ALcRjNUfTEPCaEk-mhvZ
2018-03-08T07:49:29.85197439Z wildapp AppStart mGwKpxM1kThxbbtF67LcUGHIosUaYQjkbQwIywB6
2018-03-08T07:51:15.496356603Z wildapp AppStop W89XueX3RtYnfBzdZZj6ALcRjNUfTEPCaEk-mhvZ
2018-03-08T07:54:25.458222646Z wildapp AppStart JT98RiMS-Qdd9SygByeBAHFQism11SnvkYI0PWd5
2018-03-08T07:55:05.133837449Z wildapp AppStart 7erA0cbAiMaMPM6xEdDG5r21ZD08WbK43fLalUMY
2018-03-08T07:55:55.929421728Z wildapp AppStart YHVCtG_3hEfODqEbMFETrk6SFvLvwzrezdZPcTmj
2018-03-08T07:56:15.497713344Z wildapp AppStop mGwKpxM1kThxbbtF67LcUGHIosUaYQjkbQwIywB6
2018-03-08T07:58:15.508968338Z wildapp AppStop JT98RiMS-Qdd9SygByeBAHFQism11SnvkYI0PWd5
2018-03-08T07:58:35.499965061Z wildapp AppStop YHVCtG_3hEfODqEbMFETrk6SFvLvwzrezdZPcTmj
2018-03-08T07:59:12.138711936Z wildapp AppStart MWPJKt4OpNR_6vqp_XyJ4dgG3QJlrM1jIbaVFVYF
2018-03-08T08:00:05.728660801Z wildapp AppStart R4mbP8AWcvB_syuxsGnmsgozBuDPr5CJH5bfgb23
2018-03-08T08:00:29.572415277Z wildapp AppStart 2iywHp9e5EoR7T2bKIeNkWhh017iW38Rjbm25L-w
2018-03-08T08:01:35.512661961Z wildapp AppStop 2iywHp9e5EoR7T2bKIeNkWhh017iW38Rjbm25L-w
2018-03-08T08:01:55.512434375Z wildapp AppStop MWPJKt4OpNR_6vqp_XyJ4dgG3QJlrM1jIbaVFVYF
2018-03-08T08:02:35.505145967Z wildapp AppStop R4mbP8AWcvB_syuxsGnmsgozBuDPr5CJH5bfgb23
2018-03-08T08:03:03.909824954Z wildapp AppStart YWEw_SHlD4crr2G8QQmlMgc3cFeQWNvJpbvzVUTy
2018-03-08T08:03:15.540828541Z wildapp AppStop nRGL9698SYrd2PMgE2sagG50256wgQIW6bA9yVCG
2018-03-08T08:03:55.51479336Z wildapp AppStop 7erA0cbAiMaMPM6xEdDG5r21ZD08WbK43fLalUMY
2018-03-08T08:04:15.52806601Z wildapp AppStop YWEw_SHlD4crr2G8QQmlMgc3cFeQWNvJpbvzVUTy
2018-03-08T08:06:52.769182863Z wildapp AppStart MeujQQDBiZ_SUTlBNMuIypl6JtKOE6BQVM_y7iE9
2018-03-08T08:07:39.888887647Z wildapp AppStart aDxChIyitKUucti_TTkQySDvkoFQMHkVOLGTej0C
2018-03-08T08:08:02.822916818Z wildapp AppStart mmMjQxmGT4tIBLqxUoxkAet_LdUZeRtU7Pz0fn9f
2018-03-08T08:09:15.515834042Z wildapp AppStop MeujQQDBiZ_SUTlBNMuIypl6JtKOE6BQVM_y7iE9
2018-03-08T08:09:22.301400932Z wildapp AppStart TpnlMYv2xuH1U8rl2OTfwkQUgjhYjNU_9nuU-vko
2018-03-08T08:10:15.507759815Z wildapp AppStop mmMjQxmGT4tIBLqxUoxkAet_LdUZeRtU7Pz0fn9f
2018-03-08T08:11:35.503390237Z wildapp AppStop aDxChIyitKUucti_TTkQySDvkoFQMHkVOLGTej0C
2018-03-08T08:12:47.680881618Z wildapp AppStart YWEw_SHlD4crr2G8QQmlMgc3cFeQWNvJpbvzVUTy
2018-03-08T08:13:26.037612492Z wildapp AppStart 1jJHCtO3p1Hr00DOg-TeotsGbxJvyYop6rWdetIH
2018-03-08T08:13:35.513687674Z wildapp AppStop TpnlMYv2xuH1U8rl2OTfwkQUgjhYjNU_9nuU-vko
2018-03-08T08:13:48.528942752Z wildapp AppStart -_kmo-VwiWHxKyA6LjiD6Otcecv0R3-QvseEKHgI
2018-03-08T08:13:55.53624753Z wildapp AppStop YWEw_SHlD4crr2G8QQmlMgc3cFeQWNvJpbvzVUTy
2018-03-08T08:14:09.888650297Z wildapp AppStart Wt8jcT7ukrlmH_J-0B9Lc3tt5uMCDHLtUgP7rpXk
2018-03-08T08:16:30.247281317Z wildapp AppStart sRk6hAJ3k7HZuLXRnFrEBTRY5T2BwZxOEIVvZ4pv
2018-03-08T08:16:35.516878723Z wildapp AppStop Wt8jcT7ukrlmH_J-0B9Lc3tt5uMCDHLtUgP7rpXk
