datum,meetpuntnummer,meetpuntomschrijving,lambertx,lamberty,aantal_fuiken,soort,aantal,lengte,gewicht,totaal_gewicht
2004-03-08,81200100,Zandplaat Kastel,137700,193386,2,pos,1,NA,NA,7
2004-03-08,81200100,Zandplaat Kastel,137700,193386,2,blauwbandgrondel,1,NA,NA,57
2004-03-08,81200100,Zandplaat Kastel,137700,193386,2,bittervoorn,1,NA,NA,2
2004-03-08,81200100,Zandplaat Kastel,137700,193386,2,driedoornige_stekelbaars,2,NA,NA,6
2004-03-08,81200100,Zandplaat Kastel,137700,193386,2,kolblei,1,NA,NA,5
2004-09-13,81200100,Zandplaat Kastel,137700,193386,2,bittervoorn,1,NA,NA,2
2004-09-13,81200100,Zandplaat Kastel,137700,193386,2,rietvoorn,1,NA,NA,19
2004-09-13,81200100,Zandplaat Kastel,137700,193386,2,chinese_wolhandkrab,2,NA,NA,193
2004-09-13,81200100,Zandplaat Kastel,137700,193386,2,blankvoorn,6,NA,NA,348
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,grijze_garnaal,1730,NA,NA,1730
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,blankvoorn,6,NA,NA,32
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,bot,7,NA,NA,541
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,brakwatergrondel,103,NA,NA,91
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,dikkopje,3,NA,NA,860
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,fint,1,NA,NA,649
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,karper,1,NA,NA,590
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,giebel,1,NA,NA,1687
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,haring,1,NA,NA,1
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,baars,1,NA,NA,182
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,zeebaars,2,NA,NA,79
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,snoekbaars,2,NA,NA,132
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,kolblei,1,NA,NA,539
2004-09-13,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,paling,1,NA,NA,66
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,giebel,1,NA,NA,140
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,brakwatergrondel,11,NA,NA,10
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,bittervoorn,3,NA,NA,6
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,baars,1,NA,NA,86
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,blankvoorn,8,NA,NA,46
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,pos,1,NA,NA,12
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,bot,35,NA,NA,549
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,kolblei,3,NA,NA,27
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,dikkopje,4,NA,NA,7
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,snoekbaars,1,NA,NA,74
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,blauwbandgrondel,1,NA,NA,10
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,driedoornige_stekelbaars,2,NA,NA,7
2004-03-08,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2,haring,3,NA,NA,56
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,blankvoorn,9,NA,NA,44
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,giebel,3,NA,NA,65
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,chinese_wolhandkrab,3,NA,NA,29.922538912114128
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,baars,5,NA,NA,70
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,blauwbandgrondel,2,NA,NA,11
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,kolblei,52,NA,NA,1030
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,rietvoorn,1,NA,NA,29
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,karper,1,NA,NA,50
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,pos,5,NA,NA,53
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,bittervoorn,7,NA,NA,16
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,brasem,6,NA,NA,50
2004-04-08,81500000,Grens Steendorp/Temse,141472,200583,1.5,brakwatergrondel,2,NA,NA,1
2004-09-13,81500000,Grens Steendorp/Temse,141472,200583,2,blankvoorn,1,NA,NA,20
2004-09-13,81500000,Grens Steendorp/Temse,141472,200583,2,chinese_wolhandkrab,27,NA,NA,2400
2009-03-25,81200100,Zandplaat Kastel,137700,193386,2,chinese_wolhandkrab,7,NA,NA,69.81925746159963
2009-03-25,81200100,Zandplaat Kastel,137700,193386,2,kolblei,1,10.4,9.6,NA
