reference_id,reference
1,"Adema 1991, Maes et al 1998, Ysebaert et al 2000, Wouters 2002.|NA|NA|NA"
2,"NA|Adema 1991, Maes et al 1998.||NA"
3,Adema 1991|NA|NA|NA
4,"Adema and Mennema 1979, Wolff 2005;|NA|NA|NA"
5,Alimov and Bogutskaya 2004|NA|NA|NA
6,Alvarez et al 1993.|NA|NA|
7,Anderson R 1977	|NA|NA|NA
8,Anderson R 2003|NA|NA|NA
9,"Anderson R 2003	|NA||NA"
10,"Anderson R 2004  ||NA|NA"
11,"Anisimova and Lavrovskiy 1983, Romanenko et al. 2003|NA||NA"
12,Anistratenko 1998  ||NA|
13,"Ankel 1935, Kuckuck 1957, Reise 1993, Nehring 2006a,|NA||"
14,Appleby 1999|NA||NA
15,Aristegui and Fern	andez-Gil 2003.|NA|NA|NA
16,Aristegui and Fernandez-Gil 2003.||NA|NA
17,Aristegui and Fernandez-Gil 2003||NA|
18,NA|Buizer 1978  |||
19,Buizer and Van Soest 1977|NA||
20,"NA|Burlakova LE, Padilla DK, Karatayev AY and Minchin D 2006|NA|NA"
21,"Burlakova LE, Padilla DK, Karatayev AY and Minchin D 2006 |NA|NA|NA"
22,"Caamano et al 1990, Salinas et al 1996, Perez- Ruzafa et al 2002, Barbara et al 2004||NA|"
23,NA|NA|Cabal et Alimov	|
24,"Cabioch et al 1997, |NA|NA|NA"
25,"Cardigos et al 2006, Ardre et al 1974|NA|NA|NA"
26,"Cardigos et al 2006, Cornelius 1992|NA|NA|NA"
27,d'Udekem d'Acoz et al 2005|NA|NA|NA
28,"Day G 2004|NA|NA|NA"
29,"Dahl, 1946, Wolff 2005||NA|NA"
30,"Dahl, 1946, Wolff 2005||NA|NA"
31,"Dahl, 1946|NA|NA|NA"
32,Davis & Davis 2005|NA||NA
33,De Blauwe and Faasse 2001|NA|NA|NA
34,De Bruyne 1994|NA|NA|NA
35,"de Grave S, Moore SJ, Burnell G 1998|NA|NA|NA"
36,"De Grave S. Wilkins HKA 1994|NA|NA|NA"
37,"De Groot 1985, Nijssen and De Groot 1987|NA|NA|NA"
38,De Groot 1985|NA|NA|
39,"De Mesquita Rodrigues 1963|NA|NA|NA"
40,"Dechow 1920, Bathe 1995|NA|NA|NA"
41,Dediu 1980|NA|NA|NA
42,NA|NA|NA|NA
43,NA|NA|NA|NA
44,NA|NA|NA|NA
45,NA|||
46,NA|NA|NA|NA
47,NA|NA|NA|NA
48,NA||NA|NA
49,NA||NA|NA
50,NA|NA|NA|NA
51,NA||NA|NA
52,NA|NA|NA|NA
53,NA||NA|NA
41,NA|NA|Dediu 1980|NA
54,NA|NA|NA|NA
55,NA|||NA
56,NA|NA|NA|NA
57,NA|NA||NA
58,NA|NA|NA|NA
59,NA|NA||NA
60,NA|NA|NA|NA
61,NA|NA|NA|NA
