CD_PROV_REFNIS,TX_PROV_DESCR_NL,year,n
10000,Provincie Antwerpen,2015,85
10000,Provincie Antwerpen,2016,94
20001,Provincie Vlaams-Brabant,2015,7
20001,Provincie Vlaams-Brabant,2016,59
30000,Provincie West-Vlaanderen,2015,8
30000,Provincie West-Vlaanderen,2016,22
40000,Provincie Oost-Vlaanderen,2015,105
40000,Provincie Oost-Vlaanderen,2016,54
70000,Provincie Limburg,2015,3
