Ecosysteemgroep;Jaar;Extent
Stedelijk en bebouwd gebied;1990;3.471
Stedelijk en bebouwd gebied;2018;3.706
Akker en grasland;1990;8.715
Akker en grasland;2018;8.471
Bos, struweel, heide, moeras, duin en strand;1990;1.259
Bos, struweel, heide, moeras, duin en strand;2018;1.245
Zoetwater en estuarium;1990;167
Zoetwater en estuarium;2018;192
Zee;1990;3.474
Zee;2018;3.471
