gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1839274823,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3441983,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,51.206032,3.515207,,,,,,,2016-06-12T16:08:55Z,12,6,2016,2225776,2225776,HUMAN_OBSERVATION,iNaturalist,Observations,3441983,,,2016-06-12T14:34:37Z,CC_BY_NC_4_0,purperlibel,purperlibel,,,2018-12-08T18:27:17Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1570678909,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:119858239,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.00879,4.88871,3769,,,,,,2016-06-11T00:00:00Z,11,6,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:41Z,,
1570678905,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:123902232,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,50.9767,3.74782,3769,,,,,,2016-09-21T00:00:00Z,21,9,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:41Z,,
1570678886,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:120341975,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,50.88397,4.10174,3769,,,,,,2016-06-24T00:00:00Z,24,6,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:41Z,,
1570649061,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:121174027,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.14884,4.53696,3769,,,,,,2016-07-08T00:00:00Z,8,7,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:29Z,,
1570649052,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:121369442,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.10652,4.32129,3769,,,,,,2016-07-15T00:00:00Z,15,7,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:29Z,,
1570649051,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:119067873,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.00992,4.81748,3769,,,,,,2016-05-22T00:00:00Z,22,5,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:29Z,,
1570649043,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:123322408,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.15147,4.32257,3769,,,,,,2016-09-05T00:00:00Z,5,9,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:29Z,,
1570649036,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:123515785,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.24842,3.32238,3769,,,,,,2016-09-11T00:00:00Z,11,9,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:29Z,,
1570649033,9a0b66df-7535-4f28-9f4e-5bc11b8b096c,Natuurpunt:Waarnemingen:124188309,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Eriocheir,Eriocheir sinensis,,SPECIES,"Eriocheir sinensis H.Milne Edwards, 1853",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.2486,3.25074,3769,,,,,,2016-10-02T00:00:00Z,2,10,2016,2225776,2225776,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC0_1_0,Natuurpunt Studie,,,,2018-12-08T17:15:29Z,,
