TAG,LU1,LU2,LU3,cbc_Onbeb,cbc_Groen,cbc_Natuur,Alle_gewgemSCORE,RL_gewgemSCORE,RL/ALL,Rlpercent
DS6859,1.060229596,1.061644913,1.061644913,,,,20.51227413,225.7800738,11.00707178,50.3556025
DS6860,1.457431457,1.457431457,1.457431457,,,,21.16671523,229.3639792,10.83606865,51.15491891
DS6955,3.928888889,3.928888889,3.928888889,,,,12.86092597,104.1969329,8.101821996,23.23898318
DS6956,3.050075873,3.056145675,3.056145675,,,,20.37161938,154.0612207,7.562541682,34.36018715
DS6957,3.687667048,3.688557974,3.749013618,,,,19.39199083,122.6477181,6.32465842,27.35405139
DS6958,3.167566487,3.168066387,3.194761048,,,,21.91415246,183.4099759,8.369476127,40.90582346
DS6959,1.042166267,1.042166267,1.042166267,12.97309113,12.76936817,12.587883,20.47327206,221.870596,10.83708531,49.48367387
DS6960,1.981569247,2.014920133,2.014920133,,,,22.94861065,199.3449028,8.686578278,44.45978122
DS7050,3.838014217,3.838247291,3.898030533,,,,11.6839176,79.66042701,6.817955223,17.7666201
DS7051,4.040860215,4.040860215,4.059875495,,,,10.54331894,88.91029444,8.432856385,19.82961282
DS7052,4.019476373,4.020327799,4.020327799,,,,11.40045275,101.133631,8.87101883,22.55577667
DS7053,4.160587589,4.160987309,4.160987309,3.484703541,0.00000321,0,12.45179836,95.03390457,7.632142912,21.19535813
DS7054,4.070743405,4.071043165,4.098621103,4.564061165,0.0000985,0,11.92570494,109.040846,9.143345954,24.31931838
DS7055,4.029679225,4.029979015,4.029979015,4.708695889,0.0000248,0,11.27970302,99.71910773,8.840579181,22.24029635
DS7056,3.819044764,3.819844125,3.819844125,3.938867092,0.150012881,0.139684454,15.66502793,125.9132193,8.037854759,28.08235427
DS7057,2.925559552,2.935351719,2.936250999,1.758721828,0.425522059,0.361073852,22.82269716,179.8456844,7.880124034,40.11088154
DS7058,3.650979217,3.657374101,3.686151079,2.661973238,2.035235405,1.909213305,19.84789245,161.6797483,8.145940366,36.05934307
DS7059,1.386790568,1.38988809,1.38988809,12.29063702,10.80830574,10.48483944,23.00772157,184.1146217,8.002297018,41.06298022
DS7060,3.427329447,3.433773141,3.433773141,3.347496271,3.295658112,2.72052598,24.12724917,221.0554909,9.162067724,49.30188144
DS7061,3.04870624,3.04870624,3.04870624,,,,22.30423576,233.1892887,10.45493292,52.00807552
DS7149,4.020114943,4.02091954,4.065057471,,,,11.84722408,112.3124877,9.480067821,25.04899079
DS7150,4.010391687,4.010691447,4.066446843,4.091422558,0.00000295,0,12.8657986,86.71081389,6.739637123,19.33906391
DS7151,3.98361311,3.98431255,3.98481215,3.927406311,0.0000192,0,12.7649945,123.0209953,9.637371587,27.43730318
DS7152,4.07793765,4.080835332,4.192146283,3.764047623,0.000136611,0,13.43052041,116.2895281,8.658601795,25.93598786
DS7153,3.995203358,3.995203358,4.130008994,3.572939396,0.000495763,0,12.74389533,120.5724257,9.461190839,26.89120009
DS7154,4.08154292,4.08154292,4.212950934,4.008468628,0.0000816,0,10.99137473,92.38999404,8.405681393,20.60568825
DS7155,4.089528377,4.089728217,4.089728217,3.807315111,0.00000057,0,11.94256268,107.1682307,8.973637696,23.90167004
DS7156,3.907074341,3.907773781,3.961630695,2.766646385,0.0000333,0.0000209,11.71424531,88.67901801,7.570186186,19.77803136
DS7157,3.750874388,3.764964525,3.818726891,1.257177353,0.072856352,0.053734805,18.41921273,95.22119037,5.169666684,21.23712838
DS7158,4.037470024,4.050059952,4.050059952,0.378419101,0.024884641,0,19.12395073,104.2942892,5.453595372,23.26069648
DS7159,2.310551559,2.322741807,2.322741807,8.943919182,7.191350937,6.748032093,24.02815224,182.994907,7.615854321,40.81325089
DS7160,3.876186669,3.891276107,3.891276107,1.378278613,1.078755736,0.898181736,23.12763883,199.8950409,8.643123595,44.5824782
DS7161,3.62863671,3.630159939,3.630159939,,,,22.26636324,198.017503,8.893122817,44.16373199
DS7233,4.140522876,4.140973631,4.231913455,,,,8.901045283,77.68515645,8.727644224,17.32607662
DS7234,4.12435948,4.124556563,4.316121403,,,,8.624389034,55.80238703,6.470300309,12.4455749
DS7235,4.005501222,4.007742461,4.071515892,,,,9.456327807,52.29426867,5.530082051,11.66316124
DS7236,3.831595974,3.833033789,3.973040978,,,,9.564872781,55.07083767,5.757613188,12.28241786
DS7237,3.88854984,3.890584133,4.047369951,,,,8.871939826,56.68200389,6.388907612,12.64175535
DS7238,3.924229075,3.925110132,4.116475771,,,,11.05342156,76.18328119,6.892280438,16.99111423
DS7239,4.003858797,4.008575104,4.196941546,,,,9.943809237,52.48344731,5.278002228,11.70535365
DS7240,3.637551918,3.639506474,3.768018568,,,,13.76752451,108.8677794,7.907578398,24.28071943
DS7241,4.018848168,4.019685864,4.198429319,,,,8.844767961,59.93283976,6.776078244,13.36678744
DS7248,4.012957317,4.015625,4.053544207,,,,10.40336379,69.5428601,6.684651376,15.51010486
DS7249,3.943339662,3.943739382,3.983511542,5.821442604,0.000240092,0,9.002094186,51.40346198,5.710167092,11.46448513
DS7250,4.018287199,4.022384331,4.056360548,5.118982315,0.000170691,0,11.21607834,72.93557963,6.50277017,16.26678118
DS7251,4.074440448,4.075939249,4.104316547,3.583818197,0.000691956,0,11.53432588,59.56608934,5.164245395,13.2849913
DS7252,4.023481215,4.025079936,4.033872902,4.127178669,0.000103068,0,13.96151768,143.389911,10.27036704,31.98017098
DS7253,4.068944844,4.070143885,4.136091127,4.738828659,0.0000107,0,11.63007845,109.3653805,9.40366662,24.39169912
DS7254,3.989207555,3.99920056,4.026781253,5.219926357,0.000524723,0,8.698476952,47.7197125,5.485984818,10.64290056
DS7255,4.021083133,4.021382894,4.021382894,2.733317614,0.00000946,0.00000101,9.460340416,71.96499918,7.607020045,16.05031317
DS7256,3.975919265,3.976019185,3.976019185,5.030255318,0.0000114,0.00000006,11.95862145,95.95767198,8.02414161,21.40138545
DS7257,4.123900879,4.148381295,4.207234213,2.638004541,0.014144095,0.009980046,15.2428693,81.21949304,5.328359866,18.11433772
DS7258,4.174860112,4.180655476,4.220223821,2.129560947,0.000582624,0.0000536,13.56807443,81.00269823,5.970095364,18.06598609
DS7259,3.231714628,3.288469225,3.32743805,2.61570859,0.343377769,0.27752021,22.08862983,194.9793576,8.827136817,43.48613614
DS7260,2.409313481,2.414010193,2.414010193,1.544932365,0.883421779,0.680840611,24.5367943,228.9766674,9.331971595,51.06853697
DS7261,2.617549835,2.625763798,2.625763798,1.129672885,1.122172236,0.870038331,23.54984676,201.7089175,8.565190236,44.98702609
DS7262,3.965095986,3.967713787,3.967713787,,,,22.47053992,227.9142563,10.14280285,50.83158802
DS7332,3.945515084,3.948844718,4.016042781,,,,9.831984736,74.62824668,7.590354205,16.64429576
DS7333,3.965127898,3.975919265,4.067146283,10.42254829,0.001197262,0.00000439,8.980676582,49.58835116,5.521672082,11.05966199
DS7334,3.935451639,3.948241407,3.986410871,6.896436691,0.006459492,0.0000238,13.40835655,39.88919305,2.974950204,8.896464226
DS7335,4.076246627,4.076546418,4.174377935,7.420672894,0.000107065,0.0000108,8.396316455,49.28566104,5.869914659,10.99215318
DS7336,4.032477266,4.033876287,4.16288598,5.443207264,0.0000336,0,8.553293006,32.48218315,3.797623105,7.244482985
DS7337,4.051264115,4.051563905,4.129309483,5.36019659,0.00000941,0.00000004,9.740504564,74.70625328,7.669649225,16.66169353
DS7338,4.003397961,4.006296222,4.098440935,5.354210854,0.0000421,0.00000361,9.363563609,56.84178793,6.070529374,12.6773919
DS7339,4.037470024,4.043365308,4.24960032,5.083197117,0.000698121,0.00000111,9.575768771,48.13636166,5.026892651,10.73582559
DS7340,3.757294165,3.762789768,3.849020783,4.197098255,0.00102534,0.00016276,12.26335606,37.46984301,3.055431386,8.356877951
DS7341,3.626061757,3.629259518,3.730688518,3.700536251,0.022850834,0.012822104,14.10971726,49.53689951,3.510835732,11.04818676
DS7342,4.098824554,4.099695255,4.190901175,,,,8.313448871,46.93815474,5.646050811,10.46859017
DS7346,4.020920018,4.023116043,4.033402681,,,,9.819702967,95.9943056,9.775683227,21.40955583
DS7347,4.058553157,4.063449241,4.182154277,2.734211683,0.005056356,0.003178508,8.995844962,58.42087095,6.494206069,13.02957389
DS7348,4.134006196,4.134605776,4.169081643,5.243129253,0.001093075,9.99E-09,8.84306955,45.61373076,5.158133214,10.17320464
DS7349,3.990407674,3.991506795,4.078936851,6.712777138,0.000023,0,9.974671891,87.1875215,8.740891175,19.44538374
DS7350,3.935551559,3.940547562,4.051258993,4.501339912,0.000155116,0.0000639,9.703537975,53.82036922,5.546468655,12.00352659
DS7351,4.063349321,4.067246203,4.097222222,2.320200682,0.000266337,0,10.13588069,78.44218201,7.739059332,17.49491561
DS7352,4.045463629,4.054156675,4.087729816,3.778208017,0.0000813,0.00000014,11.98197885,86.63690144,7.230600434,19.32257926
DS7353,4.152577938,4.152577938,4.163469225,5.90950489,0.00003,0,12.36199524,127.7400289,10.33328573,28.4897866
DS7354,3.993404617,4.017187968,4.017187968,5.763962269,0.001718797,0.000000839,12.80673715,114.0141744,8.902671548,25.42851701
DS7355,4.127498002,4.127597922,4.174260592,5.475000381,0.00000379,0,11.83539387,79.00288291,6.675137623,17.61996841
DS7356,4.009092726,4.009192646,4.269084732,5.389726162,0.00000527,0.00000002,13.43873685,94.03734191,6.99748369,20.97309532
DS7357,3.803457234,3.814648281,3.848121503,3.325924158,0.000722312,0.000501109,15.75831153,91.00498297,5.775046573,20.29679002
DS7358,4.092226219,4.092326139,4.107513989,3.010610342,0.0000763,0.00000026,13.98564803,124.2014421,8.880635482,27.70057757
DS7359,3.998501199,4.002098321,4.090527578,2.540051699,0.0151117,0.013471183,14.76567756,114.5361624,7.756918838,25.5449357
DS7360,3.178057554,3.197741807,3.197741807,0.903741598,0.252024591,0.125933215,22.56104576,170.8860491,7.574385109,38.11261913
DS7361,3.304356515,3.32793765,3.32793765,0.192131892,0.186396554,0.055983998,22.97188453,172.1876405,7.495581837,38.40291233
DS7362,3.962458594,3.973500184,3.973500184,2.74119997,2.698203802,2.650824308,23.0578237,220.6499968,9.56941989,49.21144431
DS7429,4.054422636,4.062707112,4.113815957,,,,9.731344293,73.48656986,7.551533236,16.38966822
DS7430,3.975914451,3.980811513,4.146711973,8.037094116,0.0000929,0,10.98806441,96.21573592,8.756386235,21.45894131
DS7431,3.913369305,3.917166267,3.928856914,8.069196701,0.000435522,0.000180066,8.485098839,37.04327832,4.36568613,8.261741467
DS7432,4.111222144,4.112121515,4.117417808,12.15555286,0.000028,0,9.343853604,44.21497457,4.731984944,9.861240838
DS7433,4.037473768,4.04027181,4.138103328,15.13589478,0.0000803,0,9.248967285,73.87603659,7.987490313,16.47653077
DS7434,3.933746378,3.945837913,4.140101929,11.54444885,0.000580793,0.000000999,10.09444386,65.33579752,6.472451421,14.57180607
DS7435,4.007895263,4.008295023,4.070757545,9.045580864,0.0000522,0,10.57267513,88.44553277,8.365482879,19.72595728
DS7436,4.179474368,4.180873389,4.312481263,6.787012577,0.0000268,0,9.738892655,77.63072657,7.971206718,17.31393716
DS7437,4.144184652,4.144384492,4.270983213,5.448642731,0.000156465,0.0000238,8.410330984,48.44547961,5.760234609,10.80476799
DS7438,4.118405276,4.126998401,4.248001599,5.500629902,0.000205795,0,9.635823521,75.02975243,7.786542817,16.73384336
DS7439,4.164268585,4.166266986,4.230115907,5.887547016,0.0001506,0.00000005,9.144963935,53.74019955,5.876480207,11.98564639
DS7440,4.342660138,4.344358949,4.384630758,6.125127792,0.000623733,0,8.515844059,38.89004092,4.56678641,8.673623889
DS7441,4.018886779,4.01988608,4.069651244,6.374267578,0.000445098,0.000237204,11.06412577,84.97109974,7.679874715,18.95105644
DS7442,3.766486811,3.768685052,3.849320544,3.618926287,0.009044274,0.006017096,10.93236869,40.27778241,3.684268576,8.983131091
DS7443,4.052021277,4.055,4.183297872,,,,8.712543772,24.30708866,2.789895729,5.421196272
DS7444,4.114342297,4.114759225,4.150719199,,,,9.622607537,78.05701213,8.111835782,17.40901138
DS7445,4.027677858,4.0318745,4.067146283,4.660283566,0.001063169,0,9.034655251,92.47280996,10.23534461,20.62415864
DS7446,3.93754996,3.93764988,3.957833733,3.681783199,0.000113179,0,9.491654633,53.7037836,5.658000178,11.97752456
DS7447,3.945543565,3.947541966,4.036670663,4.146333694,0.0000429,0,10.1220889,72.87369681,7.19947212,16.25297949
DS7448,4.153792345,4.154491856,4.257619666,4.508910656,0.000583502,0,8.886708934,56.22136024,6.326454558,12.53901826
DS7449,4.071549915,4.072249425,4.114819626,6.51467371,0.000269152,0,9.634524382,80.46638357,8.351879177,17.94637214
DS7450,4.134892086,4.134892086,4.228517186,4.28958559,0.00025059,0.00000216,9.590980687,77.69368214,8.100702595,17.3279781
DS7451,4.02108524,4.023583492,4.100729489,2.518034935,0.000147217,0.00000373,8.619779574,47.72063956,5.536178641,10.64310732
DS7452,3.881494804,3.881994404,3.974420464,3.479079962,0.000218385,0,12.17244194,89.87499231,7.383480879,20.04476884
DS7453,4.092035575,4.092235435,4.145897871,5.809926987,0.0000496,0,13.50813446,111.9228534,8.285589229,24.96209086
DS7454,3.911761767,3.914659738,3.920355751,5.761021137,0.0000766,0.0000438,12.46863786,100.1072169,8.028721179,22.32685611
DS7455,4.194444444,4.194544365,4.204636291,5.517624378,0.0000166,0,12.92158096,95.38315117,7.381693575,21.2732504
DS7456,3.95273781,3.95333733,4.026278977,5.163293839,0.000397522,0.000159293,14.57715161,106.542572,7.308874524,23.76212974
DS7457,4.000899281,4.007094325,4.007094325,2.393669844,0.000156105,0.000104546,15.34794342,96.01901225,6.256148438,21.41506614
DS7458,3.808034376,3.809433397,3.831418007,2.794475555,0.000156291,0.00000768,13.10971726,84.90159928,6.476234203,18.9355558
DS7459,4.057859498,4.06145698,4.06145698,1.253943801,0.000210553,0.000022,13.92249963,85.67046686,6.15338259,19.1070359
DS7460,3.624987506,3.628085957,3.628085957,0.642828166,0.088792846,0.056757264,18.25574835,132.7526575,7.27182775,29.60775031
DS7461,2.445188368,2.46887179,2.46887179,0.450994939,0.422500879,0.295368224,23.54240327,162.7917686,6.914832217,36.30735632
DS7462,3.868691916,3.882682123,3.882682123,0.121555015,0.114915662,0.033632547,22.66791113,190.0319402,8.3833018,42.38271642
DS7463,4.348534202,4.350570033,4.350570033,,,,22.90710244,227.3254501,9.923797681,50.70026689
DS7529,4.056085919,4.057040573,4.083412888,,,,8.412842761,53.74156951,6.38803922,11.98595193
DS7530,4.087430056,4.09332534,4.220723421,8.767659187,0.00046248,0,9.135558866,60.24622329,6.594694881,13.4366812
DS7531,4.01498801,4.017386091,4.066546763,13.26406097,0.004839758,0.001061511,9.179501833,70.9801991,7.732467447,15.83067377
DS7532,4.164285,4.166883182,4.199760168,15.08855152,0.000430269,0,10.10312784,68.21729204,6.752096294,15.21446416
DS7533,3.975219824,3.990007994,4.053956835,14.50477028,0.000794904,9.99E-09,9.759493477,69.57366552,7.128819307,15.51697538
DS7534,3.972619167,3.974417907,4.017987409,11.79931641,0.000261047,0.00000029,9.221337499,57.64583899,6.251353341,12.85671895
DS7535,3.982212451,3.983211752,4.097431798,9.0145998,0.0000998,0,9.509344406,64.2488489,6.756390993,14.32938453
DS7536,4.128297362,4.128996803,4.282673861,8.561247826,0.000127308,0,9.74706642,81.38957649,8.350161267,18.15227133
DS7537,4.147382094,4.160271783,4.333233413,4.638663292,0.002313449,0.00000225,10.93489008,41.471509,3.792585814,9.249367259
DS7538,4.020787527,4.02708375,4.358484909,5.86783123,0.000806516,0.0000194,13.46640012,54.1773751,4.023152039,12.08314941
DS7539,4.014389927,4.014589787,4.092035575,6.079175472,0.0000513,0,9.143732631,67.67440831,7.401179697,15.09338511
DS7540,4.063749001,4.064748201,4.195943245,6.248713493,0.00005,8.99E-08,9.698591446,59.80024559,6.165869129,13.33721504
DS7541,3.954827104,3.955326804,4.105936438,6.511277199,0.000271367,0,8.632927722,44.50630105,5.155412218,9.926215219
DS7542,3.710802438,3.712701109,3.870590587,6.062732697,0.010014851,0.008312491,11.19881214,78.7410612,7.031197617,17.56157446
DS7543,3.473121503,3.475019984,3.56205036,3.169058561,0.042976849,0.040802691,14.90627309,95.24630172,6.389679105,21.24272895
DS7544,4.081534772,4.081834532,4.227018385,1.634041429,0.00000975,0,10.0251237,61.30642747,6.115278905,13.67313794
DS7545,4.019084732,4.019384492,4.023780975,3.376837015,0.00000869,0,9.301031001,65.38309522,7.029661036,14.58235485
DS7546,4.022482014,4.023381295,4.067545963,3.476541996,0.0000596,0.00000002,9.264559374,46.69628223,5.040313343,10.41464548
DS7547,4.103138117,4.103537877,4.127623426,4.314932346,0.0000202,0.00000032,9.791924504,72.80867105,7.435583375,16.23847683
DS7548,4.046167683,4.047766563,4.050164885,4.283033371,0.00030057,0.00000067,10.11947537,86.17727469,8.515982454,19.22006896
DS7549,4.086630695,4.089128697,4.09442446,5.601707458,0.000731395,0,9.875215798,40.34387527,4.085366446,8.997871744
DS7550,3.998301189,3.99990007,4.164684721,5.100028992,0.000292365,0.00000002,10.05137689,71.33092118,7.09663183,15.90889512
DS7551,4.008793844,4.009793145,4.021584891,4.007847786,0.001126481,0.000000919,9.545357975,74.8316631,7.839586875,16.68966361
DS7552,3.973018887,3.973118817,4.037373838,7.51890707,0.000545908,0.00000004,12.8402665,87.88390588,6.844398897,19.60069795
DS7553,3.87708604,3.87788548,3.906565404,7.639025211,0.000174288,0.00000355,11.93932939,98.86096268,8.280277685,22.04890474
DS7554,3.914342829,3.91814093,3.92183908,5.521150589,0.001015522,0.00000183,13.4970406,69.34431582,5.137742256,15.46582364
DS7555,3.972019586,3.972419306,4.004396922,6.411661625,0.0000502,0.00000027,13.63575838,106.1637375,7.785686323,23.67763849
DS7556,3.903267713,3.903667433,3.903667433,1.272792816,0.000264295,0.000238223,13.29133509,73.63381352,5.539986241,16.42250789
DS7557,3.650144899,3.659538323,3.667133007,1.362563014,0.001479344,0.00011403,18.22244475,115.0464062,6.313445194,25.65873508
DS7558,3.848521183,3.856115108,3.886191047,1.46594584,0.005842566,0.0000261,15.98461786,81.03479486,5.069548461,18.07314459
DS7559,3.911470823,3.933553157,3.982214229,0.503511488,0.001949261,0.0000362,12.74588134,84.37583778,6.61985119,18.81829551
DS7560,4.254921555,4.255021485,4.255021485,0.520838857,0.012073898,0.000479354,12.6851489,87.04597621,6.86203819,19.41381497
DS7561,3.846722622,3.875,3.875,0.654936552,0.137429953,0.027252486,18.28193059,104.4403429,5.712763341,23.29327076
DS7562,2.283872902,2.292066347,2.292066347,2.088712931,1.924524546,1.099594712,24.72774894,184.4634863,7.459776738,41.1407873
DS7563,1.827677034,1.830513626,1.830513626,6.965929508,6.794536114,6.320836067,23.19908154,205.9089366,8.875736578,45.92375399
DS7564,1.865829146,1.865829146,1.865829146,,,,20.83402039,206.4434268,9.908957703,46.04296103
DS7630,4.075092707,4.083436341,4.191594561,,,,8.944526775,58.99238341,6.59536104,13.157038
