gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4013999693	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:105853683	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Norråker, Ång	Ångermanland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	64.42394	15.60291	50.0						2022-11-25T00:00:00	25	11	2022	8000520	3628745	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	105853683				CC0_1_0	Jonas F Grahn	Jonas F Grahn			2023-01-14T18:11:15.672Z		
4007595301	baeca59f-e986-49fb-b322-1f940c446bc1	http://tun.fi/KE.176/63a587a8d5de65595547a609#Unit1	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf.	Heracleum persicum -ryhmäNA		FI		Pohjois-Savo	PRESENT	15	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	63.605543	27.149036	1.0						2022-12-23T00:00:00	23	12	2022	3628745	3628745	HUMAN_OBSERVATION			http://tun.fi/KE.176/63a587a8d5de65595547a609				CC_BY_4_0		Kaisa Rautio			2023-01-17T20:04:47.200Z		CONTINENT_DERIVED_FROM_COORDINATES
3993744050	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104987412	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Tromsöloka Dahlbergsgården, Norsjö 2022, Vb	Västerbotten	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	64.94753	19.60093	400.0						2022-12-09T07:42:00	9	12	2022	8000520	3628745	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	104987412				CC0_1_0	Länsstyrelsens Uppdragsportal	Via Länsstyrelsens Uppdragsportal			2023-01-14T18:12:31.216Z		
3993661397	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104825009	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Jormvattnet, Jmt	Jämtland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	64.70973	14.05502	10.0						2022-06-30T00:00:00	30	6	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104825009				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:11:00.540Z		
3993642598	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104824997	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Laxsjö, Jmt	Jämtland	PRESENT	5	b8323864-602a-4a7d-9127-bb903054e97d	63.81259	14.80007	10.0						2022-09-06T00:00:00	6	9	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104824997				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:12:41.923Z		
3993619816	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104824998	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Vallaleden, Jmt	Jämtland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	63.17557	14.61274	10.0						2022-08-17T00:00:00	17	8	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104824998				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:12:45.467Z		
3993593978	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104824999	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Vallaleden, Jmt	Jämtland	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	63.17565	14.61282	10.0						2022-08-17T00:00:00	17	8	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104824999				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:12:19.873Z		
3993585530	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104825006	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Korselbränna gård, Jmt	Jämtland	PRESENT	130	b8323864-602a-4a7d-9127-bb903054e97d	64.48601	15.46335	10.0						2022-06-30T00:00:00	30	6	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104825006				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:11:18.656Z		
3993550379	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104824996	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Laxsjö, Jmt	Jämtland	PRESENT	305	b8323864-602a-4a7d-9127-bb903054e97d	63.81205	14.80023	10.0						2022-09-06T00:00:00	6	9	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104824996				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:12:29.299Z		
3993511884	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:104825007	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum persicum		SPECIES	Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.	Heracleum persicum	Desf. ex Fisch.	SE	Jormvattnet, Jmt	Jämtland	PRESENT	11	b8323864-602a-4a7d-9127-bb903054e97d	64.70973	14.05559	10.0						2022-06-30T00:00:00	30	6	2022	8000520	3628745	HUMAN_OBSERVATION	Länsstyrelsen Jämtland	Artportalen	104825007				CC0_1_0	Länsstyrelsen Jämtland	Sarah J Leander			2023-01-14T18:11:03.081Z		
