species,day,month,year,decimal_longitude,decimal_latitude
Bont zandoogje,11,4,2011,2.554461832400411,51.1402529653348
Dagpauwoog,11,4,2011,2.6178975216671825,51.15218103902414
Grote vos,11,4,2011,2.5903712201490996,51.07208940896206
Klein geaderd witje,11,4,2011,2.685869351690635,51.023450157763435
Klein koolwitje,11,4,2011,2.5766923868190497,51.12234383674338
Kleine parelmoervlinder,11,4,2011,2.6041656038817016,51.08432256595231
Dagpauwoog,18,4,2011,2.584452939694747,51.10917550695129
Klein geaderd witje,18,4,2011,2.6081373534724115,51.015436809901146
Klein koolwitje,18,4,2011,2.5835025247745214,51.09443678932264
Kleine parelmoervlinder,18,4,2011,2.666618049154058,51.14156193413771
Dagpauwoog,21,4,2011,2.505577445598319,51.05015742384828
Groot dikkopje,21,4,2011,2.6273102376703172,51.03558513314463
Groot koolwitje,21,4,2011,2.637782130492851,51.02590590423904
Grote vos,21,4,2011,2.548334608003497,51.11444530819543
Klein geaderd witje,21,4,2011,2.496047915574163,51.1669237924926
Klein koolwitje,21,4,2011,2.5797560961544512,51.00752942931838
Kleine parelmoervlinder,21,4,2011,2.513452308354899,51.01837152738124
Atalanta,6,5,2011,2.6029895670339465,51.10221722793765
Groot koolwitje,6,5,2011,2.5216471522208304,51.08391870010644
Hooibeestje,6,5,2011,2.559767860230058,51.14283607915975
Klein geaderd witje,6,5,2011,2.5398625283595173,51.05548476732336
Klein koolwitje,6,5,2011,2.6847985000908374,51.15443724600598
Kleine parelmoervlinder,6,5,2011,2.6496846658270803,50.999406003179026
Atalanta,30,5,2011,2.673190847886726,50.98857759416103
Bruin zandoogje,30,5,2011,2.586917671430856,51.104526621447874
Kleine parelmoervlinder,30,5,2011,2.6839918120857327,51.079248911114405
Atalanta,26,6,2011,2.5104968926962465,51.03436504804529
Bont zandoogje,26,6,2011,2.5251898100692776,51.067392861582334
Distelvlinder,26,6,2011,2.5292831302713603,51.13920375776477
Groot dikkopje,26,6,2011,2.645375998234376,51.14851586112752
Groot koolwitje,26,6,2011,2.574949170704931,51.16070731572807
Klein geaderd witje,26,6,2011,2.5902633151598273,51.06582207378931
Klein koolwitje,26,6,2011,2.638893082886934,50.980382864521815
Kleine parelmoervlinder,26,6,2011,2.6704634864442047,51.11932656655088
Kleine vos,26,6,2011,2.6579275446571407,51.108661114023995
Koevinkje,26,6,2011,2.632108631366864,51.031105563854794
Atalanta,30,6,2011,2.6253986129630356,51.02050208167173
Bont zandoogje,30,6,2011,2.5827929318509995,51.169967161789536
Dagpauwoog,30,6,2011,2.6823322761896997,51.0135729718674
Gehakkelde aurelia,30,6,2011,2.5907714400067925,51.040041685914616
Groot dikkopje,30,6,2011,2.6077386380732057,51.00674331781454
Groot koolwitje,30,6,2011,2.6208501098770647,51.17822996896692
Klein geaderd witje,30,6,2011,2.600027278307825,51.031687639253214
Klein koolwitje,30,6,2011,2.623926440635696,51.09230934699997
Kleine parelmoervlinder,30,6,2011,2.4982147091161457,51.0127069632709
Koevinkje,30,6,2011,2.621417321367189,51.13908832298591
Atalanta,31,7,2011,2.6641647959686816,51.0437113309931
Bont zandoogje,31,7,2011,2.551199283460155,51.163119749277826
Boomblauwtje,31,7,2011,2.535638940390199,51.12722464359365
Bruin blauwtje,31,7,2011,2.655087281586602,51.16799407733604
Bruin zandoogje,31,7,2011,2.5093968228064476,51.05142810677178
Dagpauwoog,31,7,2011,2.5534681976400315,51.065434108879415
Distelvlinder,31,7,2011,2.6338988718204197,51.128256908170876
Groot koolwitje,31,7,2011,2.5119531746581196,51.08796444634907
Icarusblauwtje,31,7,2011,2.6514684217143802,51.11331572865136
Klein koolwitje,31,7,2011,2.6745181342214344,51.12789393683895
Kleine parelmoervlinder,31,7,2011,2.536620805840939,51.092758570956065
Oranje zandoogje,31,7,2011,2.563333927243948,51.10960515795276
Bruin blauwtje,9,8,2011,2.6580777819361536,51.05498933901079
Bruin zandoogje,9,8,2011,2.5490761373750863,51.03683292406611
Gehakkelde aurelia,9,8,2011,2.5994638116657733,51.04871622600592
Groot koolwitje,9,8,2011,2.4930389896128324,50.996523109376426
Klein geaderd witje,9,8,2011,2.6314570755790916,51.169191295113414
Kleine parelmoervlinder,9,8,2011,2.609323327858001,51.11188927755691
Bruin zandoogje,16,8,2011,2.501995368544012,51.000584510313345
Groot koolwitje,16,8,2011,2.509612829526886,51.15340706847608
Heivlinder,16,8,2011,2.6771581367682664,51.00756373984739
Hooibeestje,16,8,2011,2.6717034897394476,51.048043824192135
Icarusblauwtje,16,8,2011,2.68781061722897,51.132760035218666
Klein geaderd witje,16,8,2011,2.6763284878898412,50.99990267769434
Klein koolwitje,16,8,2011,2.5011028429586437,51.15376755350269
Kleine parelmoervlinder,16,8,2011,2.6794718056079,50.997390692606565
Oranje zandoogje,16,8,2011,2.5348121866676956,51.06416910935193
Bruin blauwtje,19,8,2011,2.596413679616526,50.9808345825132
Hooibeestje,19,8,2011,2.60260928241536,51.14103187138215
Klein geaderd witje,19,8,2011,2.523949065161869,51.095708570182325
Klein koolwitje,19,8,2011,2.57199743097648,51.08957443099469
