observation_id	animal_scientific_name	animal_vernacular_name	animal_count	age	sex	sequence_id	lat	lng	image_sequence_datetime	camera_deployment_start	camera_deployment_end	deployment_tag_name	project_name	organisation_name
f7ab4a12-af94-414f-a395-cf4bdcc608b2	Capreolus capreolus	western roe deer	1	unknown	unknown	c04cade9-65db-466c-8e4d-31dee29dff20	50.791636	4.698303	2018-05-02T04:38:46Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
f985ba66-db92-4722-ba39-baacff38df24	Capreolus capreolus	western roe deer	1	adult	female	52435cc3-1ebf-4e26-a5ba-544d2c9819e9	50.791636	4.698303	2018-05-04T01:25:30Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
dff22a28-02ab-47ff-8ced-130275c10e89	Vulpes vulpes	Red Fox	1	adult	unknown	2ca1b862-cc10-45bf-9090-23188ee87822	50.791636	4.698303	2018-05-05T15:17:23Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
01177efc-d9d6-4bf5-8e58-4da8d63479e4	Capreolus capreolus	western roe deer	1	unknown	female	cfd1c3a1-694f-40f4-a3e8-346d6fe8f41c	50.791636	4.698303	2018-05-07T11:01:48Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
ca449983-a4d8-42b4-8462-7a27839a40f3	Capreolus capreolus	western roe deer	1	adult	female	48ecaa0a-7f1c-4ce0-a009-a08ad137337c	50.791636	4.698303	2018-05-07T13:10:30Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
6f4d5bd4-bee3-4e3c-a4ef-a1f65f50c896	Capreolus capreolus	western roe deer	1	adult	female	dd4f7501-82a3-40c0-a253-8f2aa231e843	50.791636	4.698303	2018-05-07T13:13:16Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
dc6f14ac-94e9-4d93-930d-37b64ef42a84	Vulpes vulpes	Red Fox	1	adult	unknown	1627c41f-f581-43b6-929a-982ca3539736	50.791636	4.698303	2018-05-09T22:57:58Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
a0cf6661-e57a-4d0f-91ee-d1d0e1c1d4fb	Vulpes vulpes	Red Fox	1	adult	unknown	564978a4-b53f-41c8-90d2-59484ae114c0	50.791636	4.698303	2018-05-10T04:14:26Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
9060af5a-cf32-4953-9d5a-2db8bdde03de	Vulpes vulpes	Red Fox	1	adult	unknown	ee87d3ed-8bc7-4bb7-91ad-99e11d4c05f6	50.791636	4.698303	2018-05-10T15:24:23Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
c953d2b4-b5b6-4b6a-b9e8-3f05fee52188	Vulpes vulpes	Red Fox	1	adult	unknown	5917a9e3-78ad-481e-8f80-ecac6983dc9a	50.791636	4.698303	2018-05-11T23:02:17Z	2018-04-28T14:01:50Z	2018-06-02T15:28:12Z	Red Forest East	Monitoring for Coding	INBO abroad
