lon;lat;species;year;n
3,53160;50,75306;Celastrina argiolus;2002;1,000000
3,53160;50,75306;Vanessa atalanta;2002;1,000000
4,17847;51,10804;Ochlodes sylvanus;2005;2,000000
4,17847;51,10804;Ochlodes sylvanus;2007;2,000000
4,17847;51,10804;Vanessa atalanta;2007;2,600000
4,24867;51,06234;Celastrina argiolus;2005;1,000000
4,24867;51,06234;Ochlodes sylvanus;2005;1,333333
4,24867;51,06234;Vanessa atalanta;2005;1,000000
4,24988;51,10729;Celastrina argiolus;2005;1,000000
4,24988;51,10729;Celastrina argiolus;2007;2,000000
4,24988;51,10729;Vanessa atalanta;2001;1,000000
4,32000;51,06156;Celastrina argiolus;2005;1,000000
4,32000;51,06156;Celastrina argiolus;2007;3,285714
4,32000;51,06156;Gonepteryx rhamni;2007;1,333333
4,32000;51,06156;Ochlodes sylvanus;2005;1,000000
4,32000;51,06156;Ochlodes sylvanus;2007;68,333333
4,32000;51,06156;Vanessa atalanta;2007;3,400000
4,32128;51,10651;Celastrina argiolus;2000;1,000000
4,32128;51,10651;Celastrina argiolus;2001;1,000000
4,32128;51,10651;Gonepteryx rhamni;2000;1,000000
4,32128;51,10651;Gonepteryx rhamni;2001;1,000000
4,32128;51,10651;Ochlodes sylvanus;2005;3,000000
4,32128;51,10651;Vanessa atalanta;2000;1,666667
4,32128;51,10651;Vanessa atalanta;2001;1,450000
4,32128;51,10651;Vanessa atalanta;2009;1,000000
4,32257;51,15146;Celastrina argiolus;2000;1,000000
4,32257;51,15146;Celastrina argiolus;2008;1,000000
4,32257;51,15146;Gonepteryx rhamni;2000;1,333333
4,32257;51,15146;Gonepteryx rhamni;2008;1,000000
4,32257;51,15146;Ochlodes sylvanus;2000;1,000000
4,32257;51,15146;Vanessa atalanta;2000;2,666667
4,32257;51,15146;Vanessa atalanta;2001;1,000000
4,32385;51,19641;Celastrina argiolus;2003;1,000000
4,32385;51,19641;Celastrina argiolus;2007;1,000000
4,32385;51,19641;Vanessa atalanta;2003;10,000000
4,32514;51,24136;Vanessa atalanta;2008;1,000000
4,39133;51,06073;Celastrina argiolus;2004;2,000000
4,39133;51,06073;Celastrina argiolus;2007;2,000000
4,39133;51,06073;Celastrina argiolus;2008;3,800000
4,39133;51,06073;Celastrina argiolus;2009;3,000000
4,39133;51,06073;Gonepteryx rhamni;2004;2,000000
4,39133;51,06073;Gonepteryx rhamni;2007;1,000000
4,39133;51,06073;Ochlodes sylvanus;2007;1,000000
4,39133;51,06073;Ochlodes sylvanus;2008;2,500000
4,39133;51,06073;Vanessa atalanta;2001;1,500000
4,39133;51,06073;Vanessa atalanta;2004;4,000000
4,39133;51,06073;Vanessa atalanta;2006;2,000000
4,39133;51,06073;Vanessa atalanta;2007;3,222222
4,39133;51,06073;Vanessa atalanta;2008;5,833333
4,39268;51,10568;Vanessa atalanta;2001;1,000000
4,39811;51,28547;Celastrina argiolus;2007;1,000000
4,39811;51,28547;Ochlodes sylvanus;2007;1,000000
4,39811;51,28547;Vanessa atalanta;2007;1,000000
4,39948;51,33042;Celastrina argiolus;2007;1,052632
4,39948;51,33042;Gonepteryx rhamni;2007;1,000000
4,39948;51,33042;Gonepteryx rhamni;2008;1,000000
4,39948;51,33042;Ochlodes sylvanus;2007;1,222222
4,39948;51,33042;Vanessa atalanta;2007;1,222222
4,40085;51,37536;Celastrina argiolus;2007;2,000000
4,40085;51,37536;Ochlodes sylvanus;2007;1,000000
4,40085;51,37536;Vanessa atalanta;2007;1,000000
4,40222;51,42031;Celastrina argiolus;2005;1,000000
4,40222;51,42031;Celastrina argiolus;2007;1,000000
4,40222;51,42031;Celastrina argiolus;2009;1,000000
4,40222;51,42031;Gonepteryx rhamni;2007;1,250000
4,40222;51,42031;Vanessa atalanta;2005;4,272727
4,40222;51,42031;Vanessa atalanta;2007;3,333333
4,40222;51,42031;Vanessa atalanta;2009;1,000000
4,40360;51,46526;Celastrina argiolus;2007;1,000000
4,40360;51,46526;Vanessa atalanta;2007;3,000000
4,40360;51,46526;Vanessa atalanta;2009;7,500000
4,46124;51,01491;Celastrina argiolus;2004;1,000000
4,46124;51,01491;Celastrina argiolus;2006;1,000000
4,46124;51,01491;Celastrina argiolus;2007;1,142857
4,46124;51,01491;Gonepteryx rhamni;2004;1,000000
4,46124;51,01491;Ochlodes sylvanus;2006;2,000000
4,46124;51,01491;Vanessa atalanta;2006;1,000000
4,46124;51,01491;Vanessa atalanta;2007;2,000000
4,46266;51,05986;Celastrina argiolus;2007;3,000000
4,46266;51,05986;Celastrina argiolus;2008;1,000000
4,46266;51,05986;Celastrina argiolus;2009;7,000000
4,46266;51,05986;Ochlodes sylvanus;2008;2,000000
4,46266;51,05986;Vanessa atalanta;2004;1,000000
4,46266;51,05986;Vanessa atalanta;2007;1,600000
4,46266;51,05986;Vanessa atalanta;2008;4,000000
4,46835;51,23965;Gonepteryx rhamni;2000;1,000000
4,46979;51,28459;Celastrina argiolus;2000;1,000000
4,46979;51,28459;Gonepteryx rhamni;2000;1,000000
4,46979;51,28459;Gonepteryx rhamni;2008;1,000000
4,46979;51,28459;Ochlodes sylvanus;2000;1,000000
4,47122;51,32954;Ochlodes sylvanus;2008;2,142857
4,47122;51,32954;Vanessa atalanta;2008;1,000000
4,47122;51,32954;Vanessa atalanta;2009;2,000000
4,47266;51,37448;Celastrina argiolus;2000;2,000000
4,47266;51,37448;Celastrina argiolus;2007;2,750000
4,47266;51,37448;Celastrina argiolus;2009;1,000000
4,47266;51,37448;Gonepteryx rhamni;2001;1,000000
4,47266;51,37448;Gonepteryx rhamni;2007;1,400000
4,47266;51,37448;Ochlodes sylvanus;2000;3,500000
4,47266;51,37448;Ochlodes sylvanus;2007;2,857143
4,47266;51,37448;Ochlodes sylvanus;2008;4,000000
4,47266;51,37448;Vanessa atalanta;2000;1,500000
4,47266;51,37448;Vanessa atalanta;2001;1,000000
4,47266;51,37448;Vanessa atalanta;2005;6,000000
4,47266;51,37448;Vanessa atalanta;2007;2,176471
4,47266;51,37448;Vanessa atalanta;2009;2,000000
4,47411;51,41943;Celastrina argiolus;2005;1,000000
4,47411;51,41943;Celastrina argiolus;2007;1,000000
4,47411;51,41943;Celastrina argiolus;2009;1,266667
4,47411;51,41943;Gonepteryx rhamni;2005;1,166667
4,47411;51,41943;Gonepteryx rhamni;2007;1,000000
4,47411;51,41943;Gonepteryx rhamni;2009;2,500000
4,47411;51,41943;Ochlodes sylvanus;2000;3,000000
4,47411;51,41943;Ochlodes sylvanus;2007;2,333333
4,47411;51,41943;Ochlodes sylvanus;2009;2,750000
4,47411;51,41943;Vanessa atalanta;2005;1,545455
4,47411;51,41943;Vanessa atalanta;2007;1,821918
4,47411;51,41943;Vanessa atalanta;2009;2,130435
4,47556;51,46437;Celastrina argiolus;2005;1,307692
4,47556;51,46437;Celastrina argiolus;2007;1,166667
4,47556;51,46437;Celastrina argiolus;2009;1,142857
4,47556;51,46437;Gonepteryx rhamni;2005;1,000000
4,47556;51,46437;Gonepteryx rhamni;2007;1,000000
4,47556;51,46437;Gonepteryx rhamni;2009;1,000000
4,47556;51,46437;Ochlodes sylvanus;2005;1,000000
4,47556;51,46437;Ochlodes sylvanus;2007;1,000000
4,47556;51,46437;Ochlodes sylvanus;2009;1,200000
4,47556;51,46437;Vanessa atalanta;2005;2,666667
4,47556;51,46437;Vanessa atalanta;2007;1,927711
4,47556;51,46437;Vanessa atalanta;2009;1,333333
4,53250;51,01400;Celastrina argiolus;2004;1,285714
4,53250;51,01400;Celastrina argiolus;2006;1,666667
4,53250;51,01400;Celastrina argiolus;2007;1,333333
4,53250;51,01400;Gonepteryx rhamni;2004;3,000000
4,53250;51,01400;Gonepteryx rhamni;2006;2,000000
4,53250;51,01400;Ochlodes sylvanus;2004;2,333333
4,53250;51,01400;Ochlodes sylvanus;2006;3,333333
4,53250;51,01400;Vanessa atalanta;2004;3,291667
4,53250;51,01400;Vanessa atalanta;2006;2,142857
4,53250;51,01400;Vanessa atalanta;2007;1,000000
4,53250;51,01400;Vanessa atalanta;2008;1,000000
4,53398;51,05895;Ochlodes sylvanus;2005;1,000000
4,53398;51,05895;Vanessa atalanta;2004;1,000000
4,53845;51,19378;Celastrina argiolus;2009;1,500000
4,53845;51,19378;Gonepteryx rhamni;2002;1,000000
4,53845;51,19378;Vanessa atalanta;2007;1,000000
4,53845;51,19378;Vanessa atalanta;2009;1,000000
4,54146;51,28367;Gonepteryx rhamni;2004;1,000000
4,54146;51,28367;Gonepteryx rhamni;2008;2,333333
4,54296;51,32862;Celastrina argiolus;2003;1,000000
4,54296;51,32862;Celastrina argiolus;2007;2,000000
4,54296;51,32862;Celastrina argiolus;2009;1,000000
4,54296;51,32862;Gonepteryx rhamni;2009;1,000000
4,54296;51,32862;Ochlodes sylvanus;2007;1,000000
4,54296;51,32862;Ochlodes sylvanus;2008;9,500000
4,54296;51,32862;Vanessa atalanta;2007;3,000000
4,54447;51,37356;Celastrina argiolus;2007;1,000000
4,54447;51,37356;Celastrina argiolus;2009;1,333333
4,54447;51,37356;Gonepteryx rhamni;2009;1,000000
4,54447;51,37356;Ochlodes sylvanus;2007;2,000000
4,54447;51,37356;Ochlodes sylvanus;2009;1,666667
4,54447;51,37356;Vanessa atalanta;2007;1,000000
4,54447;51,37356;Vanessa atalanta;2009;1,600000
4,54599;51,41850;Celastrina argiolus;2009;1,000000
4,54599;51,41850;Gonepteryx rhamni;2005;2,000000
4,54599;51,41850;Ochlodes sylvanus;2009;2,000000
4,54599;51,41850;Vanessa atalanta;2005;1,000000
4,54599;51,41850;Vanessa atalanta;2007;1,600000
4,54599;51,41850;Vanessa atalanta;2009;2,000000
4,54751;51,46344;Celastrina argiolus;2007;1,428571
4,54751;51,46344;Celastrina argiolus;2009;4,000000
4,54751;51,46344;Gonepteryx rhamni;2005;1,000000
4,54751;51,46344;Gonepteryx rhamni;2007;1,714286
4,54751;51,46344;Gonepteryx rhamni;2009;1,000000
4,54751;51,46344;Ochlodes sylvanus;2007;2,545455
4,54751;51,46344;Ochlodes sylvanus;2009;1,166667
4,54751;51,46344;Vanessa atalanta;2005;1,000000
4,54751;51,46344;Vanessa atalanta;2007;3,500000
