gbifID	species	speciesKey	genus	genusKey	eventDate	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
4863770969	Aethalura punctulata	1990150	Aethalura	1990136	2024-05-13T07:13:00Z	50.438729	6.108856	2
4863766350	Vanessa atalanta	1898286	Vanessa	1898261	2024-05-12T16:03:44Z	50.494587	6.173775	4
4863763534	Peribatodes rhomboidaria	1957572	Peribatodes	1957545	2024-05-14T15:24:24Z	50.867312	4.681188	5
4863760726	Pararge aegeria	8049830	Pararge	1894469	2024-05-14T15:00:55Z	50.156156	4.182658	44
4863757263	Gonepteryx rhamni	1920712	Gonepteryx	1920704	2024-05-01T15:11:00Z	51.115542	2.660099	8
4863749461	Coenonympha pamphilus	1911461	Coenonympha	1911078	2024-05-14T09:04:00Z	51.180585	4.654575	8
4863748793	Pieris napi	1920494	Pieris	1920481	2024-05-10T10:03:32Z	49.910571	5.274331	9
4863747747	Acronicta megacephala	1782777	Acronicta	1782659	2024-05-12T07:08:00Z	50.551551	5.098339	4
4863746930	Pararge aegeria	8049830	Pararge	1894469	2024-05-09T15:36:42Z	51.125441	4.47805	30
4863742436	Laothoe populi	5124007	Laothoe	1863647	2024-05-14T07:17:00Z	50.438736	6.108844	2
4863740204	Phalera bucephala	5119245	Phalera	1827547	2024-05-08T16:08:15Z	51.203061	5.290117	15
4863726203	Euclidia glyphica	1798408	Euclidia	1798377	2024-05-13T10:28:46Z	50.52077	3.603584	3
4863723596	Helleia helle	1925962	Helleia	1925960	2024-05-12T15:59:00Z	50.493856	6.170847	121
4863723538	Epirrhoe tristata	1964653	Epirrhoe	1964577	2024-05-12T12:48:00Z	50.490442	6.13345	5
4863713470	Adela viridella	1860987	Adela	1856563	2024-05-09T15:49:02Z	50.397008	5.887253	4
4863711214	Hofmannophila pseudospretella	1836899	Hofmannophila	1836898	2024-05-06T10:53:29Z	51.043317	3.729792	177
4863707197	Pararge aegeria	8049830	Pararge	1894469	2024-05-13T14:39:44Z	50.523573	3.599609	899
4863703143	Lycaena phlaeas	1929697	Lycaena	1929153	2024-05-09T16:25:00Z	50.974973	5.652883	75
4863703000	Cydalima perspectalis	4532122	Cydalima	1884886	2024-05-13T14:14:15Z	50.08947	4.564417	9
