gbifID	occurrenceID	species	speciesKey	eventDate	decimalLatitude	decimalLongitude	locality	municipality	coordinateUncertaintyInMeters
5131621458	INBO:FLORA:07211651	Heracleum mantegazzianum	3034825	2024-09-16	50.92177	5.51389			700
5131430409	INBO:FLORA:06980816	Heracleum mantegazzianum	3034825	2024-07-22	50.83058	5.63942			700
5131422126	INBO:FLORA:06981953	Heracleum mantegazzianum	3034825	2024-05-20	50.92231	5.45701			700
5131417011	INBO:FLORA:06986294	Heracleum mantegazzianum	3034825	2024-05-19	51.16105	4.43333			700
5131405333	INBO:FLORA:06987783	Heracleum mantegazzianum	3034825	2024-05-15/2024-06-24	51.33955	4.92152			700
5131401407	INBO:FLORA:06993484	Heracleum mantegazzianum	3034825	2024-03-24	50.95381	4.02031			700
5131401307	INBO:FLORA:06989506	Heracleum mantegazzianum	3034825	2024-08-17/2024-08-24	51.31383	4.26143			700
5131401036	INBO:FLORA:06970250	Heracleum mantegazzianum	3034825	2024-08-06	50.75999	5.50994			700
5131399373	INBO:FLORA:06982802	Heracleum mantegazzianum	3034825	2024-04-29	50.80585	5.41174			700
5131391636	INBO:FLORA:06996138	Heracleum mantegazzianum	3034825	2024-05-22	50.84566	3.93592			700
5131391573	INBO:FLORA:06995283	Heracleum mantegazzianum	3034825	2024-01-01/2024-12-31	51.35878	4.46232			700
5131387945	INBO:FLORA:06984259	Heracleum mantegazzianum	3034825	2024-09-28	50.84312	3.4816			700
5131387680	INBO:FLORA:06979741	Heracleum mantegazzianum	3034825	2024-03-31/2024-08-24	51.04419	4.44742			700
5131383285	INBO:FLORA:06980673	Heracleum mantegazzianum	3034825	2024-07-29	50.81214	5.6815			700
5131382263	INBO:FLORA:06983134	Heracleum mantegazzianum	3034825	2024-07-27	51.31378	4.5196			700
5131382059	INBO:FLORA:06980146	Heracleum mantegazzianum	3034825	2024-04-01/2024-06-28	50.91836	4.34765			700
5131381025	INBO:FLORA:06984497	Heracleum mantegazzianum	3034825	2024-04-15	50.81458	5.44032			700
5131380188	INBO:FLORA:06989706	Heracleum mantegazzianum	3034825	2024-09-08	51.28667	4.60552			700
5131375107	INBO:FLORA:06967050	Heracleum mantegazzianum	3034825	2024-06-26	50.80824	3.63833			700
5131374255	INBO:FLORA:06978958	Heracleum mantegazzianum	3034825	2024-06-16	50.98225	5.74326			700
5131374186	INBO:FLORA:06977620	Heracleum mantegazzianum	3034825	2024-07-22	51.17801	4.86237			700
5131366181	INBO:FLORA:06973299	Heracleum mantegazzianum	3034825	2024-05-01/2024-08-16	50.90937	4.39031			700
5131363023	INBO:FLORA:06963691	Heracleum mantegazzianum	3034825	2024-07-17	50.91336	3.28118			700
5131247790	770538:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.80045	3.18735		Menen	30
5131247785	770385:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.80495	3.19999		Menen	30
5131247775	767018:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-31	50.80517	3.19804		Wevelgem	30
5131247749	770388:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.80774	3.21675		Kortrijk	30
5131247728	767440:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-01	50.94556	3.38199		Dentergem	30
5131247721	767118:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-01	50.92136	3.41353		Dentergem	30
5131247684	770535:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.7963	3.16941		Menen	30
5131247653	770534:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.79607	3.16348		Menen	30
5131247623	769777:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-08	50.84395	3.16811		Wevelgem	30
5131247574	766623:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-26	50.82671	3.33573		Harelbeke	30
5131247457	770537:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.79841	3.17763		Menen	30
5131247443	766619:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-26	50.80926	3.35729		Zwevegem	30
5131247427	766620:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-03-26	50.80855	3.35767		Zwevegem	30
5131247383	770386:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.80771	3.21619		Kortrijk	30
5131247357	770536:9f0cdca8dac7fd79ab603b7469e8d884	Heracleum mantegazzianum	3034825	2025-04-10	50.79821	3.17711		Menen	30
