scientific_name,english_name,dutch_name,french_name,kingdom
Acacia saligna (Labill.) H.L.Wendl.,Golden wreath wattle,wilgacacia,mimosa bleuâtre,Plantae
Ailanthus altissima (Mill.) Swingle,Tree of heaven,hemelboom,ailante glanduleux,Plantae
Alternanthera philoxeroides (Mart.) Griseb.,Alligator weed,alligatorkruid,herbe à alligator,Plantae
Andropogon virginicus L.,Broomsedge bluestem,Amerikaans bezemgras,barbon de Virginie,Plantae
Asclepias syriaca L.,Common milkweed,zijdeplant,asclépiade de Syrie,Plantae
Baccharis halimifolia L.,Eastern baccharis,struikaster,séneçon en arbre,Plantae
Cabomba caroliniana Gray,Fanwort,waterwaaier,cabomba de Caroline,Plantae
Cardiospermum grandiflorum Sw.,Balloon vine,ballonrank,corinde à grandes fleurs,Plantae
Celastrus orbiculatus Thunb.,Oriental bittersweet,Aziatische Boomwurger,célastre asiatique,Plantae
Cortaderia jubata (Lemoine ex Carrière) Stapf,Purple pampas grass,hoog pampasgras,herbe de la pampa pourpre,Plantae
Ehrharta calycina Sm.,Perrenial veldt grass,roze rimpelgras,ehrharte calicinale,Plantae
Eichhornia crassipes (Martius) Solms,Water hyacinth,waterhyacint,jacinthe d'eau,Plantae
Elodea nuttallii (Planch.) St. John,Nuttall's waterweed,smalle waterpest,élodée de Nuttall,Plantae
Gunnera tinctoria (Molina) Mirbel,Chilean rhubarb,gewone gunnera;reuzenrabarber,rhubarbe géante du Chili,Plantae
Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,Senegal tea plant,smalle theeplant,faux hygrophile,Plantae
Hakea sericea Schrad. & J.C.Wendl.,bushy needlewood,hakea,hakéa soyeux,Plantae
Heracleum mantegazzianum Sommier & Levier,Giant hogweed,reuzenberenklauw,berce du Caucase,Plantae
Heracleum persicum Fischer,Persian hogweed,Perzische berenklauw,berce de Perse,Plantae
Heracleum sosnowskyi Mandenova,Sosnowsky's hogweed,Sosnowsky's berenklauw,berce de Sosnowsky,Plantae
Humulus scandens (Lour.) Merr.,Japanese hop,oosterse hop,houblon du Japon,Plantae
Hydrocotyle ranunculoides L. f.,Floating pennywort,grote waternavel,hydrocotyle fausse-renoncule,Plantae
Impatiens glandulifera Royle,Himalayan balsam,reuzenbalsemien,balsamine de l'Himalaya,Plantae
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Himalayan knotweed,Afghaanse duizendknoop,renouée à nombreux épis,Plantae
Lagarosiphon major (Ridley) Moss,Curly waterweed,verspreidbladige waterpest,élodée à feuilles alternes,Plantae
Lespedeza cuneata (Dum.Cours.) G.Don,Chinese bushclover,Chinese struikklaver,lespédéza soyeux,Plantae
Ludwigia grandiflora (Michx.) Greuter & Burdet,Water-primrose,waterteunisbloem,jussie à grandes fleurs,Plantae
Ludwigia peploides (Kunth) P.H. Raven,Floating primrose-willow,kleine waterteunisbloem,jussie rampante,Plantae
Lygodium japonicum (Thunb.) Sw.,Vine-like fern,Japanse klimvaren,fougère grimpante du Japon,Plantae
Lysichiton americanus Hultén and St. John,American skunk cabbage,moerasaronskelk,faux arum,Plantae
Microstegium vimineum (Trin.) A. Camus,Japanese stiltgrass,Japans steltgras,herbe à échasses japonaise,Plantae
Myriophyllum aquaticum (Vell.) Verdc.,Parrot's feather,parelvederkruid,myriophylle du Brésil,Plantae
Myriophyllum heterophyllum Michaux,Broadleaf watermilfoil,ongelijkbladig vederkruid,myriophylle hétérophylle,Plantae
Parthenium hysterophorus L.,Whitetop weed,schijnambrosia,fausse camomille,Plantae
Pennisetum setaceum (Forssk.) Chiov.,Crimson fountaingrass,fraai lampenpoetsersgras,herbe aux écouvillons pourpres,Plantae
Persicaria perfoliata (L.) H. Gross,Asiatic tearthumb,gestekelde duizendknoop,renouée perfoliée,Plantae
Pistia stratiotes L.,water lettuce,watersla,laitue d’eau,Plantae
Prosopis juliflora (Sw.) DC.,Mesquite,mesquite,bayahonde,Plantae
Pueraria montana (Lour.) Merr. var. lobata (Willd.),Kudzu vine,kudzu,kudzu,Plantae
Salvinia molesta D.S. Mitch.,Salvinia moss;kariba weed,grote vlotvaren,salvinie géante,Plantae
Triadica sebifera (L.) Small,Chinese tallow,talgboom,arbre à suif,Plantae
