TAG,n
ES6318,39
ES6319,44
ES6320,2
ES6417,3
ES6516,1
ES6517,3
ES6518,16
ES6522,2
ES6523,1
ES6618,11
ES6619,3
ES6622,11
ES6623,25
ES6624,18
ES6716,1
ES6722,12
ES6724,70
ES6725,7
ES6819,1
ES6820,7
ES6822,16
ES6823,8
ES6825,2
ES6917,9
ES6919,1
ES6921,215
ES6922,20
ES6923,3
ES6924,1
ES7017,8
ES7018,5
ES7020,3
ES7021,38
ES7022,1
ES7023,4
ES7024,6
ES7119,56
ES7120,3
ES7121,3
ES7124,7
ES7219,25
ES7220,10
ES7222,2
ES7317,3
ES7318,1
ES7319,1
ES7320,45
ES7323,30
ES7324,26
ES7325,1
ES7417,2
ES7418,2
ES7420,2
ES7421,8
ES7422,9
ES7423,15
ES7424,2
ES7425,5
ES7426,1
ES7431,2
ES7432,16
ES7433,11
ES7434,27
ES7435,1
ES7517,17
ES7518,3
ES7519,1
ES7520,1
ES7523,1
ES7524,8
ES7525,5
ES7526,1
ES7527,11
ES7528,8
ES7529,23
ES7530,42
ES7531,9
ES7532,11
ES7533,9
ES7534,10
ES7535,92
ES7618,47
ES7619,81
ES7622,78
ES7625,52
ES7626,3
ES7627,4
ES7628,1
ES7629,3
ES7630,45
ES7631,12
ES7632,17
ES7633,8
ES7634,40
ES7635,256
ES7636,23
ES7637,16
ES7719,11
ES7720,3
ES7721,1
ES7722,14
ES7724,2
ES7725,221
ES7726,91
ES7727,1
ES7728,1
ES7730,6
ES7731,1
ES7732,4
ES7733,8
ES7734,10
ES7735,29
ES7736,27
ES7737,36
ES7819,6
ES7821,1
ES7823,1
ES7824,19
ES7825,229
ES7826,97
ES7827,9
ES7828,9
ES7829,1
ES7830,7
ES7831,27
ES7832,147
ES7833,278
ES7834,8
ES7835,82
ES7836,91
ES7837,4
ES7920,1
ES7922,3
ES7923,4
ES7924,15
ES7925,3
ES7926,2
ES7927,5
ES7928,40
ES7929,1
ES7930,1
ES7932,2
ES7933,33
ES7934,2
ES7935,3
ES7936,18
ES7937,11
ES8020,1
ES8021,1
ES8022,18
ES8024,6
ES8026,34
ES8027,1
ES8028,10
ES8029,58
ES8030,27
ES8031,1
ES8032,19
ES8033,3
ES8034,4
ES8035,14
ES8036,8
ES8037,4
ES8120,1
ES8121,13
ES8123,312
ES8124,8
ES8125,4
ES8126,35
ES8128,113
ES8129,31
ES8130,5
ES8132,1
ES8133,1
ES8134,10
ES8135,21
ES8136,292
ES8137,19
ES8219,2
ES8220,3
ES8222,33
ES8223,10
ES8224,10
ES8225,24
ES8227,3
ES8228,7
ES8229,35
ES8230,274
ES8232,4
ES8233,50
ES8234,5
ES8235,12
ES8236,63
ES8237,4
ES8318,1
ES8321,8
ES8322,20
ES8323,99
ES8324,3
ES8325,43
ES8327,3
ES8328,4
ES8330,36
ES8331,10
ES8332,196
ES8333,5
ES8334,1
ES8335,1
ES8336,12
ES8337,1
ES8419,7
ES8421,8
ES8422,6
ES8423,1
ES8426,1
ES8427,101
ES8428,61
ES8429,1
ES8430,4
ES8431,26
ES8432,2
ES8433,10
ES8435,2
ES8436,7
ES8437,4
ES8517,3
ES8518,7
ES8519,3
ES8520,57
ES8521,11
ES8523,1
ES8524,17
ES8525,2
ES8526,1
ES8527,1
ES8528,110
ES8529,7
ES8530,1
ES8531,36
ES8532,5
ES8533,17
ES8534,14
ES8535,16
ES8536,6
ES8537,16
ES8617,11
ES8618,295
ES8619,11
ES8620,16
ES8621,100
ES8622,38
ES8623,3
ES8624,1
ES8626,5
ES8627,1
ES8628,29
ES8629,12
ES8630,8
ES8631,226
ES8632,2
ES8633,32
ES8634,285
ES8635,1
ES8636,14
ES8637,10
ES8716,141
ES8717,9
ES8718,181
ES8719,217
ES8720,32
ES8721,52
ES8722,7
ES8723,1
ES8724,3
ES8725,5
ES8726,13
ES8727,10
ES8728,1
ES8729,2
ES8730,5
ES8731,12
ES8732,36
ES8733,22
ES8734,17
ES8735,36
ES8736,7
ES8737,1
ES8816,2
ES8817,8
ES8818,193
ES8819,289
ES8820,10
ES8821,42
ES8822,9
ES8823,11
ES8824,1
ES8825,1
ES8826,9
ES8827,4
ES8828,5
ES8831,6
ES8832,13
ES8833,52
ES8834,31
ES8835,14
ES8836,11
ES8837,1
ES8917,24
ES8918,84
ES8919,9
ES8920,1
ES8921,68
ES8922,5
ES8923,11
ES8924,3
ES8925,3
ES8926,3
ES8927,10
ES8928,5
ES8929,2
ES8932,6
ES8933,15
ES8934,9
ES8935,6
ES8936,7
ES9017,14
ES9018,69
ES9019,8
ES9020,20
ES9021,208
ES9022,201
ES9023,7
ES9024,1
ES9025,1
ES9027,9
ES9028,7
ES9029,3
ES9032,11
ES9033,7
ES9034,30
ES9035,1
ES9036,5
ES9116,6
ES9117,13
ES9118,133
ES9119,59
ES9120,53
ES9121,35
ES9122,36
ES9123,9
ES9125,3
ES9127,7
ES9128,4
ES9129,1
ES9217,4
ES9218,31
ES9219,153
ES9220,72
ES9221,1
ES9222,1
ES9223,4
ES9224,8
ES9225,3
ES9226,4
ES9227,6
ES9319,2
ES9320,63
ES9321,11
ES9322,8
ES9324,17
ES9325,164
ES9326,5
ES9421,24
ES9422,85
ES9423,5
ES9424,208
ES9425,8
ES9521,60
ES9522,15
ES9523,25
ES9524,1
ES9525,2
ES9619,2
ES9621,5
ES9622,2
ES9721,3
ES9723,4
ES9724,64
ES9822,1
ES9823,4
ES9824,1
ES9921,1
ES9922,2
ES9924,3
FS0024,2
