key	scientificName	locationId	kingdom	first_observed
152543101	Gyrodactylus proterorhini Ergens, 1967	ISO_3166:BE-VLG	Animalia	2011
152543132	Graptemys pseudogeographica kohnii (Baur, 1890)	ISO_3166:BE-VLG	Animalia	2005
152543136	Graptemys pseudogeographica pseudogeographica	ISO_3166:BE-VLG	Animalia	2005
152543139	Trachemys scripta troostii (Holbrook, 1836)	ISO_3166:BE-BRU	Animalia	2012
152543139	Trachemys scripta troostii (Holbrook, 1836)	ISO_3166:BE-VLG	Animalia	2003
152543139	Trachemys scripta troostii (Holbrook, 1836)	ISO_3166:BE-WAL	Animalia	2018
152543140	Trachemys scripta elegans (Wied, 1838)	ISO_3166:BE-BRU	Animalia	2009
152543140	Trachemys scripta elegans (Wied, 1838)	ISO_3166:BE-VLG	Animalia	1975
152543140	Trachemys scripta elegans (Wied, 1838)	ISO_3166:BE-WAL	Animalia	2009
152543141	Trachemys scripta scripta	ISO_3166:BE-BRU	Animalia	2010
152543141	Trachemys scripta scripta	ISO_3166:BE-VLG	Animalia	1997
152543141	Trachemys scripta scripta	ISO_3166:BE-WAL	Animalia	2010
152543142	Lentinula edodes (Berk.) Pegler	ISO_3166:BE-VLG	Fungi	2018
152543147	Natrix helvetica Lacépède, 1789	ISO_3166:BE-BRU	Animalia	1996
152543147	Natrix helvetica Lacépède, 1789	ISO_3166:BE-VLG	Animalia	1968
152543155	Orthriophis taeniurus (Cope, 1861)	ISO_3166:BE-VLG	Animalia	2006
152543163	Lacerta viridis (Laurenti, 1768)	ISO_3166:BE-VLG	Animalia	2006
152543168	Podarcis siculus (Rafinesque-schmaltz, 1810)	ISO_3166:BE-VLG	Animalia	2004
152543169	Podarcis muralis (Laurenti, 1768)	ISO_3166:BE-BRU	Animalia	1999
152543169	Podarcis muralis (Laurenti, 1768)	ISO_3166:BE-VLG	Animalia	2004
152543178	Dendrocoelum romanodanubiale (Codreanu, 1949)	ISO_3166:BE-VLG	Animalia	2001
152543188	Caenoplana bicolor (Graff, 1899)	ISO_3166:BE-VLG	Animalia	2015
152543200	Chloephaga picta (Gmelin, 1789)	ISO_3166:BE-VLG	Animalia	1993
152543206	Branta canadensis (Linnaeus, 1758)	ISO_3166:BE-VLG	Animalia	1950
152543207	Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans	ISO_3166:BE-WAL	Fungi	2013
152543209	Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols	ISO_3166:BE-VLG	Fungi	2018
152543210	Aix sponsa (Linnaeus, 1758)	ISO_3166:BE-VLG	Animalia	1957
152543211	Aix galericulata (Linnaeus, 1758)	ISO_3166:BE-VLG	Animalia	1953
152543218	Alopochen aegyptiaca (Linnaeus, 1766)	ISO_3166:BE-VLG	Animalia	1984
152543221	Oxyura jamaicensis (Gmelin, 1789)	ISO_3166:BE-VLG	Animalia	1979
152543221	Oxyura jamaicensis (Gmelin, 1789)	ISO_3166:BE-WAL	Animalia	2018
152543224	Cygnus atratus (Latham, 1790)	ISO_3166:BE-VLG	Animalia	1970
152543235	Anser indicus (Latham, 1790)	ISO_3166:BE-VLG	Animalia	1966
