year,month,n_births
1992,1,10817
1992,2,10434
1992,3,10814
1992,4,10431
1992,5,10468
1992,6,10526
1992,7,11196
1992,8,10598
1992,9,10680
1992,10,10211
1992,11,9357
1992,12,9790
1993,1,9973
1993,2,9473
1993,3,10717
1993,4,10211
1993,5,10216
1993,6,10421
1993,7,10893
1993,8,10182
1993,9,10271
1993,10,9965
1993,11,9030
1993,12,9483
1994,1,9521
1994,2,9024
1994,3,10280
1994,4,9637
1994,5,10197
1994,6,10274
1994,7,10353
1994,8,9650
1994,9,9683
1994,10,9654
1994,11,8799
1994,12,9336
1995,1,9559
1995,2,8755
1995,3,10117
1995,4,9021
1995,5,9953
1995,6,10209
1995,7,10109
1995,8,10099
1995,9,9826
1995,10,9677
1995,11,8934
1995,12,9068
1996,1,9569
1996,2,9257
1996,3,9906
1996,4,9492
1996,5,10012
1996,6,9557
1996,7,10211
1996,8,9883
1996,9,9804
1996,10,9923
1996,11,9077
1996,12,9571
1997,1,9860
1997,2,9112
1997,3,9671
1997,4,10074
1997,5,10007
1997,6,9851
1997,7,10509
1997,8,9736
1997,9,9492
1997,10,9748
1997,11,8536
1997,12,9529
1998,1,9604
1998,2,8703
1998,3,9869
1998,4,9667
1998,5,9306
1998,6,9578
1998,7,10340
1998,8,9975
1998,9,9949
1998,10,9513
1998,11,8829
1998,12,9228
1999,1,9295
1999,2,8862
1999,3,10028
1999,4,9620
1999,5,9513
1999,6,9726
1999,7,10062
1999,8,9533
1999,9,9808
1999,10,9306
1999,11,8754
1999,12,9203
2000,1,9768
2000,2,9279
2000,3,9892
2000,4,9235
2000,5,10131
2000,6,9402
2000,7,9912
2000,8,10137
2000,9,9475
2000,10,9720
2000,11,9101
2000,12,9105
2001,1,9766
2001,2,8602
2001,3,9757
2001,4,9588
2001,5,10020
2001,6,9461
2001,7,10069
2001,8,9927
2001,9,9276
2001,10,9762
2001,11,9055
2001,12,9145
2002,1,9508
2002,2,8713
2002,3,9651
2002,4,8968
2002,5,9307
2002,6,8846
2002,7,9967
2002,8,9653
2002,9,9337
2002,10,9638
2002,11,8660
2002,12,9236
2003,1,9589
2003,2,8569
2003,3,9205
2003,4,9489
2003,5,9145
2003,6,9300
2003,7,10189
2003,8,9447
2003,9,9682
2003,10,9447
2003,11,8757
2003,12,9569
2004,1,9717
2004,2,9035
2004,3,9690
2004,4,9234
2004,5,9088
2004,6,9817
2004,7,10335
2004,8,10124
2004,9,9888
2004,10,9684
2004,11,9325
2004,12,9971
2005,1,9727
2005,2,9073
2005,3,10212
2005,4,9722
2005,5,9795
2005,6,9921
2005,7,10014
2005,8,10452
2005,9,10105
2005,10,10137
2005,11,9292
2005,12,9840
2006,1,10119
2006,2,9135
2006,3,10449
2006,4,9705
2006,5,10434
2006,6,10171
2006,7,10390
2006,8,10599
2006,9,10629
2006,10,10711
2006,11,9766
2006,12,9587
2007,1,10518
2007,2,9597
2007,3,10447
2007,4,9791
2007,5,10624
2007,6,10177
2007,7,10945
2007,8,11327
2007,9,10490
2007,10,10968
2007,11,9984
2007,12,10360
2008,1,11022
2008,2,9932
2008,3,10305
2008,4,10932
2008,5,10675
2008,6,10715
2008,7,11590
2008,8,10660
2008,9,10960
2008,10,10895
2008,11,9999
2008,12,10364
2009,1,10776
2009,2,9473
2009,3,10627
2009,4,10661
2009,5,10384
2009,6,10781
2009,7,11278
2009,8,11038
2009,9,10986
2009,10,10761
2009,11,9967
2009,12,10565
2010,1,10701
2010,2,9834
2010,3,11036
2010,4,10139
2010,5,10380
2010,6,10929
2010,7,11136
2010,8,11263
2010,9,11166
2010,10,11175
2010,11,10542
2010,12,10872
2011,1,10668
2011,2,9660
2011,3,10645
2011,4,10176
2011,5,11053
2011,6,10839
2011,7,11173
2011,8,11338
2011,9,10957
2011,10,10718
2011,11,9973
2011,12,10455
2012,1,10526
2012,2,9964
2012,3,10850
2012,4,10433
2012,5,10836
2012,6,10666
2012,7,11012
2012,8,11018
2012,9,10578
2012,10,10915
2012,11,10004
2012,12,10191
2013,1,10648
2013,2,9484
2013,3,10337
2013,4,10110
2013,5,10591
2013,6,10401
2013,7,11354
2013,8,10902
2013,9,10561
2013,10,10459
2013,11,9753
2013,12,10262
2014,1,10786
2014,2,9682
2014,3,10193
2014,4,10106
2014,5,10377
2014,6,10605
2014,7,11240
2014,8,10703
2014,9,10724
2014,10,10449
2014,11,9600
2014,12,9950
2015,1,10089
2015,2,9105
2015,3,10098
2015,4,9954
2015,5,10204
2015,6,10301
2015,7,10854
2015,8,10551
2015,9,10390
2015,10,10549
2015,11,9493
2015,12,10125
2016,1,10100
2016,2,9444
2016,3,10067
2016,4,9702
2016,5,10274
2016,6,10375
2016,7,10737
2016,8,10481
2016,9,10431
2016,10,10190
2016,11,9396
2016,12,9964
2017,1,9843
2017,2,9189
2017,3,9639
2017,4,9480
2017,5,10178
2017,6,9874
2017,7,10297
2017,8,10725
2017,9,10206
2017,10,10403
2017,11,9464
2017,12,9804
2018,1,9766
2018,2,8618
2018,3,9626
2018,4,9434
2018,5,10203
2018,6,10007
2018,7,10594
2018,8,10555
2018,9,9879
2018,10,10230
2018,11,9429
2018,12,9459
2019,1,9902
2019,2,8752
2019,3,8636
2019,4,8936
2019,5,9947
2019,6,9817
2019,7,10719
2019,8,10210
2019,9,9904
2019,10,10110
2019,11,9314
2019,12,9318
