taxonKey,locality,threatStatus,source,locationId,country,remarks
164615006,European Union,LEAST_CONCERN,van Swaay et al. (2010),,,
164615006,Greece,NEAR_THREATENED,Legakis and Maragou (2009) | Pamperis (2009) | Coutsis and Bozano (2017),ISO_3166:GR,GR,
164615008,Europe,NEAR_THREATENED,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615008,European Union,NEAR_THREATENED,van Swaay et al. (2010),,,
164615008,Andorra,LEAST_CONCERN,Dantart and Jubany (2012),ISO_3166:AD,AD,
164615008,Albania,CRITICALLY_ENDANGERED,Anonymous (2013) | Cuvelier et al. (2018) | Micevski et al. (2015) | Šašić et al. (2015) | Verovnik and Popović (2013),ISO_3166:AL,AL,
164615008,Austria,NEAR_THREATENED,Höttinger and Pennerstorfer (2005) | Zulka et al. (2003) | Huemer (2013) | Huemer and Wiesmair (2017),ISO_3166:AT,AT,
164615008,Bosnia and Herzegovina,VULNERABLE,Đug (2013) | Koren and Kulijer (2016) | Lelo (2016),ISO_3166:BA,BA,
164615008,Bulgaria,NEAR_THREATENED,Hristova and Beshkov (2017) | Kolev (2017) | Kolev and Shtinkov (2016) | Kolev and Tsvetanov (2018) | Langourov and Simov (2014),ISO_3166:BG,BG,
164615008,Switzerland,NEAR_THREATENED,Wermeille et al. (2014) | Sonderegger (2005) | SwissLepTeam (2010),ISO_3166:CH,CH,
164615008,Czech Republic,CRITICALLY_ENDANGERED,Beneš and Konvička (2017) | Alois Pavlíčko and Zdeněk Faltýnek Fric (pers. comm.),ISO_3166:CZ,CZ,
164615008,Germany,ENDANGERED,Reinhardt and Bolz (2011),ISO_3166:DE,DE,
164615008,Denmark,NOT_APPLICABLE,Wind and Pihl (2004) | Aarvik et al. (2017),ISO_3166:DK,DK,
164615008,Spain,LEAST_CONCERN,Verdú and Galante (2009) | Verdú et al. (2011) | García-Barros et al. (2013) | Monasterio León et al. (2017),ISO_3166:ES,ES,
164615008,Finland,ENDANGERED,Kaitila et al. (2010) | Aarvik et al. (2017) | Saarinen and Jantunen (2013),ISO_3166:FI,FI,
164615008,France,LEAST_CONCERN,UICN France et al. (2012) | Lafranchis et al. (2015),ISO_3166:FR,FR,
164615008,Greece,NEAR_THREATENED,Legakis and Maragou (2009) | Pamperis (2009) | Coutsis and Bozano (2017),ISO_3166:GR,GR,
164615008,Croatia,VULNERABLE,Šašić et al. (2015) | Šašić and Mihoci (2011),ISO_3166:HR,HR,
164615008,Hungary,,Ádám Kőrösi & Ádám Gór (pers. comm.) | Gergely et al. (2017) | Sáfián et al. (2012) | Varga (2012),ISO_3166:HU,HU,
164615008,Italy,LEAST_CONCERN,Bonelli et al. (2018) | Balletto et al. (2014),ISO_3166:IT,IT,
164615008,Liechtenstein,,Aistleitner and Aistleitner (1996) | Ulrich Hiermann (pers. comm.),ISO_3166:LI,LI,
