taxonKey,vernacularName,language,country,source,sourceTaxonKey,area,preferred
1934693,Sleutelbloemvlinder,nld,NA,Catalogue of the Lepidoptera of Belgium,148711553,NA,NA
1934693,Sleutelbloemvlinder,nld,NA,EUNIS Biodiversity Database,101109179,NA,NA
1934693,sleutelbloemvlinder,nld,BE,Belgian Species List,100449629,NA,NA
1934693,Sleutelbloemvlinder,nld,NA,Checklist Dutch Species Register - Nederlands Soortenregister,124576472,NA,TRUE
1938214,Koningspage,nld,NA,EUNIS Biodiversity Database,101132414,NA,NA
1938214,Koningspage,nld,NA,Catalogue of the Lepidoptera of Belgium,148711190,NA,NA
1938214,koningspage,nld,BE,Belgian Species List,100464901,NA,NA
1938214,Koningspage,nld,NA,Checklist Dutch Species Register - Nederlands Soortenregister,124601227,NA,TRUE
1936969,Pijpbloemapollo,nld,NA,EUNIS Biodiversity Database,100925494,NA,NA
1938810,Apollovlinder,nld,NA,EUNIS Biodiversity Database,101186500,NA,NA
1938810,apollovlinder,nld,BE,Belgian Species List,100464924,NA,NA
1938810,Apollovlinder,nld,NA,Checklist Dutch Species Register - Nederlands Soortenregister,152462229,NA,TRUE
1938520,Zwarte apollovlinder,nld,NA,EUNIS Biodiversity Database,101186503,NA,NA
1938955,Kleine apollovlinder,nld,NA,EUNIS Biodiversity Database,101186504,NA,NA
5141297,Spaanse pijpbloemvlinder,nld,NA,EUNIS Biodiversity Database,101253704,NA,NA
5141288,Kretapijpbloemvlinder,nld,NA,EUNIS Biodiversity Database,101253700,NA,NA
5141262,Zuidelijke pijpbloemvlinder,nld,NA,EUNIS Biodiversity Database,101253703,NA,NA
5141291,Oostelijke pijpbloemvlinder,nld,NA,EUNIS Biodiversity Database,101253699,NA,NA
1938050,Corsicaanse koninginnepage,nld,NA,EUNIS Biodiversity Database,101183704,NA,NA
8225376,Koninginnenpage,nld,NA,Catalogue of the Lepidoptera of Belgium,148710559,NA,NA
8225376,Koninginnepage,nld,NA,EUNIS Biodiversity Database,101183719,NA,NA
8225376,"koninginnenpage, koninginnepage",nld,BE,Belgian Species List,100464914,NA,NA
8225376,Koninginnenpage,nld,NA,Checklist Dutch Species Register - Nederlands Soortenregister,152462221,NA,TRUE
8225376,Koninginnepage,nld,NA,Checklist Dutch Species Register - Nederlands Soortenregister,152462221,NA,FALSE
1938131,Zuidelijke koninginnepage,nld,NA,EUNIS Biodiversity Database,101183649,NA,NA
1920218,Groot geaderd witje,nld,NA,Catalogue of the Lepidoptera of Belgium,148708126,NA,NA
1920218,Groot geaderd witje,nld,NA,EUNIS Biodiversity Database,100921341,NA,NA
1920218,groot geaderd witje,nld,BE,Belgian Species List,100464959,NA,NA
1920218,Groot geaderd witje,nld,NA,Checklist Dutch Species Register - Nederlands Soortenregister,124600284,NA,TRUE
1920707,Bestoven citroenvlinder,nld,NA,EUNIS Biodiversity Database,101102503,NA,NA
