key,nubKey,nameKey,taxonID,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,numDescendants,lastCrawled,lastInterpreted,issues,class
164615000,1934693,4982652,eurobutt-checklist:taxon:5b8f2fe82c04dba1f30bfd57c774611b,Animalia,Arthropoda,Lepidoptera,Riodinidae,Hamearis,Hamearis lucina,196469383,196469384,196469385,196469386,196469393,196469394,164615000,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469394,Hamearis,"Hamearis lucina (Linnaeus, 1758)",Hamearis lucina,Duke Of Burgundy,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.692+00:00,"disinv,scina",Insecta
164615003,4690079,5717535,eurobutt-checklist:taxon:c91bc7a2d9d3ea96aab16e64a67731a0,Animalia,Arthropoda,Lepidoptera,Papilionidae,Iphiclides,Iphiclides feisthamelii,196469383,196469384,196469385,196469386,196469387,196469391,164615003,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469391,Iphiclides,"Iphiclides feisthamelii (Duponchel, 1832)",Iphiclides feisthamelii,Iberian Scarce Swallowtail,"(Duponchel, 1832) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.674+00:00,scina,Insecta
164615004,1938214,5717667,eurobutt-checklist:taxon:b8f93e5ea0fee010156898eb6f425ecd,Animalia,Arthropoda,Lepidoptera,Papilionidae,Iphiclides,Iphiclides podalirius,196469383,196469384,196469385,196469386,196469387,196469391,164615004,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469391,Iphiclides,"Iphiclides podalirius (Linnaeus, 1758)",Iphiclides podalirius,Scarce Swallowtail,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.676+00:00,"disinv,scina",Insecta
164615006,1936969,912842,eurobutt-checklist:taxon:705d2bfbffd13e0e946b09e01efc7029,Animalia,Arthropoda,Lepidoptera,Papilionidae,Archon,Archon apollinus,196469383,196469384,196469385,196469386,196469387,196469388,164615006,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469388,Archon,"Archon apollinus (Herbst, 1798)",Archon apollinus,False Apollo,"(Herbst, 1798) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.629+00:00,scina,Insecta
164615008,1938810,8260881,eurobutt-checklist:taxon:c2d240b7b7defd4464c6b2cd20af81ad,Animalia,Arthropoda,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,196469383,196469384,196469385,196469386,196469387,196469389,164615008,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469389,Parnassius,"Parnassius apollo (Linnaeus, 1758)",Parnassius apollo,Apollo,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.641+00:00,scina,Insecta
164615009,1938520,8263292,eurobutt-checklist:taxon:96a205ff848ae8c6d8e65373b968515d,Animalia,Arthropoda,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,196469383,196469384,196469385,196469386,196469387,196469389,164615009,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469389,Parnassius,"Parnassius mnemosyne (Linnaeus, 1758)",Parnassius mnemosyne,Clouded Apollo,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.636+00:00,scina,Insecta
164615010,1938955,8263367,eurobutt-checklist:taxon:4330b616b84a39a61c2b9ea6a2deec1d,Animalia,Arthropoda,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,196469383,196469384,196469385,196469386,196469387,196469389,164615010,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469389,Parnassius,"Parnassius phoebus (Fabricius, 1793)",Parnassius phoebus,Small Apollo,"(Fabricius, 1793) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.639+00:00,scina,Insecta
164615012,5141309,11975043,eurobutt-checklist:taxon:f8f7cd0af7a52875eeed560e563dbfee,Animalia,Arthropoda,Lepidoptera,Papilionidae,Zerynthia,Zerynthia caucasica,196469383,196469384,196469385,196469386,196469387,196469390,164615012,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469390,Zerynthia,"Zerynthia caucasica (Lederer, 1864)",Zerynthia caucasica,Caucasian Festoon,"(Lederer, 1864) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.647+00:00,scina,Insecta
164615013,5141297,11975337,eurobutt-checklist:taxon:e9d4cbfeb6d899e77670fe650b631f3d,Animalia,Arthropoda,Lepidoptera,Papilionidae,Zerynthia,Zerynthia rumina,196469383,196469384,196469385,196469386,196469387,196469390,164615013,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469390,Zerynthia,"Zerynthia rumina (Linnaeus, 1758)",Zerynthia rumina,Spanish Festoon,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.657+00:00,scina,Insecta
164615014,5141288,11975067,eurobutt-checklist:taxon:844d1046896eee9b0c80edb923419669,Animalia,Arthropoda,Lepidoptera,Papilionidae,Zerynthia,Zerynthia cretica,196469383,196469384,196469385,196469386,196469387,196469390,164615014,f9af6ffd-febc-4626-b2e8-809b1c60fa01,196469390,Zerynthia,"Zerynthia cretica (Rebel, 1904)",Zerynthia cretica,Cretan Festoon,"(Rebel, 1904) ",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,,0,2023-08-24T10:32:37.154+00:00,2022-07-08T16:47:30.667+00:00,scina,Insecta
