species,section,n
Citroenvlinder,O02,1
Citroenvlinder,O03,1
Citroenvlinder,O07,1
Citroenvlinder,O25,1
Dagpauwoog,O02,2
Gehakkelde aurelia,O26,1
Klein geaderd witje,O06,1
Klein koolwitje,O02,1
Kleine vos,O25,1
Oranjetipje,O06,2
Oranjetipje,O21,1
Oranjetipje,O22,1
