gbifID	occurrenceID	species	speciesKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	year	month	countryCode	stateProvince	county	locality	basisOfRecord	individualCount	datasetName
5062404391	Natuurpunt:Waarnemingen:337412457	Faxonius limosus	8909595	51.24567	4.18679	3	2025-01-21T00:00:00Z	2025	1	BE	East Flanders	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5062403477	Natuurpunt:Waarnemingen:337469526	Procambarus clarkii	2227300	51.07253	4.18306	4	2025-01-22T00:00:00Z	2025	1	BE	East Flanders	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5062401723	Natuurpunt:Waarnemingen:337412437:3720760	Procambarus acutus	2227289	51.24718	4.18969	3	2025-01-21T00:00:00Z	2025	1	BE	East Flanders	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5062401402	Natuurpunt:Waarnemingen:337412440	Procambarus acutus	2227289	51.24699	4.18949	3	2025-01-21T00:00:00Z	2025	1	BE	East Flanders	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5062400637	Natuurpunt:Waarnemingen:337638856	Faxonius limosus	8909595	51.28421	4.39067	30	2025-01-26T00:00:00Z	2025	1	BE	Antwerp	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5062400597	Natuurpunt:Waarnemingen:337606626	Procambarus acutus	2227289	51.18088	4.6529	1	2025-01-25T00:00:00Z	2025	1	BE	Antwerp	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5051536736	Natuurpunt:Waarnemingen:337123873	Faxonius limosus	8909595	51.2145	4.47713	15	2025-01-14T00:00:00Z	2025	1	BE	Antwerp	NA	NA	HUMAN_OBSERVATION	8	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5051536678	Natuurpunt:Waarnemingen:337033819	Procambarus acutus	2227289	51.24565	4.18653	3	2025-01-14T00:00:00Z	2025	1	BE	East Flanders	NA	NA	HUMAN_OBSERVATION	1	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5051536378	Natuurpunt:Waarnemingen:337112767:3714869	Faxonius limosus	8909595	51.21456	4.4743	15	2025-01-15T00:00:00Z	2025	1	BE	Antwerp	NA	NA	HUMAN_OBSERVATION	2	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
5051536126	Natuurpunt:Waarnemingen:337112767:3714868	Faxonius limosus	8909595	51.21456	4.4743	15	2025-01-15T00:00:00Z	2025	1	BE	Antwerp	NA	NA	HUMAN_OBSERVATION	2	Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium
