year	count	kingdom	country
2024	342628	Plantae	BE
2023	326902	Plantae	BE
2022	496971	Plantae	BE
2021	506391	Plantae	BE
2020	386845	Plantae	BE
2019	459103	Plantae	BE
2018	1072179	Plantae	BE
2017	709978	Plantae	BE
2016	528384	Plantae	BE
2015	437771	Plantae	BE
2014	304313	Plantae	BE
2013	262117	Plantae	BE
2012	230772	Plantae	BE
2011	196285	Plantae	BE
2010	181432	Plantae	BE
2009	175169	Plantae	BE
2008	140357	Plantae	BE
2007	119599	Plantae	BE
2006	86694	Plantae	BE
2005	86046	Plantae	BE
2004	119566	Plantae	BE
2003	106545	Plantae	BE
2002	145597	Plantae	BE
2001	131014	Plantae	BE
2000	159113	Plantae	BE
2024	1913568	Plantae	NL
2023	1728215	Plantae	NL
2022	1781952	Plantae	NL
2021	1671613	Plantae	NL
2020	1167475	Plantae	NL
2019	789861	Plantae	NL
2018	562852	Plantae	NL
2017	629156	Plantae	NL
2016	625361	Plantae	NL
2015	664323	Plantae	NL
2014	598627	Plantae	NL
2013	510080	Plantae	NL
2012	520947	Plantae	NL
2011	444386	Plantae	NL
2010	439953	Plantae	NL
2009	451920	Plantae	NL
2008	415506	Plantae	NL
2007	405068	Plantae	NL
2006	317538	Plantae	NL
2005	283022	Plantae	NL
2004	257061	Plantae	NL
2003	245849	Plantae	NL
2002	355316	Plantae	NL
2001	269783	Plantae	NL
2000	321336	Plantae	NL
2024	18235	Plantae	LU
2023	38317	Plantae	LU
2022	48425	Plantae	LU
2021	41071	Plantae	LU
2020	31311	Plantae	LU
2019	22925	Plantae	LU
2018	21650	Plantae	LU
2017	15304	Plantae	LU
2016	26425	Plantae	LU
2015	11750	Plantae	LU
2014	11092	Plantae	LU
2013	17521	Plantae	LU
2012	70112	Plantae	LU
2011	19647	Plantae	LU
2010	66895	Plantae	LU
2009	73496	Plantae	LU
2008	65107	Plantae	LU
2007	50034	Plantae	LU
2006	20984	Plantae	LU
2005	4732	Plantae	LU
2004	16620	Plantae	LU
2003	20997	Plantae	LU
2002	19036	Plantae	LU
2001	38849	Plantae	LU
2000	17517	Plantae	LU
2024	321083	Animalia	BE
2023	724294	Animalia	BE
2022	740543	Animalia	BE
2021	648599	Animalia	BE
2020	608431	Animalia	BE
2019	570745	Animalia	BE
2018	2607148	Animalia	BE
2017	2599720	Animalia	BE
2016	2308299	Animalia	BE
2015	2035549	Animalia	BE
2014	1792222	Animalia	BE
2013	1507184	Animalia	BE
2012	1336887	Animalia	BE
2011	1222563	Animalia	BE
2010	1063050	Animalia	BE
2009	869314	Animalia	BE
2008	505488	Animalia	BE
2007	373308	Animalia	BE
2006	305314	Animalia	BE
2005	320169	Animalia	BE
2004	285305	Animalia	BE
2003	300431	Animalia	BE
2002	274792	Animalia	BE
2001	286391	Animalia	BE
2000	244487	Animalia	BE
2024	8012580	Animalia	NL
2023	8306643	Animalia	NL
2022	8388187	Animalia	NL
2021	8258162	Animalia	NL
2020	7062473	Animalia	NL
2019	5641420	Animalia	NL
2018	5134776	Animalia	NL
2017	4458721	Animalia	NL
2016	3992773	Animalia	NL
2015	3546283	Animalia	NL
2014	3386377	Animalia	NL
2013	2969797	Animalia	NL
2012	2628271	Animalia	NL
2011	2403911	Animalia	NL
2010	2141210	Animalia	NL
2009	1576480	Animalia	NL
