gbifID	species	speciesKey	scientificName	occurrenceStatus	individualCount	latitude	longitude	coordinateUncertaintyInMeters	eventDate	issue	license
1701055490	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.19558	4.39539	3536	2010-10-01T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043341	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.19558	4.39539	3536	2010-09-01T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043167	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.15064	4.39404	3536	2010-08-20T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043158	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.19641	4.32386	3536	2010-09-05T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043043	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.19182	4.68151	3536	2010-08-01T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043034	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	10	51.14788	4.60842	3536	2010-09-04T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043025	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	10	51.19077	4.75303	3536	2010-08-08T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701043014	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.14788	4.60842	3536	2010-07-31T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701042991	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.14788	4.60842	3536	2010-07-31T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
1701042983	Chorthippus biguttulus	1708251	Chorthippus biguttulus (Linnaeus, 1758)	PRESENT	1	51.14788	4.60842	3536	2010-07-29T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC0_1_0
