gbifID	speciesKey	species	scientificName	issue	occurrenceStatus	individualCount	day	month	year	locality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	license
1677301174	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	PRESENT		23	10	2011		51.186526	4.410152	183	2011-10-23T13:37:00Z	CC_BY_4_0
1570647604	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	23	9	2011		51.23121	4.36007	100	2011-09-23T00:00:00Z	CC_BY_NC_4_0
1570647598	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	4	8	2011		51.14452	4.56437	1000	2011-08-04T00:00:00Z	CC_BY_NC_4_0
1570647589	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	2	7	2011		51.13941	4.60414	10	2011-07-02T00:00:00Z	CC_BY_NC_4_0
1570647581	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	19	7	2011		51.22398	4.07749	1000	2011-07-19T00:00:00Z	CC_BY_NC_4_0
1570647577	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	27	5	2011		51.11573	4.55249	449	2011-05-27T00:00:00Z	CC_BY_NC_4_0
1570647574	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	3	7	2011		51.13906	4.60665	10	2011-07-03T00:00:00Z	CC_BY_NC_4_0
1570647501	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	6	5	5	2011		51.12858	4.32375	10	2011-05-05T00:00:00Z	CC_BY_NC_4_0
1570647500	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	3	6	5	2011		51.10605	4.34057	10	2011-05-06T00:00:00Z	CC_BY_NC_4_0
1570647383	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	7	4	2011		51.15748	4.4327	10	2011-04-07T00:00:00Z	CC_BY_NC_4_0
1570647346	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	10	6	2011		51.17498	4.43673	100	2011-06-10T00:00:00Z	CC_BY_NC_4_0
1570647340	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	25	5	2011		51.17516	4.43686	100	2011-05-25T00:00:00Z	CC_BY_NC_4_0
1570647267	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	5	7	2011		51.17508	4.43669	100	2011-07-05T00:00:00Z	CC_BY_NC_4_0
1570647266	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	15	7	2011		51.25813	4.48997	100	2011-07-15T00:00:00Z	CC_BY_NC_4_0
1570647242	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	16	7	2011		51.25792	4.49074	100	2011-07-16T00:00:00Z	CC_BY_NC_4_0
1570647225	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	5	1	5	2011		51.17506	4.43686	100	2011-05-01T00:00:00Z	CC_BY_NC_4_0
1570647223	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	2	27	6	2011		51.27281	4.48585	100	2011-06-27T00:00:00Z	CC_BY_NC_4_0
1570647211	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	14	4	2011		51.18985	4.34671	999	2011-04-14T00:00:00Z	CC_BY_NC_4_0
1570647193	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	5	5	2011		51.17516	4.43656	100	2011-05-05T00:00:00Z	CC_BY_NC_4_0
1570647171	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	11	7	2011		51.25813	4.49022	100	2011-07-11T00:00:00Z	CC_BY_NC_4_0
1570647140	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	20	5	2011		51.10535	4.34592	999	2011-05-20T00:00:00Z	CC_BY_NC_4_0
1570647137	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	23	6	2011		51.18985	4.34671	999	2011-06-23T00:00:00Z	CC_BY_NC_4_0
1570647105	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	20	5	2011		51.10535	4.34592	999	2011-05-20T00:00:00Z	CC_BY_NC_4_0
1570647084	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	10	21	8	2011		51.11651	4.55872	100	2011-08-21T00:00:00Z	CC_BY_NC_4_0
1570647079	4989904	Harmonia axyridis	Harmonia axyridis (Pallas, 1773)	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	PRESENT	1	13	6	2011		51.14454	4.56435	1000	2011-06-13T00:00:00Z	CC_BY_NC_4_0
