gbifID	species	speciesKey	scientificName	occurrenceStatus	individualCount	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	issue	license
1570647564	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.17973	4.41668	999	2010-05-21T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647545	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	4	51.17553	4.43676	999	2010-05-27T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647537	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.15576	4.39934	999	2010-05-22T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647529	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.16891	4.38401	999	2010-06-27T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647514	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.16055	4.39656	999	2010-05-22T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647506	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.16155	4.39636	999	2010-05-22T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647322	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	2	51.17505	4.43685	999	2010-05-24T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647317	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	6	51.17512	4.43692	999	2010-04-20T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647270	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.25807	4.28504	999	2010-05-20T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
1570647228	Harmonia axyridis	4989904	Harmonia axyridis (Pallas, 1773)	PRESENT	1	51.3591	4.58663	999	2010-03-26T00:00:00Z	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	CC_BY_NC_4_0
